,bay_code,bay_sample,bay_id,place_name,year,date,YYYYMMDD,trans_loc,trans_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers,latitude,longitude
15,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,44,,Lia/Emma/Carter/Jessica,55.25051,-132.883
16,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,50,,Lia/Emma/Carter/Jessica,55.25051,-132.883
17,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,21,,Lia/Emma/Carter/Jessica,55.25051,-132.883
18,NATZ,A,NATZ_A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,21,,Lia/Emma/Carter/Jessica,55.25051,-132.883
19,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica,55.282137,-133.334028
20,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,62,,Lia/Jessica,55.282137,-133.334028
21,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica,55.282137,-133.334028
22,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,61,,Lia/Jessica,55.282137,-133.334028
23,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,40,,Lia/Jessica,55.282137,-133.334028
24,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,61,,Lia/Jessica,55.282137,-133.334028
25,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,54,,Lia/Jessica,55.282137,-133.334028
26,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica,55.282137,-133.334028
27,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica,55.282137,-133.334028
28,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,34,,Lia/Jessica,55.282137,-133.334028
29,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,54,,Lia/Jessica,55.282137,-133.334028
30,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,39,,Lia/Jessica,55.282137,-133.334028
31,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,41,,Lia/Jessica,55.282137,-133.334028
32,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Inside,100,cockle,Clinocardium nutallii,CLAMCK,whole,75,,Lia/Jessica,55.282137,-133.334028
33,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Inside,100,cockle,Clinocardium nutallii,CLAMCK,whole,60,,Lia/Jessica,55.282137,-133.334028
34,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,49,,Lia/Jessica,55.282137,-133.334028
35,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,54,,Lia/Jessica,55.282137,-133.334028
36,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,46,,Lia/Jessica,55.282137,-133.334028
37,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,48,,Lia/Jessica,55.282137,-133.334028
38,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,otter,34,,Lia/Jessica,55.282137,-133.334028
39,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,64,,Lia/Jessica,55.282137,-133.334028
40,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica,55.282137,-133.334028
41,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica,55.282137,-133.334028
42,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica,55.282137,-133.334028
43,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,59,,Lia/Jessica,55.282137,-133.334028
44,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,34,,Lia/Jessica,55.282137,-133.334028
45,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,37,,Lia/Jessica,55.282137,-133.334028
46,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,39,,Lia/Jessica,55.282137,-133.334028
47,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica,55.282137,-133.334028
48,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica,55.282137,-133.334028
49,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica,55.282137,-133.334028
50,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica,55.282137,-133.334028
51,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica,55.282137,-133.334028
52,REFU,A,REFU_A,Port Refugio,2021,7/10/21,20210710,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,33,,Lia/Jessica,55.282137,-133.334028
53,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,16,,Emma/Carter,55.49709,-133.17
54,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,whole,55,,Emma/Carter,55.49709,-133.17
55,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter,55.49709,-133.17
56,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,steamer clam,Protothaca staminea,CLAMST,otter,50,,Emma/Carter,55.49709,-133.17
57,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,steamer clam,Protothaca staminea,CLAMST,whole,52,,Emma/Carter,55.49709,-133.17
58,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,cockle,Clinocardium nutallii,CLAMCK,otter,20,,Emma/Carter,55.49709,-133.17
59,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,cockle,Clinocardium nutallii,CLAMCK,whole,36,,Emma/Carter,55.49709,-133.17
60,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,bentnose macoma,Macoma nasuta,CLAMMB,whole,61,,Emma/Carter,55.49709,-133.17
61,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,otter,89,,Emma/Carter,55.49709,-133.17
62,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,otter,79,,Emma/Carter,55.49709,-133.17
63,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,otter,86,,Emma/Carter,55.49709,-133.17
64,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,otter,85,,Emma/Carter,55.49709,-133.17
65,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,88,,Emma/Carter,55.49709,-133.17
66,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,91,,Emma/Carter,55.49709,-133.17
67,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,butter clam,Saxidomus gigantea,CLAMBU,whole,85,,Emma/Carter,55.49709,-133.17
68,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,64,,Emma/Carter,55.49709,-133.17
69,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,54,,Emma/Carter,55.49709,-133.17
70,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,64,,Emma/Carter,55.49709,-133.17
71,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,52,,Emma/Carter,55.49709,-133.17
72,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,58,,Emma/Carter,55.49709,-133.17
73,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,62,,Emma/Carter,55.49709,-133.17
74,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,61,,Emma/Carter,55.49709,-133.17
75,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter,55.49709,-133.17
76,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter,55.49709,-133.17
77,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,55,,Emma/Carter,55.49709,-133.17
78,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,39,,Emma/Carter,55.49709,-133.17
79,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,48,,Emma/Carter,55.49709,-133.17
80,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,43,,Emma/Carter,55.49709,-133.17
81,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,50,,Emma/Carter,55.49709,-133.17
82,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,otter,57,,Emma/Carter,55.49709,-133.17
83,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,crab,61,,Emma/Carter,55.49709,-133.17
84,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,61,,Emma/Carter,55.49709,-133.17
85,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,43,,Emma/Carter,55.49709,-133.17
86,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,61,,Emma/Carter,55.49709,-133.17
87,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,49,,Emma/Carter,55.49709,-133.17
88,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,39,,Emma/Carter,55.49709,-133.17
89,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,57,,Emma/Carter,55.49709,-133.17
90,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,60,,Emma/Carter,55.49709,-133.17
91,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,44,,Emma/Carter,55.49709,-133.17
92,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,65,,Emma/Carter,55.49709,-133.17
93,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,39,,Emma/Carter,55.49709,-133.17
94,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,55,,Emma/Carter,55.49709,-133.17
95,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,55,,Emma/Carter,55.49709,-133.17
96,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,44,,Emma/Carter,55.49709,-133.17
97,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,51,,Emma/Carter,55.49709,-133.17
98,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,48,,Emma/Carter,55.49709,-133.17
99,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,56,,Emma/Carter,55.49709,-133.17
100,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,54,,Emma/Carter,55.49709,-133.17
101,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,58,,Emma/Carter,55.49709,-133.17
102,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,54,,Emma/Carter,55.49709,-133.17
103,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,59,,Emma/Carter,55.49709,-133.17
104,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,66,,Emma/Carter,55.49709,-133.17
105,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,40,,Emma/Carter,55.49709,-133.17
106,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,59,,Emma/Carter,55.49709,-133.17
107,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,51,,Emma/Carter,55.49709,-133.17
108,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,37,,Emma/Carter,55.49709,-133.17
109,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,steamer clam,Protothaca staminea,CLAMST,whole,38,,Emma/Carter,55.49709,-133.17
110,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,cockle,Clinocardium nutallii,CLAMCK,otter,65,,Emma/Carter,55.49709,-133.17
111,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,cockle,Clinocardium nutallii,CLAMCK,crab,64,,Emma/Carter,55.49709,-133.17
112,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,cockle,Clinocardium nutallii,CLAMCK,whole,70,,Emma/Carter,55.49709,-133.17
113,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,pointed macoma,Macoma inquinata,CLMPOI,whole,25,,Emma/Carter,55.49709,-133.17
114,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,butter clam,Saxidomus gigantea,CLAMBU,otter,42,,Emma/Carter,55.49709,-133.17
115,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,steamer clam,Protothaca staminea,CLAMST,otter,51,,Emma/Carter,55.49709,-133.17
116,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,19,,Emma/Carter,55.49709,-133.17
117,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,steamer clam,Protothaca staminea,CLAMST,whole,23,,Emma/Carter,55.49709,-133.17
118,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,34,,Emma/Carter,55.49709,-133.17
119,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,47,,Emma/Carter,55.49709,-133.17
120,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,57,,Emma/Carter,55.49709,-133.17
121,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,23,,Emma/Carter,55.49709,-133.17
122,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,otter,21,,Emma/Carter,55.49709,-133.17
123,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,crab,12,,Emma/Carter,55.49709,-133.17
124,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,crab,25,,Emma/Carter,55.49709,-133.17
125,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,31,,Emma/Carter,55.49709,-133.17
126,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,21,,Emma/Carter,55.49709,-133.17
127,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,22,,Emma/Carter,55.49709,-133.17
128,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,36,,Emma/Carter,55.49709,-133.17
129,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,25,,Emma/Carter,55.49709,-133.17
130,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,12,,Emma/Carter,55.49709,-133.17
131,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,27,,Emma/Carter,55.49709,-133.17
132,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,26,,Emma/Carter,55.49709,-133.17
133,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,24,,Emma/Carter,55.49709,-133.17
134,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,12,,Emma/Carter,55.49709,-133.17
135,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,19,,Emma/Carter,55.49709,-133.17
136,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,17,,Emma/Carter,55.49709,-133.17
137,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,22,,Emma/Carter,55.49709,-133.17
138,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,19,,Emma/Carter,55.49709,-133.17
139,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,cockle,Clinocardium nutallii,CLAMCK,whole,14,,Emma/Carter,55.49709,-133.17
140,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,pointed macoma,Macoma inquinata,CLMPOI,whole,40,,Emma/Carter,55.49709,-133.17
141,NFEI,A,NFEI_A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,macoma sp.,Macoma sp.,CLMMAC,otter,52,,Emma/Carter,55.49709,-133.17
142,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,69.8,,Lia/Carter,55.59929,-133.16
143,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,51.1,,Lia/Carter,55.59929,-133.16
144,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,78.3,,Lia/Carter,55.59929,-133.16
145,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,50.4,,Lia/Carter,55.59929,-133.16
146,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,73.2,,Lia/Carter,55.59929,-133.16
147,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,51.4,,Lia/Carter,55.59929,-133.16
148,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,40.4,,Lia/Carter,55.59929,-133.16
149,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,40.4,,Lia/Carter,55.59929,-133.16
150,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,58.2,,Lia/Carter,55.59929,-133.16
151,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,46.7,,Lia/Carter,55.59929,-133.16
152,SHIN,A,SHIN_A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,butter clam,Saxidomus gigantea,CLAMBU,otter,47.8,,Lia/Carter,55.59929,-133.16
