"","plant_ID","quadrat_ID","species","length_mm","notes","weight_g"
"116",116,11,"Zostera marina",329,"","NA"
"117",117,11,"Zostera marina",392,"","NA"
"118",118,11,"Zostera marina",281,"","NA"
"119",119,12,"Zostera marina",365,"","NA"
"120",120,12,"Zostera marina",212,"","NA"
"121",121,12,"Zostera marina",248,"","NA"
"122",122,12,"Zostera marina",315,"","NA"
"123",123,12,"Zostera marina",411,"","NA"
"124",124,12,"Zostera marina",389,"","NA"
"125",125,12,"Zostera marina",464,"","NA"
"126",126,12,"Zostera marina",356,"","NA"
"127",127,12,"Zostera marina",379,"","NA"
"128",128,12,"Zostera marina",415,"","NA"
"129",129,12,"Zostera marina",275,"","NA"
"130",130,12,"Zostera marina",367,"","NA"
"131",131,12,"Zostera marina",403,"","NA"
"132",132,12,"Zostera marina",398,"","NA"
"133",133,12,"Zostera marina",330,"","NA"
"134",134,13,"Zostera marina",649,"","NA"
"135",135,13,"Zostera marina",579,"","NA"
"136",136,13,"Zostera marina",535,"","NA"
"137",137,13,"Zostera marina",446,"","NA"
"138",138,13,"Zostera marina",372,"","NA"
"139",139,13,"Zostera marina",487,"","NA"
"140",140,13,"Zostera marina",360,"","NA"
"141",141,13,"Zostera marina",455,"","NA"
"142",142,13,"Zostera marina",371,"","NA"
"143",143,13,"Zostera marina",426,"","NA"
"144",144,13,"Zostera marina",612,"","NA"
"145",145,13,"Zostera marina",560,"","NA"
"146",146,13,"Zostera marina",492,"","NA"
"147",147,13,"Zostera marina",214,"","NA"
"148",148,13,"Zostera marina",334,"","NA"
"149",149,14,"Zostera marina",1000,"","NA"
"150",150,14,"Zostera marina",980,"","NA"
"151",151,14,"Zostera marina",861,"","NA"
"152",152,14,"Zostera marina",620,"","NA"
"153",153,14,"Zostera marina",1145,"","NA"
"154",154,14,"Zostera marina",994,"","NA"
"155",155,14,"Zostera marina",316,"","NA"
"156",156,14,"Zostera marina",805,"","NA"
"157",157,14,"Zostera marina",1188,"","NA"
"158",158,14,"Zostera marina",345,"","NA"
"159",159,14,"Zostera marina",436,"","NA"
"160",160,14,"Zostera marina",949,"","NA"
"161",161,14,"Zostera marina",1140,"","NA"
"162",162,14,"Zostera marina",445,"","NA"
"163",163,14,"Zostera marina",1906,"","NA"
"164",164,15,"Zostera marina",839,"","NA"
"165",165,15,"Zostera marina",1005,"","NA"
"166",166,15,"Zostera marina",965,"","NA"
"167",167,15,"Zostera marina",915,"","NA"
"168",168,15,"Zostera marina",587,"","NA"
"169",169,15,"Zostera marina",387,"","NA"
"170",170,15,"Zostera marina",907,"","NA"
"171",171,15,"Zostera marina",1003,"","NA"
"172",172,15,"Zostera marina",711,"","NA"
"173",173,15,"Zostera marina",600,"","NA"
"174",174,15,"Zostera marina",805,"","NA"
"175",175,15,"Zostera marina",763,"","NA"
"176",176,15,"Zostera marina",842,"","NA"
"177",177,15,"Zostera marina",651,"","NA"
"178",178,15,"Zostera marina",565,"","NA"
"179",179,16,"Zostera marina",338,"","NA"
"180",180,16,"Zostera marina",289,"","NA"
"181",181,16,"Zostera marina",413,"","NA"
"182",182,16,"Zostera marina",310,"","NA"
"183",183,16,"Zostera marina",253,"","NA"
"184",184,16,"Zostera marina",356,"","NA"
"185",185,16,"Zostera marina",204,"","NA"
"186",186,16,"Zostera marina",307,"","NA"
"187",187,16,"Zostera marina",329,"","NA"
"188",188,16,"Zostera marina",219,"","NA"
"189",189,16,"Zostera marina",298,"","NA"
"190",190,16,"Zostera marina",247,"","NA"
"191",191,16,"Zostera marina",319,"","NA"
"192",192,16,"Zostera marina",365,"","NA"
"193",193,16,"Zostera marina",259,"","NA"
"194",194,17,"Zostera marina",364,"","NA"
"195",195,17,"Zostera marina",182,"","NA"
"196",196,17,"Zostera marina",289,"","NA"
"197",197,17,"Zostera marina",280,"","NA"
"198",198,17,"Zostera marina",276,"","NA"
"199",199,17,"Zostera marina",432,"","NA"
"200",200,17,"Zostera marina",392,"","NA"
"201",201,17,"Zostera marina",270,"","NA"
"202",202,17,"Zostera marina",296,"","NA"
"203",203,17,"Zostera marina",379,"","NA"
"204",204,17,"Zostera marina",273,"","NA"
"205",205,17,"Zostera marina",220,"","NA"
"206",206,17,"Zostera marina",217,"","NA"
"207",207,17,"Zostera marina",130,"","NA"
"208",208,17,"Zostera marina",297,"","NA"
"209",209,18,"Zostera marina",386,"","NA"
"210",210,18,"Zostera marina",385,"","NA"
"211",211,18,"Zostera marina",299,"","NA"
"212",212,18,"Zostera marina",298,"","NA"
"213",213,18,"Zostera marina",285,"","NA"
"214",214,18,"Zostera marina",423,"","NA"
"215",215,18,"Zostera marina",292,"","NA"
"216",216,18,"Zostera marina",354,"","NA"
"217",217,18,"Zostera marina",397,"","NA"
"218",218,18,"Zostera marina",285,"","NA"
"219",219,18,"Zostera marina",326,"","NA"
"220",220,18,"Zostera marina",307,"","NA"
"221",221,18,"Zostera marina",337,"","NA"
"222",222,18,"Zostera marina",302,"","NA"
"223",223,18,"Zostera marina",244,"","NA"
"224",224,19,"Zostera marina",329,"","NA"
"225",225,19,"Zostera marina",144,"","NA"
"226",226,19,"Zostera marina",224,"","NA"
"227",227,19,"Zostera marina",280,"","NA"
"228",228,19,"Zostera marina",422,"","NA"
"229",229,19,"Zostera marina",392,"","NA"
"230",230,19,"Zostera marina",296,"","NA"
"231",231,19,"Zostera marina",324,"","NA"
"232",232,19,"Zostera marina",144,"","NA"
"233",233,19,"Zostera marina",154,"","NA"
"234",234,19,"Zostera marina",262,"","NA"
"235",235,19,"Zostera marina",277,"","NA"
"236",236,19,"Zostera marina",298,"","NA"
"237",237,19,"Zostera marina",314,"","NA"
"238",238,19,"Zostera marina",289,"","NA"
"239",239,20,"Zostera marina",315,"","NA"
"240",240,20,"Zostera marina",296,"","NA"
"241",241,20,"Zostera marina",304,"","NA"
"242",242,20,"Zostera marina",257,"","NA"
"243",243,20,"Zostera marina",272,"","NA"
"244",244,20,"Zostera marina",267,"","NA"
"245",245,20,"Zostera marina",204,"","NA"
"246",246,20,"Zostera marina",268,"","NA"
"247",247,20,"Zostera marina",164,"","NA"
"248",248,20,"Zostera marina",285,"","NA"
"249",249,20,"Zostera marina",235,"","NA"
"250",250,20,"Zostera marina",191,"","NA"
"251",251,20,"Zostera marina",356,"","NA"
"252",252,20,"Zostera marina",180,"","NA"
"253",253,20,"Zostera marina",288,"","NA"
"254",254,21,"Zostera marina",214,"","NA"
"255",255,21,"Zostera marina",456,"","NA"
"256",256,21,"Zostera marina",209,"","NA"
"257",257,21,"Zostera marina",254,"","NA"
"258",258,21,"Zostera marina",221,"","NA"
"259",259,21,"Zostera marina",439,"","NA"
"260",260,21,"Zostera marina",567,"","NA"
"261",261,21,"Zostera marina",168,"","NA"
"262",262,21,"Zostera marina",548,"","NA"
"263",263,21,"Zostera marina",441,"","NA"
"264",264,21,"Zostera marina",347,"","NA"
"265",265,21,"Zostera marina",155,"","NA"
"266",266,21,"Zostera marina",245,"","NA"
"267",267,21,"Zostera marina",510,"","NA"
"268",268,21,"Zostera marina",395,"","NA"
"269",269,22,"Zostera marina",236,"","NA"
"270",270,22,"Zostera marina",235,"","NA"
"271",271,22,"Zostera marina",189,"","NA"
"272",272,22,"Zostera marina",250,"","NA"
"273",273,22,"Zostera marina",157,"","NA"
"274",274,22,"Zostera marina",245,"","NA"
"275",275,22,"Zostera marina",327,"","NA"
"276",276,22,"Zostera marina",299,"","NA"
"277",277,22,"Zostera marina",243,"","NA"
"278",278,22,"Zostera marina",318,"","NA"
"279",279,22,"Zostera marina",340,"","NA"
"280",280,22,"Zostera marina",447,"","NA"
"281",281,22,"Zostera marina",298,"","NA"
"282",282,22,"Zostera marina",316,"","NA"
"283",283,23,"Zostera marina",190,"","NA"
"284",284,23,"Zostera marina",134,"","NA"
"285",285,23,"Zostera marina",183,"","NA"
"286",286,23,"Zostera marina",258,"","NA"
"287",287,23,"Zostera marina",250,"","NA"
"288",288,23,"Zostera marina",160,"","NA"
"289",289,23,"Zostera marina",225,"","NA"
"290",290,23,"Zostera marina",458,"","NA"
"291",291,23,"Zostera marina",172,"","NA"
"292",292,23,"Zostera marina",399,"","NA"
"293",293,23,"Zostera marina",442,"","NA"
"294",294,23,"Zostera marina",375,"","NA"
"295",295,23,"Zostera marina",179,"","NA"
"296",296,23,"Zostera marina",229,"","NA"
"297",297,23,"Zostera marina",421,"","NA"
"298",298,23,"Zostera marina",304,"","NA"
"299",299,24,"Zostera marina",350,"","NA"
"300",300,24,"Zostera marina",562,"","NA"
"301",301,24,"Zostera marina",433,"","NA"
"302",302,24,"Zostera marina",387,"","NA"
"303",303,24,"Zostera marina",298,"","NA"
"304",304,24,"Zostera marina",332,"","NA"
"305",305,24,"Zostera marina",225,"","NA"
"306",306,24,"Zostera marina",323,"","NA"
"307",307,24,"Zostera marina",310,"","NA"
"308",308,24,"Zostera marina",565,"","NA"
"309",309,24,"Zostera marina",330,"","NA"
"310",310,24,"Zostera marina",282,"","NA"
"311",311,24,"Zostera marina",195,"","NA"
"312",312,24,"Zostera marina",485,"","NA"
"313",313,24,"Zostera marina",250,"","NA"
"314",314,25,"Zostera marina",452,"","NA"
"315",315,25,"Zostera marina",263,"","NA"
"316",316,25,"Zostera marina",225,"","NA"
"317",317,25,"Zostera marina",413,"","NA"
"318",318,25,"Zostera marina",354,"","NA"
"319",319,25,"Zostera marina",104,"","NA"
"320",320,25,"Zostera marina",391,"","NA"
"321",321,25,"Zostera marina",163,"","NA"
"322",322,25,"Zostera marina",277,"","NA"
"323",323,25,"Zostera marina",225,"","NA"
"324",324,25,"Zostera marina",402,"","NA"
"325",325,25,"Zostera marina",186,"","NA"
"326",326,25,"Zostera marina",191,"","NA"
"327",327,25,"Zostera marina",185,"","NA"
"328",328,25,"Zostera marina",187,"","NA"
"329",329,26,"Zostera marina",91,"","NA"
"330",330,26,"Zostera marina",281,"","NA"
"331",331,26,"Zostera marina",220,"","NA"
"332",332,26,"Zostera marina",233,"","NA"
"333",333,26,"Zostera marina",164,"","NA"
"334",334,26,"Zostera marina",162,"","NA"
"335",335,26,"Zostera marina",252,"","NA"
"336",336,26,"Zostera marina",159,"","NA"
"337",337,26,"Zostera marina",153,"","NA"
"338",338,26,"Zostera marina",263,"","NA"
"339",339,26,"Zostera marina",179,"","NA"
"340",340,26,"Zostera marina",181,"","NA"
"341",341,26,"Zostera marina",150,"","NA"
"342",342,26,"Zostera marina",203,"","NA"
"343",343,26,"Zostera marina",199,"","NA"
"344",344,27,"Zostera marina",185,"","NA"
"345",345,27,"Zostera marina",180,"","NA"
"346",346,27,"Zostera marina",230,"","NA"
"347",347,27,"Zostera marina",195,"","NA"
"348",348,27,"Zostera marina",170,"","NA"
"349",349,27,"Zostera marina",150,"","NA"
"350",350,27,"Zostera marina",203,"","NA"
"351",351,27,"Zostera marina",184,"","NA"
"352",352,27,"Zostera marina",186,"","NA"
"353",353,27,"Zostera marina",258,"","NA"
"354",354,27,"Zostera marina",130,"","NA"
"355",355,27,"Zostera marina",233,"","NA"
"356",356,27,"Zostera marina",134,"","NA"
"357",357,27,"Zostera marina",132,"","NA"
"358",358,27,"Zostera marina",135,"","NA"
"359",359,28,"Zostera marina",178,"","NA"
"360",360,28,"Zostera marina",143,"","NA"
"361",361,28,"Zostera marina",71,"","NA"
"362",362,28,"Zostera marina",60,"","NA"
"363",363,28,"Zostera marina",100,"","NA"
"364",364,28,"Zostera marina",180,"","NA"
"365",365,28,"Zostera marina",116,"","NA"
"366",366,28,"Zostera marina",154,"","NA"
"367",367,28,"Zostera marina",119,"","NA"
"368",368,28,"Zostera marina",126,"","NA"
"369",369,28,"Zostera marina",160,"","NA"
"370",370,28,"Zostera marina",162,"","NA"
"371",371,28,"Zostera marina",151,"","NA"
"372",372,28,"Zostera marina",144,"","NA"
"373",373,28,"Zostera marina",83,"","NA"
"374",374,29,"Zostera marina",218,"","NA"
"375",375,29,"Zostera marina",184,"","NA"
"376",376,29,"Zostera marina",186,"","NA"
"377",377,29,"Zostera marina",143,"","NA"
"378",378,29,"Zostera marina",86,"","NA"
"379",379,29,"Zostera marina",143,"","NA"
"380",380,29,"Zostera marina",151,"","NA"
"381",381,29,"Zostera marina",154,"","NA"
"382",382,29,"Zostera marina",138,"","NA"
"383",383,29,"Zostera marina",119,"","NA"
"384",384,29,"Zostera marina",168,"","NA"
"385",385,29,"Zostera marina",149,"","NA"
"386",386,29,"Zostera marina",92,"","NA"
"387",387,29,"Zostera marina",183,"","NA"
"388",388,29,"Zostera marina",149,"","NA"
"389",389,30,"Zostera marina",180,"","NA"
"390",390,30,"Zostera marina",174,"","NA"
"391",391,30,"Zostera marina",205,"","NA"
"392",392,30,"Zostera marina",165,"","NA"
"393",393,30,"Zostera marina",125,"","NA"
"394",394,30,"Zostera marina",145,"","NA"
"395",395,30,"Zostera marina",100,"","NA"
"396",396,30,"Zostera marina",92,"","NA"
"397",397,30,"Zostera marina",173,"","NA"
"398",398,30,"Zostera marina",110,"","NA"
"399",399,30,"Zostera marina",101,"","NA"
"400",400,30,"Zostera marina",114,"","NA"
"401",401,30,"Zostera marina",125,"","NA"
"402",402,30,"Zostera marina",133,"","NA"
"403",403,30,"Zostera marina",82,"","NA"
"404",404,31,"Zostera marina",321,"","NA"
"405",405,31,"Zostera marina",361,"","NA"
"406",406,31,"Zostera marina",85,"","NA"
"407",407,31,"Zostera marina",282,"","NA"
"408",408,31,"Zostera marina",215,"","NA"
"409",409,31,"Zostera marina",296,"","NA"
"410",410,31,"Zostera marina",226,"","NA"
"411",411,31,"Zostera marina",416,"","NA"
"412",412,31,"Zostera marina",171,"","NA"
"413",413,31,"Zostera marina",231,"","NA"
"414",414,31,"Zostera marina",120,"","NA"
"415",415,31,"Zostera marina",222,"","NA"
"416",416,31,"Zostera marina",90,"","NA"
"417",417,31,"Zostera marina",296,"","NA"
"418",418,31,"Zostera marina",386,"","NA"
"419",419,32,"Zostera marina",188,"","NA"
"420",420,32,"Zostera marina",241,"","NA"
"421",421,32,"Zostera marina",351,"","NA"
"422",422,32,"Zostera marina",108,"","NA"
"423",423,32,"Zostera marina",391,"","NA"
"424",424,32,"Zostera marina",136,"","NA"
"425",425,32,"Zostera marina",116,"","NA"
"426",426,32,"Zostera marina",331,"","NA"
"427",427,32,"Zostera marina",285,"","NA"
"428",428,32,"Zostera marina",306,"","NA"
"429",429,32,"Zostera marina",304,"","NA"
"430",430,32,"Zostera marina",334,"","NA"
"431",431,32,"Zostera marina",138,"","NA"
"432",432,32,"Zostera marina",247,"","NA"
"433",433,32,"Zostera marina",324,"","NA"
"434",434,33,"Zostera marina",215,"","NA"
"435",435,33,"Zostera marina",126,"","NA"
"436",436,33,"Zostera marina",202,"","NA"
"437",437,33,"Zostera marina",181,"","NA"
"438",438,33,"Zostera marina",323,"","NA"
"439",439,33,"Zostera marina",261,"","NA"
"440",440,33,"Zostera marina",269,"","NA"
"441",441,33,"Zostera marina",153,"","NA"
"442",442,33,"Zostera marina",432,"","NA"
"443",443,33,"Zostera marina",321,"","NA"
"444",444,33,"Zostera marina",251,"","NA"
"445",445,33,"Zostera marina",313,"","NA"
"446",446,33,"Zostera marina",235,"","NA"
"447",447,33,"Zostera marina",356,"","NA"
"448",448,33,"Zostera marina",298,"","NA"
"449",449,34,"Zostera marina",214,"","NA"
"450",450,34,"Zostera marina",288,"","NA"
"451",451,34,"Zostera marina",182,"","NA"
"452",452,34,"Zostera marina",324,"","NA"
"453",453,34,"Zostera marina",356,"","NA"
"454",454,34,"Zostera marina",345,"","NA"
"455",455,34,"Zostera marina",209,"","NA"
"456",456,34,"Zostera marina",116,"","NA"
"457",457,34,"Zostera marina",114,"","NA"
"458",458,34,"Zostera marina",304,"","NA"
"459",459,34,"Zostera marina",400,"","NA"
"460",460,34,"Zostera marina",296,"","NA"
"461",461,34,"Zostera marina",176,"","NA"
"462",462,34,"Zostera marina",321,"","NA"
"463",463,34,"Zostera marina",169,"","NA"
"464",464,34,"Zostera marina",198,"","NA"
"465",465,35,"Zostera marina",325,"","NA"
"466",466,35,"Zostera marina",142,"","NA"
"467",467,35,"Zostera marina",242,"","NA"
"468",468,35,"Zostera marina",221,"","NA"
"469",469,35,"Zostera marina",122,"","NA"
"470",470,35,"Zostera marina",311,"","NA"
"471",471,35,"Zostera marina",307,"","NA"
"472",472,35,"Zostera marina",138,"","NA"
"473",473,35,"Zostera marina",281,"","NA"
"474",474,35,"Zostera marina",284,"","NA"
"475",475,35,"Zostera marina",85,"","NA"
"476",476,35,"Zostera marina",256,"","NA"
"477",477,35,"Zostera marina",101,"","NA"
"478",478,35,"Zostera marina",225,"","NA"
"479",479,35,"Zostera marina",177,"","NA"
"480",480,35,"Zostera marina",167,"","NA"
"481",481,36,"Zostera marina",424,"","NA"
"482",482,36,"Zostera marina",331,"","NA"
"483",483,36,"Zostera marina",293,"","NA"
"484",484,36,"Zostera marina",239,"","NA"
"485",485,36,"Zostera marina",282,"","NA"
"486",486,36,"Zostera marina",296,"","NA"
"487",487,36,"Zostera marina",342,"","NA"
"488",488,36,"Zostera marina",304,"","NA"
"489",489,36,"Zostera marina",410,"","NA"
"490",490,36,"Zostera marina",208,"","NA"
"491",491,36,"Zostera marina",173,"","NA"
"492",492,36,"Zostera marina",247,"","NA"
"493",493,36,"Zostera marina",265,"","NA"
"494",494,36,"Zostera marina",225,"","NA"
"495",495,36,"Zostera marina",445,"","NA"
"496",496,37,"Zostera marina",334,"","NA"
"497",497,37,"Zostera marina",409,"","NA"
"498",498,37,"Zostera marina",500,"","NA"
"499",499,37,"Zostera marina",202,"","NA"
"500",500,37,"Zostera marina",305,"","NA"
"501",501,37,"Zostera marina",226,"","NA"
"502",502,37,"Zostera marina",442,"","NA"
"503",503,37,"Zostera marina",241,"","NA"
"504",504,37,"Zostera marina",180,"","NA"
"505",505,37,"Zostera marina",292,"","NA"
"506",506,37,"Zostera marina",496,"","NA"
"507",507,37,"Zostera marina",270,"","NA"
"508",508,37,"Zostera marina",162,"","NA"
"509",509,37,"Zostera marina",311,"","NA"
"510",510,37,"Zostera marina",143,"","NA"
"511",511,38,"Zostera marina",286,"","NA"
"512",512,38,"Zostera marina",269,"","NA"
"513",513,38,"Zostera marina",407,"","NA"
"514",514,38,"Zostera marina",310,"","NA"
"515",515,38,"Zostera marina",289,"","NA"
"516",516,38,"Zostera marina",270,"","NA"
"517",517,38,"Zostera marina",412,"","NA"
"518",518,38,"Zostera marina",132,"","NA"
"519",519,38,"Zostera marina",250,"","NA"
"520",520,38,"Zostera marina",331,"","NA"
"521",521,38,"Zostera marina",259,"","NA"
"522",522,38,"Zostera marina",257,"","NA"
"523",523,38,"Zostera marina",288,"","NA"
"524",524,38,"Zostera marina",175,"","NA"
"525",525,38,"Zostera marina",216,"","NA"
"526",526,39,"Zostera marina",334,"","NA"
"527",527,39,"Zostera marina",229,"","NA"
"528",528,39,"Zostera marina",447,"","NA"
"529",529,39,"Zostera marina",472,"","NA"
"530",530,39,"Zostera marina",197,"","NA"
"531",531,39,"Zostera marina",739,"","NA"
"532",532,39,"Zostera marina",370,"","NA"
"533",533,39,"Zostera marina",179,"","NA"
"534",534,39,"Zostera marina",431,"","NA"
"535",535,39,"Zostera marina",293,"","NA"
"536",536,39,"Zostera marina",274,"","NA"
"537",537,39,"Zostera marina",351,"","NA"
"538",538,39,"Zostera marina",462,"","NA"
"539",539,39,"Zostera marina",276,"","NA"
"540",540,39,"Zostera marina",174,"","NA"
"541",541,40,"Zostera marina",969,"","NA"
"542",542,40,"Zostera marina",203,"","NA"
"543",543,40,"Zostera marina",381,"","NA"
"544",544,40,"Zostera marina",277,"","NA"
"545",545,40,"Zostera marina",404,"","NA"
"546",546,40,"Zostera marina",461,"","NA"
"547",547,40,"Zostera marina",197,"","NA"
"548",548,40,"Zostera marina",349,"","NA"
"549",549,40,"Zostera marina",453,"","NA"
"550",550,40,"Zostera marina",333,"","NA"
"551",551,40,"Zostera marina",316,"","NA"
"552",552,40,"Zostera marina",345,"","NA"
"553",553,40,"Zostera marina",474,"","NA"
"554",554,40,"Zostera marina",451,"","NA"
"555",555,40,"Zostera marina",196,"","NA"
"556",556,41,"Zostera marina",121,"","NA"
"557",557,41,"Zostera marina",180,"","NA"
"558",558,41,"Zostera marina",367,"","NA"
"559",559,41,"Zostera marina",294,"","NA"
"560",560,41,"Zostera marina",134,"","NA"
"561",561,41,"Zostera marina",105,"","NA"
"562",562,41,"Zostera marina",337,"","NA"
"563",563,41,"Zostera marina",250,"","NA"
"564",564,41,"Zostera marina",295,"","NA"
"565",565,41,"Zostera marina",415,"","NA"
"566",566,41,"Zostera marina",281,"","NA"
"567",567,41,"Zostera marina",187,"","NA"
"568",568,41,"Zostera marina",134,"","NA"
"569",569,41,"Zostera marina",387,"","NA"
"570",570,41,"Zostera marina",267,"","NA"
"571",571,42,"Zostera marina",355,"","NA"
"572",572,42,"Zostera marina",270,"","NA"
"573",573,42,"Zostera marina",104,"","NA"
"574",574,42,"Zostera marina",334,"","NA"
"575",575,42,"Zostera marina",379,"","NA"
"576",576,42,"Zostera marina",95,"","NA"
"577",577,42,"Zostera marina",322,"","NA"
"578",578,42,"Zostera marina",126,"","NA"
"579",579,42,"Zostera marina",306,"","NA"
"580",580,42,"Zostera marina",169,"","NA"
"581",581,42,"Zostera marina",492,"","NA"
"582",582,42,"Zostera marina",91,"","NA"
"583",583,42,"Zostera marina",482,"","NA"
"584",584,42,"Zostera marina",403,"","NA"
"585",585,42,"Zostera marina",404,"","NA"
"586",586,42,"Zostera marina",332,"","NA"
"587",587,43,"Zostera marina",371,"","NA"
"588",588,43,"Zostera marina",421,"","NA"
"589",589,43,"Zostera marina",334,"","NA"
"590",590,43,"Zostera marina",109,"","NA"
"591",591,43,"Zostera marina",447,"","NA"
"592",592,43,"Zostera marina",454,"","NA"
"593",593,43,"Zostera marina",430,"","NA"
"594",594,43,"Zostera marina",132,"","NA"
"595",595,43,"Zostera marina",376,"","NA"
"596",596,43,"Zostera marina",409,"","NA"
"597",597,43,"Zostera marina",90,"","NA"
"598",598,43,"Zostera marina",414,"","NA"
"599",599,43,"Zostera marina",140,"","NA"
"600",600,43,"Zostera marina",354,"","NA"
"601",601,43,"Zostera marina",287,"","NA"
"602",602,44,"Zostera marina",415,"","NA"
