quadrat_ID,site,bay_ID,date,YYYYMMDD,habitat,quadrat,total_biomass_g,density_0.25msq,flowering_0.25msq,depth_ft,time,notes
52,Blanquizal Point,BLAQ_A,07/02/2022,20220702,eel,2,N/A,84,2,1,1022,
53,Blanquizal Point,BLAQ_A,07/02/2022,20220702,eel,3,N/A,169,2,1,1034,
54,Blanquizal Point,BLAQ_A,07/02/2022,20220702,eel,4,N/A,73,4,3,1042,
55,Blanquizal Point,BLAQ_A,07/02/2022,20220702,eel,5,N/A,219,0,2.5,1052,
56,Blanquizal Point,BLAQ_A,07/02/2022,20220702,kelp,1,769.5,N/A,N/A,3,910,"*All quadrats on the left side of the seine when facing the shore, there was saccharina sp and understory kelp ned om about 10-13 ft water MMLW deeper than the lower edge of the eegrass bed"
57,Blanquizal Point,BLAQ_A,07/02/2022,20220702,kelp,2,119.3,N/A,N/A,1,920,
58,Blanquizal Point,BLAQ_A,07/02/2022,20220702,kelp,3,258.1,N/A,N/A,1.5,930,
59,Blanquizal Point,BLAQ_A,07/02/2022,20220702,kelp,4,582.1,N/A,N/A,2,937,
60,Blanquizal Point,BLAQ_A,07/02/2022,20220702,kelp,5,439.8,N/A,N/A,2,947,
61,North St. Philips,NSTP_A,07/03/2022,20220703,eel,1,N/A,37,1,3.5,1105,
62,North St. Philips,NSTP_A,07/03/2022,20220703,eel,2,N/A,65,1,3,1111,
63,North St. Philips,NSTP_A,07/03/2022,20220703,eel,3,N/A,69,1,3,1119,
64,North St. Philips,NSTP_A,07/03/2022,20220703,eel,4,N/A,75,1,2.5,1120,
65,North St. Philips,NSTP_A,07/03/2022,20220703,eel,5,N/A,81,1,3,1130,
66,North St. Philips,NSTP_A,07/03/2022,20220703,kelp,1,1143.4,N/A,N/A,2,1010,
67,North St. Philips,NSTP_A,07/03/2022,20220703,kelp,2,115.2,N/A,N/A,2,1020,
68,North St. Philips,NSTP_A,07/03/2022,20220703,kelp,3,1204.6,N/A,N/A,4,1035,
69,North St. Philips,NSTP_A,07/03/2022,20220703,kelp,4,453.6,N/A,N/A,3,1042,
70,North St. Philips,NSTP_A,07/03/2022,20220703,kelp,5,487.9,N/A,N/A,3,1055,
71,South Fish Egg,SFEI_A,07/11/2022,20220711,eel,1,N/A,390,0,0.5,530,highly dense small blades in upper intertidal - eelgrass switches to surfgrass as you move up the intertidal
72,South Fish Egg,SFEI_A,07/11/2022,20220711,eel,2,N/A,357,0,0.5,540,eelgrass switches to surfgrass as you move up the intertidal
73,South Fish Egg,SFEI_A,07/11/2022,20220711,eel,3,N/A,265,1,1,555,eelgrass switches to surfgrass as you move up the intertidal
74,South Fish Egg,SFEI_A,07/11/2022,20220711,eel,4,N/A,382,0,1,612,eelgrass switches to surfgrass as you move up the intertidal
75,South Fish Egg,SFEI_A,07/11/2022,20220711,eel,5,N/A,251,1,1.5,625,eelgrass switches to surfgrass as you move up the intertidal
76,Abbess Island,ABES_A,07/18/2022,20220718,eel,1,N/A,133,1,2,1119,dense eelgrass beds with lots of epiphytes - Above 0 ft mixed small Zostera w/ Phyllospadix 
77,Abbess Island,ABES_A,07/18/2022,20220718,eel,2,N/A,480,0,1.5,1124,dense eelgrass beds with lots of epiphytes - Above 0 ft mixed small Zostera w/ Phyllospadix 
78,Abbess Island,ABES_A,07/18/2022,20220718,eel,3,N/A,98,0,3,1133,dense eelgrass beds with lots of epiphytes - Above 0 ft mixed small Zostera w/ Phyllospadix 
79,Abbess Island,ABES_A,07/18/2022,20220718,eel,4,N/A,215,2,3.5,1138,dense eelgrass beds with lots of epiphytes - Above 0 ft mixed small Zostera w/ Phyllospadix 
80,Abbess Island,ABES_A,07/18/2022,20220718,eel,5,N/A,147,0,2,1146,dense eelgrass beds with lots of epiphytes - Above 0 ft mixed small Zostera w/ Phyllospadix 
81,Klawock Airport,KLWA_A,07/25/2022,20220725,eel,1,N/A,164,0,1.5,607,
82,Klawock Airport,KLWA_A,07/25/2022,20220725,eel,2,N/A,72,0,1.5,619,
83,Klawock Airport,KLWA_A,07/25/2022,20220725,eel,3,N/A,82,1,0.5,625,dead flowering shoot
84,Klawock Airport,KLWA_A,07/25/2022,20220725,eel,4,N/A,98,2,2,635,
85,Klawock Airport,KLWA_A,07/25/2022,20220725,eel,5,N/A,118,0,2,648,
86,Halibut Nose,HALI_A,07/26/2022,20220726,eel,1,N/A,84,0,3,728,
87,Halibut Nose,HALI_A,07/26/2022,20220726,eel,2,N/A,92,0,2.5,734,
88,Halibut Nose,HALI_A,07/26/2022,20220726,eel,3,N/A,62,0,3,742,
89,Halibut Nose,HALI_A,07/26/2022,20220726,eel,4,N/A,42,0,2,751,
90,Halibut Nose,HALI_A,07/26/2022,20220726,eel,5,N/A,51,0,3,758,
91,Halibut Nose,HALI_A,07/26/2022,20220726,kelp,1,519.5,N/A,N/A,3,711,
92,Halibut Nose,HALI_A,07/26/2022,20220726,kelp,2,126,N/A,N/A,4,718,
93,Halibut Nose,HALI_A,07/26/2022,20220726,kelp,3,809.3,N/A,N/A,4,725,
94,Halibut Nose,HALI_A,07/26/2022,20220726,kelp,4,461.5,N/A,N/A,5,733,
95,Halibut Nose,HALI_A,07/26/2022,20220726,kelp,5,400.7,N/A,N/A,5,738,
96,Karheen,KARH_A,07/27/2022,20220727,eel,1,N/A,54,0,2.5,816,
97,Karheen,KARH_A,07/27/2022,20220727,eel,2,N/A,10,0,4.5,818,took extra shoots from outside the quadrats
98,Karheen,KARH_A,07/27/2022,20220727,eel,3,N/A,44,0,3,827,
99,Karheen,KARH_A,07/27/2022,20220727,eel,4,N/A,50,5,2,834,
100,Karheen,KARH_A,07/27/2022,20220727,eel,5,N/A,52,0,3,832,
101,Karheen,KARH_A,07/27/2022,20220727,kelp,1,1514.9,N/A,N/A,2.5,713,
102,Karheen,KARH_A,07/27/2022,20220727,kelp,2,451.3,N/A,N/A,2,726,
103,Karheen,KARH_A,07/27/2022,20220727,kelp,3,254.7,N/A,N/A,2,737,
104,Karheen,KARH_A,07/27/2022,20220727,kelp,4,214.7,N/A,N/A,2.5,752,
105,Karheen,KARH_A,07/27/2022,20220727,kelp,5,164.6,N/A,N/A,3,802,
