"","plant_ID","quadrat_ID","species","length"
"235",235,19,"Zostera marina",277
"236",236,19,"Zostera marina",298
"237",237,19,"Zostera marina",314
"238",238,19,"Zostera marina",289
"239",239,20,"Zostera marina",315
"240",240,20,"Zostera marina",296
"241",241,20,"Zostera marina",304
"242",242,20,"Zostera marina",257
"243",243,20,"Zostera marina",272
"244",244,20,"Zostera marina",267
"245",245,20,"Zostera marina",204
"246",246,20,"Zostera marina",268
"247",247,20,"Zostera marina",164
"248",248,20,"Zostera marina",285
"249",249,20,"Zostera marina",235
"250",250,20,"Zostera marina",191
"251",251,20,"Zostera marina",356
"252",252,20,"Zostera marina",180
"253",253,20,"Zostera marina",288
"254",254,21,"Zostera marina",214
"255",255,21,"Zostera marina",456
"256",256,21,"Zostera marina",209
"257",257,21,"Zostera marina",254
"258",258,21,"Zostera marina",221
"259",259,21,"Zostera marina",439
"260",260,21,"Zostera marina",567
"261",261,21,"Zostera marina",168
"262",262,21,"Zostera marina",548
"263",263,21,"Zostera marina",441
"264",264,21,"Zostera marina",347
"265",265,21,"Zostera marina",155
"266",266,21,"Zostera marina",245
"267",267,21,"Zostera marina",510
"268",268,21,"Zostera marina",395
"269",269,22,"Zostera marina",236
"270",270,22,"Zostera marina",235
"271",271,22,"Zostera marina",189
"272",272,22,"Zostera marina",250
"273",273,22,"Zostera marina",157
"274",274,22,"Zostera marina",245
"275",275,22,"Zostera marina",327
"276",276,22,"Zostera marina",299
"277",277,22,"Zostera marina",243
"278",278,22,"Zostera marina",318
"279",279,22,"Zostera marina",340
"280",280,22,"Zostera marina",447
"281",281,22,"Zostera marina",298
"282",282,22,"Zostera marina",316
"283",283,23,"Zostera marina",190
"284",284,23,"Zostera marina",134
"285",285,23,"Zostera marina",183
"286",286,23,"Zostera marina",258
"287",287,23,"Zostera marina",250
"288",288,23,"Zostera marina",160
"289",289,23,"Zostera marina",225
"290",290,23,"Zostera marina",458
"291",291,23,"Zostera marina",172
"292",292,23,"Zostera marina",399
"293",293,23,"Zostera marina",442
"294",294,23,"Zostera marina",375
"295",295,23,"Zostera marina",179
"296",296,23,"Zostera marina",229
"297",297,23,"Zostera marina",421
"298",298,23,"Zostera marina",304
"299",299,24,"Zostera marina",350
"300",300,24,"Zostera marina",562
"301",301,24,"Zostera marina",433
"302",302,24,"Zostera marina",387
"303",303,24,"Zostera marina",298
"304",304,24,"Zostera marina",332
"305",305,24,"Zostera marina",225
"306",306,24,"Zostera marina",323
"307",307,24,"Zostera marina",310
"308",308,24,"Zostera marina",565
"309",309,24,"Zostera marina",330
"310",310,24,"Zostera marina",282
"311",311,24,"Zostera marina",195
"312",312,24,"Zostera marina",485
"313",313,24,"Zostera marina",250
"314",314,25,"Zostera marina",452
"315",315,25,"Zostera marina",263
"316",316,25,"Zostera marina",225
"317",317,25,"Zostera marina",413
"318",318,25,"Zostera marina",354
"319",319,25,"Zostera marina",104
"320",320,25,"Zostera marina",391
"321",321,25,"Zostera marina",163
"322",322,25,"Zostera marina",277
"323",323,25,"Zostera marina",225
"324",324,25,"Zostera marina",402
"325",325,25,"Zostera marina",186
"326",326,25,"Zostera marina",191
"327",327,25,"Zostera marina",185
"328",328,25,"Zostera marina",187
"329",329,26,"Zostera marina",91
"330",330,26,"Zostera marina",281
"331",331,26,"Zostera marina",220
"332",332,26,"Zostera marina",233
"333",333,26,"Zostera marina",164
"334",334,26,"Zostera marina",162
"335",335,26,"Zostera marina",252
"336",336,26,"Zostera marina",159
"337",337,26,"Zostera marina",153
"338",338,26,"Zostera marina",263
"339",339,26,"Zostera marina",179
"340",340,26,"Zostera marina",181
"341",341,26,"Zostera marina",150
"342",342,26,"Zostera marina",203
"343",343,26,"Zostera marina",199
"344",344,27,"Zostera marina",185
"345",345,27,"Zostera marina",180
"346",346,27,"Zostera marina",230
"347",347,27,"Zostera marina",195
"348",348,27,"Zostera marina",170
"349",349,27,"Zostera marina",150
"350",350,27,"Zostera marina",203
"351",351,27,"Zostera marina",184
"352",352,27,"Zostera marina",186
"353",353,27,"Zostera marina",258
"354",354,27,"Zostera marina",130
"355",355,27,"Zostera marina",233
"356",356,27,"Zostera marina",134
"357",357,27,"Zostera marina",132
"358",358,27,"Zostera marina",135
"359",359,28,"Zostera marina",178
"360",360,28,"Zostera marina",143
"361",361,28,"Zostera marina",71
"362",362,28,"Zostera marina",60
"363",363,28,"Zostera marina",100
"364",364,28,"Zostera marina",180
"365",365,28,"Zostera marina",116
"366",366,28,"Zostera marina",154
"367",367,28,"Zostera marina",119
"368",368,28,"Zostera marina",126
"369",369,28,"Zostera marina",160
"370",370,28,"Zostera marina",162
"371",371,28,"Zostera marina",151
"372",372,28,"Zostera marina",144
"373",373,28,"Zostera marina",83
"374",374,29,"Zostera marina",218
"375",375,29,"Zostera marina",184
"376",376,29,"Zostera marina",186
"377",377,29,"Zostera marina",143
"378",378,29,"Zostera marina",86
"379",379,29,"Zostera marina",143
"380",380,29,"Zostera marina",151
"381",381,29,"Zostera marina",154
"382",382,29,"Zostera marina",138
"383",383,29,"Zostera marina",119
"384",384,29,"Zostera marina",168
"385",385,29,"Zostera marina",149
"386",386,29,"Zostera marina",92
"387",387,29,"Zostera marina",183
"388",388,29,"Zostera marina",149
"389",389,30,"Zostera marina",180
"390",390,30,"Zostera marina",174
"391",391,30,"Zostera marina",205
"392",392,30,"Zostera marina",165
"393",393,30,"Zostera marina",125
"394",394,30,"Zostera marina",145
"395",395,30,"Zostera marina",100
"396",396,30,"Zostera marina",92
"397",397,30,"Zostera marina",173
"398",398,30,"Zostera marina",110
"399",399,30,"Zostera marina",101
"400",400,30,"Zostera marina",114
"401",401,30,"Zostera marina",125
"402",402,30,"Zostera marina",133
"403",403,30,"Zostera marina",82
"404",404,31,"Zostera marina",321
"405",405,31,"Zostera marina",361
"406",406,31,"Zostera marina",85
"407",407,31,"Zostera marina",282
"408",408,31,"Zostera marina",215
"409",409,31,"Zostera marina",296
"410",410,31,"Zostera marina",226
"411",411,31,"Zostera marina",416
"412",412,31,"Zostera marina",171
"413",413,31,"Zostera marina",231
"414",414,31,"Zostera marina",120
"415",415,31,"Zostera marina",222
"416",416,31,"Zostera marina",90
"417",417,31,"Zostera marina",296
"418",418,31,"Zostera marina",386
"419",419,32,"Zostera marina",188
"420",420,32,"Zostera marina",241
"421",421,32,"Zostera marina",351
"422",422,32,"Zostera marina",108
"423",423,32,"Zostera marina",391
"424",424,32,"Zostera marina",136
"425",425,32,"Zostera marina",116
"426",426,32,"Zostera marina",331
"427",427,32,"Zostera marina",285
"428",428,32,"Zostera marina",306
"429",429,32,"Zostera marina",304
"430",430,32,"Zostera marina",334
"431",431,32,"Zostera marina",138
"432",432,32,"Zostera marina",247
"433",433,32,"Zostera marina",324
"434",434,33,"Zostera marina",215
"435",435,33,"Zostera marina",126
"436",436,33,"Zostera marina",202
"437",437,33,"Zostera marina",181
"438",438,33,"Zostera marina",323
"439",439,33,"Zostera marina",261
"440",440,33,"Zostera marina",269
"441",441,33,"Zostera marina",153
"442",442,33,"Zostera marina",432
"443",443,33,"Zostera marina",321
"444",444,33,"Zostera marina",251
"445",445,33,"Zostera marina",313
"446",446,33,"Zostera marina",235
"447",447,33,"Zostera marina",356
"448",448,33,"Zostera marina",298
"449",449,34,"Zostera marina",214
"450",450,34,"Zostera marina",288
"451",451,34,"Zostera marina",182
"452",452,34,"Zostera marina",324
"453",453,34,"Zostera marina",356
"454",454,34,"Zostera marina",345
"455",455,34,"Zostera marina",209
"456",456,34,"Zostera marina",116
"457",457,34,"Zostera marina",114
"458",458,34,"Zostera marina",304
"459",459,34,"Zostera marina",400
"460",460,34,"Zostera marina",296
"461",461,34,"Zostera marina",176
"462",462,34,"Zostera marina",321
"463",463,34,"Zostera marina",169
"464",464,34,"Zostera marina",198
"465",465,35,"Zostera marina",325
"466",466,35,"Zostera marina",142
"467",467,35,"Zostera marina",242
"468",468,35,"Zostera marina",221
"469",469,35,"Zostera marina",122
"470",470,35,"Zostera marina",311
"471",471,35,"Zostera marina",307
"472",472,35,"Zostera marina",138
"473",473,35,"Zostera marina",281
"474",474,35,"Zostera marina",284
"475",475,35,"Zostera marina",85
"476",476,35,"Zostera marina",256
"477",477,35,"Zostera marina",101
"478",478,35,"Zostera marina",225
"479",479,35,"Zostera marina",177
"480",480,35,"Zostera marina",167
"481",481,36,"Zostera marina",424
"482",482,36,"Zostera marina",331
"483",483,36,"Zostera marina",293
"484",484,36,"Zostera marina",239
"485",485,36,"Zostera marina",282
"486",486,36,"Zostera marina",296
"487",487,36,"Zostera marina",342
"488",488,36,"Zostera marina",304
"489",489,36,"Zostera marina",410
"490",490,36,"Zostera marina",208
"491",491,36,"Zostera marina",173
"492",492,36,"Zostera marina",247
"493",493,36,"Zostera marina",265
"494",494,36,"Zostera marina",225
"495",495,36,"Zostera marina",445
"496",496,37,"Zostera marina",334
"497",497,37,"Zostera marina",409
"498",498,37,"Zostera marina",500
"499",499,37,"Zostera marina",202
"500",500,37,"Zostera marina",305
"501",501,37,"Zostera marina",226
"502",502,37,"Zostera marina",442
"503",503,37,"Zostera marina",241
"504",504,37,"Zostera marina",180
"505",505,37,"Zostera marina",292
"506",506,37,"Zostera marina",496
"507",507,37,"Zostera marina",270
"508",508,37,"Zostera marina",162
"509",509,37,"Zostera marina",311
"510",510,37,"Zostera marina",143
"511",511,38,"Zostera marina",286
"512",512,38,"Zostera marina",269
"513",513,38,"Zostera marina",407
"514",514,38,"Zostera marina",310
"515",515,38,"Zostera marina",289
"516",516,38,"Zostera marina",270
"517",517,38,"Zostera marina",412
"518",518,38,"Zostera marina",132
"519",519,38,"Zostera marina",250
"520",520,38,"Zostera marina",331
"521",521,38,"Zostera marina",259
"522",522,38,"Zostera marina",257
"523",523,38,"Zostera marina",288
"524",524,38,"Zostera marina",175
"525",525,38,"Zostera marina",216
"526",526,39,"Zostera marina",334
"527",527,39,"Zostera marina",229
"528",528,39,"Zostera marina",447
"529",529,39,"Zostera marina",472
"530",530,39,"Zostera marina",197
"531",531,39,"Zostera marina",739
"532",532,39,"Zostera marina",370
"533",533,39,"Zostera marina",179
"534",534,39,"Zostera marina",431
"535",535,39,"Zostera marina",293
"536",536,39,"Zostera marina",274
"537",537,39,"Zostera marina",351
"538",538,39,"Zostera marina",462
"539",539,39,"Zostera marina",276
"540",540,39,"Zostera marina",174
"541",541,40,"Zostera marina",969
"542",542,40,"Zostera marina",203
"543",543,40,"Zostera marina",381
"544",544,40,"Zostera marina",277
"545",545,40,"Zostera marina",404
"546",546,40,"Zostera marina",461
"547",547,40,"Zostera marina",197
"548",548,40,"Zostera marina",349
"549",549,40,"Zostera marina",453
"550",550,40,"Zostera marina",333
"551",551,40,"Zostera marina",316
"552",552,40,"Zostera marina",345
"553",553,40,"Zostera marina",474
"554",554,40,"Zostera marina",451
"555",555,40,"Zostera marina",196
"556",556,41,"Zostera marina",121
"557",557,41,"Zostera marina",180
"558",558,41,"Zostera marina",367
"559",559,41,"Zostera marina",294
"560",560,41,"Zostera marina",134
"561",561,41,"Zostera marina",105
"562",562,41,"Zostera marina",337
"563",563,41,"Zostera marina",250
"564",564,41,"Zostera marina",295
"565",565,41,"Zostera marina",415
"566",566,41,"Zostera marina",281
"567",567,41,"Zostera marina",187
"568",568,41,"Zostera marina",134
"569",569,41,"Zostera marina",387
"570",570,41,"Zostera marina",267
"571",571,42,"Zostera marina",355
"572",572,42,"Zostera marina",270
"573",573,42,"Zostera marina",104
"574",574,42,"Zostera marina",334
"575",575,42,"Zostera marina",379
"576",576,42,"Zostera marina",95
"577",577,42,"Zostera marina",322
"578",578,42,"Zostera marina",126
"579",579,42,"Zostera marina",306
"580",580,42,"Zostera marina",169
"581",581,42,"Zostera marina",492
"582",582,42,"Zostera marina",91
"583",583,42,"Zostera marina",482
"584",584,42,"Zostera marina",403
"585",585,42,"Zostera marina",404
"586",586,42,"Zostera marina",332
"587",587,43,"Zostera marina",371
"588",588,43,"Zostera marina",421
"589",589,43,"Zostera marina",334
"590",590,43,"Zostera marina",109
"591",591,43,"Zostera marina",447
"592",592,43,"Zostera marina",454
"593",593,43,"Zostera marina",430
"594",594,43,"Zostera marina",132
"595",595,43,"Zostera marina",376
"596",596,43,"Zostera marina",409
"597",597,43,"Zostera marina",90
"598",598,43,"Zostera marina",414
"599",599,43,"Zostera marina",140
"600",600,43,"Zostera marina",354
"601",601,43,"Zostera marina",287
"602",602,44,"Zostera marina",415
"603",603,44,"Zostera marina",405
"604",604,44,"Zostera marina",352
"605",605,44,"Zostera marina",376
"606",606,44,"Zostera marina",384
"607",607,44,"Zostera marina",161
"608",608,44,"Zostera marina",434
"609",609,44,"Zostera marina",196
"610",610,44,"Zostera marina",362
"611",611,44,"Zostera marina",160
"612",612,44,"Zostera marina",600
"613",613,44,"Zostera marina",395
"614",614,44,"Zostera marina",200
"615",615,44,"Zostera marina",394
"616",616,44,"Zostera marina",207
"617",617,45,"Zostera marina",171
"618",618,45,"Zostera marina",139
"619",619,45,"Zostera marina",445
"620",620,45,"Zostera marina",182
"621",621,45,"Zostera marina",190
"622",622,45,"Zostera marina",491
"623",623,45,"Zostera marina",402
"624",624,45,"Zostera marina",306
"625",625,45,"Zostera marina",323
"626",626,45,"Zostera marina",391
"627",627,45,"Zostera marina",264
"628",628,45,"Zostera marina",441
"629",629,45,"Zostera marina",355
"630",630,45,"Zostera marina",399
"631",631,45,"Zostera marina",386
"632",632,46,"Zostera marina",239
"633",633,46,"Zostera marina",343
"634",634,46,"Zostera marina",194
"635",635,46,"Zostera marina",383
"636",636,46,"Zostera marina",162
"637",637,46,"Zostera marina",454
"638",638,46,"Zostera marina",170
"639",639,46,"Zostera marina",345
"640",640,46,"Zostera marina",477
"641",641,46,"Zostera marina",381
"642",642,46,"Zostera marina",254
"643",643,46,"Zostera marina",184
"644",644,46,"Zostera marina",235
"645",645,46,"Zostera marina",123
"646",646,46,"Zostera marina",251
"647",647,47,"Zostera marina",355
"648",648,47,"Zostera marina",433
"649",649,47,"Zostera marina",241
"650",650,47,"Zostera marina",242
"651",651,47,"Zostera marina",400
"652",652,47,"Zostera marina",376
"653",653,47,"Zostera marina",252
"654",654,47,"Zostera marina",461
"655",655,47,"Zostera marina",359
"656",656,47,"Zostera marina",321
"657",657,47,"Zostera marina",302
"658",658,47,"Zostera marina",143
"659",659,47,"Zostera marina",169
"660",660,47,"Zostera marina",171
"661",661,47,"Zostera marina",232
"662",662,48,"Zostera marina",289
"663",663,48,"Zostera marina",224
"664",664,48,"Zostera marina",98
"665",665,48,"Zostera marina",288
"666",666,48,"Zostera marina",128
"667",667,48,"Zostera marina",367
"668",668,48,"Zostera marina",236
"669",669,48,"Zostera marina",273
"670",670,48,"Zostera marina",244
"671",671,48,"Zostera marina",279
"672",672,48,"Zostera marina",234
"673",673,48,"Zostera marina",291
"674",674,48,"Zostera marina",300
"675",675,48,"Zostera marina",94
"676",676,48,"Zostera marina",134
"677",677,49,"Zostera marina",218
"678",678,49,"Zostera marina",234
"679",679,49,"Zostera marina",334
"680",680,49,"Zostera marina",343
"681",681,49,"Zostera marina",203
"682",682,49,"Zostera marina",261
"683",683,49,"Zostera marina",202
"684",684,49,"Zostera marina",259
"685",685,49,"Zostera marina",384
"686",686,49,"Zostera marina",106
"687",687,49,"Zostera marina",169
"688",688,49,"Zostera marina",112
"689",689,49,"Zostera marina",287
"690",690,49,"Zostera marina",121
"691",691,49,"Zostera marina",274
"692",692,50,"Zostera marina",225
"693",693,50,"Zostera marina",412
"694",694,50,"Zostera marina",285
"695",695,50,"Zostera marina",297
"696",696,50,"Zostera marina",346
"697",697,50,"Zostera marina",137
"698",698,50,"Zostera marina",290
"699",699,50,"Zostera marina",118
"700",700,50,"Zostera marina",316
"701",701,50,"Zostera marina",184
"702",702,50,"Zostera marina",244
"703",703,50,"Zostera marina",373
"704",704,50,"Zostera marina",205
"705",705,50,"Zostera marina",336
"706",706,50,"Zostera marina",163
"707",707,51,"Zostera marina",377
"708",708,51,"Zostera marina",242
"709",709,51,"Zostera marina",470
"710",710,51,"Zostera marina",316
"711",711,51,"Zostera marina",303
"712",712,51,"Zostera marina",381
"713",713,51,"Zostera marina",326
"714",714,51,"Zostera marina",311
"715",715,51,"Zostera marina",186
"716",716,51,"Zostera marina",463
"717",717,51,"Zostera marina",321
"718",718,51,"Zostera marina",319
"719",719,51,"Zostera marina",261
"720",720,51,"Zostera marina",462
"721",721,51,"Zostera marina",299
"722",722,52,"Zostera marina",406
"723",723,52,"Zostera marina",417
"724",724,52,"Zostera marina",446
"725",725,52,"Zostera marina",480
"726",726,52,"Zostera marina",372
"727",727,52,"Zostera marina",317
"728",728,52,"Zostera marina",324
"729",729,52,"Zostera marina",356
"730",730,52,"Zostera marina",466
"731",731,52,"Zostera marina",454
"732",732,52,"Zostera marina",415
"733",733,52,"Zostera marina",393
"734",734,52,"Zostera marina",270
"735",735,52,"Zostera marina",386
"736",736,52,"Zostera marina",197
"737",737,53,"Zostera marina",353
"738",738,53,"Zostera marina",373
"739",739,53,"Zostera marina",431
"740",740,53,"Zostera marina",345
"741",741,53,"Zostera marina",286
"742",742,53,"Zostera marina",218
"743",743,53,"Zostera marina",312
"744",744,53,"Zostera marina",325
"745",745,53,"Zostera marina",423
"746",746,53,"Zostera marina",201
"747",747,53,"Zostera marina",431
"748",748,53,"Zostera marina",304
"749",749,53,"Zostera marina",395
"750",750,54,"Zostera marina",373
"751",751,54,"Zostera marina",352
"752",752,54,"Zostera marina",394
"753",753,54,"Zostera marina",426
"754",754,54,"Zostera marina",463
"755",755,54,"Zostera marina",335
"756",756,54,"Zostera marina",340
"757",757,54,"Zostera marina",411
"758",758,54,"Zostera marina",390
"759",759,54,"Zostera marina",322
"760",760,54,"Zostera marina",393
"761",761,54,"Zostera marina",166
"762",762,54,"Zostera marina",368
"763",763,54,"Zostera marina",480
"764",764,54,"Zostera marina",419
"765",765,55,"Zostera marina",424
"766",766,55,"Zostera marina",463
"767",767,55,"Zostera marina",408
"768",768,55,"Zostera marina",411
"769",769,55,"Zostera marina",183
"770",770,55,"Zostera marina",211
"771",771,55,"Zostera marina",437
"772",772,55,"Zostera marina",265
"773",773,55,"Zostera marina",204
"774",774,55,"Zostera marina",304
"775",775,55,"Zostera marina",225
"776",776,55,"Zostera marina",316
"777",777,55,"Zostera marina",242
"778",778,55,"Zostera marina",385
"779",779,55,"Zostera marina",177
"780",780,56,"Zostera marina",544
"781",781,56,"Zostera marina",467
"782",782,56,"Zostera marina",356
"783",783,56,"Zostera marina",430
"784",784,56,"Zostera marina",468
"785",785,56,"Zostera marina",452
"786",786,56,"Zostera marina",386
"787",787,56,"Zostera marina",434
"788",788,56,"Zostera marina",473
"789",789,56,"Zostera marina",492
"790",790,56,"Zostera marina",554
"791",791,56,"Zostera marina",398
"792",792,56,"Zostera marina",452
"793",793,56,"Zostera marina",451
"794",794,56,"Zostera marina",383
"795",795,57,"Zostera marina",500
"796",796,57,"Zostera marina",474
"797",797,57,"Zostera marina",545
"798",798,57,"Zostera marina",295
"799",799,57,"Zostera marina",405
"800",800,57,"Zostera marina",200
"801",801,57,"Zostera marina",405
"802",802,57,"Zostera marina",255
"803",803,57,"Zostera marina",385
"804",804,57,"Zostera marina",240
"805",805,57,"Zostera marina",295
"806",806,57,"Zostera marina",401
"807",807,57,"Zostera marina",435
"808",808,57,"Zostera marina",365
"809",809,57,"Zostera marina",265
"810",810,58,"Zostera marina",602
"811",811,58,"Zostera marina",403
"812",812,58,"Zostera marina",248
"813",813,58,"Zostera marina",583
"814",814,58,"Zostera marina",307
"815",815,58,"Zostera marina",272
"816",816,58,"Zostera marina",317
"817",817,58,"Zostera marina",601
