"","quadrat_ID","site","date","YYYYMMDD","quadrat","density_0.25msq","flowering_0.25msq","notes","siteID_NOAA","place_name","bay_id","latitude","longitude","habitat_quadrat","habitat_site","total_biomass_g"
"82",82,"Nossuk Bay","6/14/2019",20190614,2,63,0,"",NA,"Nossuk Bay","NOSK_E",55.70802,-133.34102,"eelgrass","seagrass",NA
"83",83,"Nossuk Bay","6/14/2019",20190614,3,62,0,"",NA,"Nossuk Bay","NOSK_E",55.70802,-133.34102,"eelgrass","seagrass",NA
"84",84,"Nossuk Bay","6/14/2019",20190614,4,89,2,"",NA,"Nossuk Bay","NOSK_E",55.70802,-133.34102,"eelgrass","seagrass",NA
"85",85,"Nossuk Bay","6/14/2019",20190614,5,76,0,"",NA,"Nossuk Bay","NOSK_E",55.70802,-133.34102,"eelgrass","seagrass",NA
"86",86,"Kaguk ","6/6/19",20190606,1,67,0,"",NA,"Kaguk Cove","KAGK_B",55.734934,-133.295111,"eelgrass","seagrass",NA
"87",87,"Kaguk ","6/6/19",20190606,2,81,1,"",NA,"Kaguk Cove","KAGK_B",55.734934,-133.295111,"eelgrass","seagrass",NA
"88",88,"Kaguk ","6/6/19",20190606,3,96,1,"",NA,"Kaguk Cove","KAGK_B",55.734934,-133.295111,"eelgrass","seagrass",NA
"89",89,"Kaguk ","6/6/19",20190606,4,113,4,"",NA,"Kaguk Cove","KAGK_B",55.734934,-133.295111,"eelgrass","seagrass",NA
"90",90,"Kaguk ","6/6/19",20190606,5,64,0,"",NA,"Kaguk Cove","KAGK_B",55.734934,-133.295111,"eelgrass","seagrass",NA
"91",91,"Farallon","5/22/19",20190522,1,82,0,"",NA,"Farallon Bay","FARA_A",55.19112,-133.105314,"eelgrass","seagrass",NA
"92",92,"Farallon","5/22/19",20190522,2,62,0,"",NA,"Farallon Bay","FARA_A",55.19112,-133.105314,"eelgrass","seagrass",NA
"93",93,"Farallon","5/22/19",20190522,3,60,0,"",NA,"Farallon Bay","FARA_A",55.19112,-133.105314,"eelgrass","seagrass",NA
"94",94,"Farallon","5/22/19",20190522,4,71,0,"",NA,"Farallon Bay","FARA_A",55.19112,-133.105314,"eelgrass","seagrass",NA
"95",95,"Farallon","5/22/19",20190522,5,35,0,"",NA,"Farallon Bay","FARA_A",55.19112,-133.105314,"eelgrass","seagrass",NA
"96",96,"Chusini-Kladein Flat","5/8/19",20190508,1,73,0,"",NA,"Chusini Cove","CHUS_B",55.81849,-133.1794,"eelgrass","seagrass",NA
"97",97,"Chusini-Kladein Flat","5/8/19",20190508,2,70,0,"",NA,"Chusini Cove","CHUS_B",55.81849,-133.1794,"eelgrass","seagrass",NA
"98",98,"Chusini-Kladein Flat","5/8/19",20190508,3,117,0,"",NA,"Chusini Cove","CHUS_B",55.81849,-133.1794,"eelgrass","seagrass",NA
"99",99,"Chusini-Kladein Flat","5/8/19",20190508,4,84,0,"",NA,"Chusini Cove","CHUS_B",55.81849,-133.1794,"eelgrass","seagrass",NA
"100",100,"Chusini-Kladein Flat","5/8/19",20190508,5,81,0,"",NA,"Chusini Cove","CHUS_B",55.81849,-133.1794,"eelgrass","seagrass",NA
"101",101,"South Fish Egg","5/20/19",20190520,1,267,2,"",NA,"South Fish Egg Island","SFEI_A",55.48442,-133.17549,"eelgrass","seagrass",NA
"102",102,"South Fish Egg","5/20/19",20190520,2,372,0,"",NA,"South Fish Egg Island","SFEI_A",55.48442,-133.17549,"eelgrass","seagrass",NA
"103",103,"South Fish Egg","5/20/19",20190520,3,284,0,"",NA,"South Fish Egg Island","SFEI_A",55.48442,-133.17549,"eelgrass","seagrass",NA
"104",104,"South Fish Egg","5/20/19",20190520,4,359,0,"",NA,"South Fish Egg Island","SFEI_A",55.48442,-133.17549,"eelgrass","seagrass",NA
"105",105,"South Fish Egg","5/20/19",20190520,5,332,0,"",NA,"South Fish Egg Island","SFEI_A",55.48442,-133.17549,"eelgrass","seagrass",NA
"106",106,"North Fish Egg-Kelp","5/11/19",20190511,1,NA,NA,"",139,"North Fish Egg Island","NFEI_B",55.50083,-133.1672,"kelp","kelp",508
"107",107,"North Fish Egg-Kelp","5/11/19",20190511,2,NA,NA,"",139,"North Fish Egg Island","NFEI_B",55.50083,-133.1672,"kelp","kelp",128
"108",108,"North Fish Egg-Kelp","5/11/19",20190511,3,NA,NA,"",139,"North Fish Egg Island","NFEI_B",55.50083,-133.1672,"kelp","kelp",164
"109",109,"North Fish Egg-Kelp","5/11/19",20190511,4,NA,NA,"",139,"North Fish Egg Island","NFEI_B",55.50083,-133.1672,"kelp","kelp",180
"110",110,"North Fish Egg-Kelp","5/11/19",20190511,5,NA,NA,"",139,"North Fish Egg Island","NFEI_B",55.50083,-133.1672,"kelp","kelp",416
"111",111,"Heceta - kelp","6/3/19",20190603,1,NA,NA,"",157,"Heceta Island","HECA_B",55.75805556,-133.4708333,"kelp","kelp",669.6
"112",112,"Heceta - kelp","6/3/19",20190603,2,NA,NA,"",157,"Heceta Island","HECA_B",55.75805556,-133.4708333,"kelp","kelp",613.4
"113",113,"Heceta - kelp","6/3/19",20190603,3,NA,NA,"",157,"Heceta Island","HECA_B",55.75805556,-133.4708333,"kelp","kelp",449.6
"114",114,"Heceta - kelp","6/3/19",20190603,4,NA,NA,"",157,"Heceta Island","HECA_B",55.75805556,-133.4708333,"kelp","kelp",778.3
"115",115,"Heceta - kelp","6/3/19",20190603,5,NA,NA,"",157,"Heceta Island","HECA_B",55.75805556,-133.4708333,"kelp","kelp",656.3
"116",116,"Baker Island - kelp ","6/6/19",20190606,1,NA,NA,"",110,"Baker Island","BAKE_B",55.35972222,-133.5877778,"kelp","kelp",822.3
"117",117,"Baker Island - kelp ","6/6/19",20190606,2,NA,NA,"",110,"Baker Island","BAKE_B",55.35972222,-133.5877778,"kelp","kelp",1139.4
"118",118,"Baker Island - kelp ","6/6/19",20190606,3,NA,NA,"",110,"Baker Island","BAKE_B",55.35972222,-133.5877778,"kelp","kelp",776.4
"119",119,"Baker Island - kelp ","6/6/19",20190606,4,NA,NA,"",110,"Baker Island","BAKE_B",55.35972222,-133.5877778,"kelp","kelp",1701
"120",120,"Baker Island - kelp ","6/6/19",20190606,5,NA,NA,"",110,"Baker Island","BAKE_B",55.35972222,-133.5877778,"kelp","kelp",896.2
"121",121,"Craig Highway","5/20/19",20190520,1,NA,NA,"",146,"Klawock Hwy","KLWH_A",55.5125,-133.1297222,"kelp","kelp",574
"122",122,"Craig Highway","5/20/19",20190520,2,NA,NA,"",146,"Klawock Hwy","KLWH_A",55.5125,-133.1297222,"kelp","kelp",1500
"123",123,"Craig Highway","5/20/19",20190520,3,NA,NA,"",146,"Klawock Hwy","KLWH_A",55.5125,-133.1297222,"kelp","kelp",658
"124",124,"Craig Highway","5/20/19",20190520,4,NA,NA,"",146,"Klawock Hwy","KLWH_A",55.5125,-133.1297222,"kelp","kelp",243
"125",125,"Craig Highway","5/20/19",20190520,5,NA,NA,"",146,"Klawock Hwy","KLWH_A",55.5125,-133.1297222,"kelp","kelp",663
