"","quadrat_ID","species","weight_g","percent_cover","species_by_quadrat_ID","notes"
"416",105,"Palmaria hecatensis",0.1,"not collected",412,""
"417",105,"Eudesme virescens",5.3,"not collected",413,""
"418",106,"Chorda filum",19.6,"2",414,""
"419",106,"Ulva lactuca",2.9,"2",415,""
"420",106,"Dictyosiphon sp",9.7,"7",416,""
"421",106,"Punctaria lobata",1.8,"2",417,""
"422",106,"Leathesia marina",0.1,"not collected",418,""
"423",106,"Neorhodomela aculeata",41.4,"2",419,""
"424",106,"Stephanocystis geminata",96.7,"40",420,""
"425",106,"Ceramium sp",2.9,"not collected",421,""
"426",106,"Cobble",NA,"25",422,""
"427",106,"Sand",NA,"20",423,""
"428",107,"Neorhodomela aculeata",122.2,"15",424,""
"429",107,"Ulva lactuca",1.8,"not collected",425,""
"430",107,"Dictyosiphon sp",5.4,"1",426,""
"431",107,"Chorda filum",8.8,"1",427,""
"432",107,"Stephanocystis geminata",200.6,"75",428,""
"433",107,"Punctaria lobata",7.4,"not collected",429,""
"434",107,"Chordaria flagelliformis",11.1,"2",430,""
"435",107,"Palmaria mollis",0.8,"not collected",431,""
"436",107,"Dictyosiphon foeniculaceus",3.5,"not collected",432,""
"437",107,"Sand",NA,"6",433,""
"438",108,"Neorhodomela aculeata",48.6,"15",434,""
"439",108,"Stephanocystis geminata",209.5,"30",435,""
"440",108,"Chorda filum",5,"1",436,""
"441",108,"Dictyosiphon sp",1.8,"2",437,""
"442",108,"Ulva lactuca",38.1,"25",438,""
"443",108,"Punctaria lobata",5.6,"not collected",439,""
"444",108,"Fucus distichus",5.1,"2",440,""
"445",108,"Cobble",NA,"15",441,""
"446",108,"Sand",NA,"10",442,""
"447",109,"Ulva lactuca",83.4,"30",443,""
"448",109,"Neorhodomela aculeata",183.6,"20",444,""
"449",109,"Dictyosiphon sp",6.4,"2",445,""
"450",109,"Punctaria lobata",2.9,"not collected",446,""
"451",109,"Stephanocystis geminata",2.6,"10",447,""
"452",109,"finely branched reds",0.4,"not collected",448,""
"453",109,"Fucus distichus",NA,"2",449,""
"454",109,"Farlowia mollis",0.3,"not collected",450,""
"455",109,"Sand",NA,"36",451,""
"456",110,"Chordaria flagelliformis",21.9,"4",452,""
"457",110,"Fucus distichus",1.7,"2",453,""
"458",110,"Ulva lactuca",12.3,"2",454,""
"459",110,"Chorda filum",0.3,"",455,""
"460",110,"Dictyosiphon sp",2.6,"2",456,""
"461",110,"Punctaria lobata",3.4,"",457,""
"462",110,"Stephanocystis geminata",227.2,"45",458,""
"463",110,"Neorhodomela aculeata",159.7,"15",459,""
"464",110,"Farlowia mollis",13.8,"20",460,""
"465",110,"Ceramium sp",0.4,"",461,""
"466",110,"Sand",NA,"10",462,""
"467",111,"Phyllospadix serrulatus",21.2344,"41",463,""
"468",111,"Zostera marina",NA,"19",464,""
"469",111,"bare/shells",NA,"40",465,""
"470",112,"Phyllospadix serrulatus",34.6856,"39",466,""
"471",112,"Zostera marina",NA,"46",467,""
"472",112,"bare/shells/cobble",NA,"15",468,""
"473",113,"bare and shell hash",NA,"55",469,""
"474",113,"Phyllospadix serrulatus",30.7248,"35",470,""
"475",113,"Zostera marina",NA,"10",471,""
"476",94,"Zostera marina",NA,"100",476,"NA"
