species_by_quadrat_ID,quadrat_ID,species,weight_g,%_cover,notes
60,18,Gracilaria - Gracilariopsis sp.,3.3,5,
61,18,sand,,48,
62,19,Stephanocystis geminata,515.8,45,
63,19,Stephanocystis geminata biomass,11,not collected,
64,19,Neodilsea borealis,5.6,2,
65,19,Ulva lactuca,14.8,20,
66,19,Petalonia fascia,0.4,not collected ,
67,19,Leathesia marina,0.1,not collected ,
68,19,Neorhodomela aculeata,42.5,25,
69,19,Gracilaria - Gracilariopsis sp.,1.5,2,
70,19,Ulva prolifera,0.1,not collected,
71,19,sand,,6,
72,20,Phyllospadix serrulatus,44.4,10,
73,20,Phyllospadix serrulatus biomass,3.7,not collected,
74,20,Ulva lactuca,87.7,20,
75,20,Ulva sp,13.8,not collected,
76,20,Gracilaria - Gracilariopsis sp.,1.9,2,
77,20,Neorhodomela aculeata biomass,133.3,not collected,
78,20,Neorhodomela aculeata,296.1,30,
79,20,Sarcodiotheca gaudichaudii,2.5,not collected,
80,20,Dictyosiphon foeniculaceus,1.2,not collected,
81,20,Callophyllis spp,0.5,not collected ,
82,20,Mixed bladed red ,0.9,not collected,
83,20,cobble,,38,
84,26,Punctaria lobata ,28,not collected,algae in eelgrass quadrats
85,26,Dictyosiphon foeniculaceus,6.1,not collected,algae in eelgrass quadrats
86,27,Punctaria lobata ,9.9,not collected,algae in eelgrass quadrats
87,28,Punctaria lobata ,1.4,not collected,algae in eelgrass quadrats
88,29,Punctaria lobata ,3.2,not collected,algae in eelgrass quadrats
89,30,Punctaria lobata ,0.1,not collected,algae in eelgrass quadrats
90,30,Dictyosiphon foeniculaceus,36,not collected,algae in eelgrass quadrats
91,31,Zostera marina,94.5,5,
92,31,saccharina groenlandica,740.6,40,
93,31,saccharina spp biomass ,89,not collected ,
94,31,Ulvaria sp,9.8,10,
95,31,Desmarestia acuelata,8.1,not collected,
96,31,Neorhodomela spp.,1.4,not collected,
97,31,farlowia mollis,14.1,20,
98,31,sarcodiotheca gaudichaudii,1.9,not collected,
99,31,neodilsea borealis,50.3,10,
100,31,cobble,,15,
101,32,Zostera marina,39.7,5,
102,32,Ulvaria sp,13.4,10,
103,32,Desmarestia acuelata,12.4,5,
104,32,Saccharina spp,77.3,20,
105,32,cobble,,60,
106,33,Zostera marina,27.6,2,
107,33,Stephanocystis geminata,35.6,2,
108,33,sarcodiotheca gaudichaudii,0.9,not collected,
109,33,Dictyosiphon foeniculaceus,43.1,20,
110,33,neodilsea borealis,2.9,not collected,
111,33,Chondracanthus exasperatus,4.7,not collected,
112,33,farlowia mollis,15,40,
113,33,Ulvaria sp,2.2,not collected,
114,33,Mazzaella sp,8.5,1,
115,33,cobble,,35,
116,34,ulvaria sp,9.6,2,
117,34,neodilsea borealis,23.7,10,
118,34,dictyosiphon foeniculaceus,1.5,not collected,
119,34,farlowia mollis,7.8,10,
120,34,Mazzaella sp,3.6,not collected,
121,34,ulva prolifera,0.7,not collected,
122,34,Callophyllis spp,0.5,not collected,
123,34,sphacelaria spp,6.7,not collected,
124,34,Mazzaella phylocarpa,1.3,not collected,
125,34,sand,,45,
126,34,cobble,,33,
127,35,saccharina groenlandica,33.8,20,
128,35,Chondracanthus exasperatus,55.7,10,
129,35,ulvaria spp,45.3,5,
130,35,dictyosiphon foeniculaceus,24.6,10,
131,35,farlowia mollis,85.2,40,
132,35,fucus gardenari ,0.7,not collected,
133,35,mazzaella splendens,1.4,not collected,
134,35,saccharina spp,114.2,not collected,
135,35,Mazzaella phylocarpa,9.5,not collected,
136,35,mazzaella sp,6.9,not collected,
137,35,cobble,,15,
138,36,Saccharina groenlandica,740.6,40,
139,36,Zostera marina,94.5,5,
140,36,Neodilsea borealis,50.3,10,
141,36,Farlowia mollis,14.1,20,
142,36,Ulvaria sp,9.8,10,
143,36,Saccharina spp,89,not collected,
144,36,Desmarestia aculeata,8.1,not collected,
145,36,Neorhodomela spp.,1.4,not collected,
146,36,Sarcodiotheca gaudichaudii,1.9,not collected,
147,36,Neodilsea borealis,50.3,not collected,
148,36,cobble,,,
149,37,Saccharina spp,77.3,20,
150,37,Ulvaria sp,13.4,10,
151,37,Desmarestia aculeata,12.4,5,
152,37,Zostera marina,39.7,5,
153,37,cobble ,,60,
154,38,Mazzaella sp,8.5,1,
155,38,Stephanocystis geminata,35.6,2,
156,38,Zostera marina,27.6,2,
157,38,Farlowia mollis,15,40,
158,38,Dictyosiphon foeniculaceus,43.1,20,
159,38,Sarcodiotheca gaudichaudii,0.9,not collected,
160,38,Neodilsea borealis,2.9,not collected,
161,38,Chondracanthus exasperatus,4.7,not collected,
162,38,Ulvaria sp,2.2,not collected,
163,38,cobble,,35,
164,39,Neodilsea borealis,23.7,10,
165,39,Farlowia mollis,7.8,10,
166,39,Ulvaria sp,9.6,2,
167,39,Dictyosiphon foeniculaceus,1.5,not collected,
168,39,Mazzaella sp,3.6,not collected,
169,39,Ulva prolifera,0.7,not collected,
170,39,Callophyllis spp,0.5,not collected,
171,39,Sphacelaria spp,6.7,not collected,
172,39,Mazzaella phyllocarpa,1.3,not collected,
173,39,sand,,45,
174,39,cobble,,33,
175,40,Saccharina groenlandica,33.8,20,
176,40,Chondracanthus exasperatus,55.7,10,
177,40,Farlowia mollis,85.2,40,
178,40,Dictyosiphon foeniculaceus,24.6,10,
179,40,Ulvaria sp,45.3,5,
180,40,Fucus gardneri,0.7,not collected,
181,40,Mazzaella splendens,1.4,not collected,
182,40,Saccharina spp,114.2,not collected,
183,40,Mazzaella phyllocarpa,9.5,not collected,
184,40,Mazzaella sp,6.9,not collected,
185,40,cobble,,15,
186,46,Saccharina latissima,380.3,50,
187,46,Ulva prolifera,5.8,2,
188,46,Saccharina spp,132.8,not collected,
189,46,boulders,,48,
190,47,Saccharina latissima,221.2,45,
191,47,Neorhodomela acuelata,68.7,20,
192,47,Corallina officinalis,0,2,
193,47,Ulva prolifera,0.4,5,
194,47,Saccharina spp,21.1,not collected,
195,47,Ulvaria sp,2.5,not collected,
196,47,boulders,,28,
197,48,Saccharina latissima,240.1,35,
198,48,saccharina spp biomass ,40.1,not collected,
199,48,Ulvaria sp,0.2,2,
200,48,Mazzaella sp,0.4,1,
201,48,Mazzaella phyllocarpa,0.2,1,
202,48,Ulva prolifera,0.2,2,
203,48,boulders,,59,
204,49,Saccharina groenlandica,509.7,60,
205,49,Saccharina spp,84.1,not collected,
206,49,boulders,,40,
207,50,Saccharina latissima,130,45,
208,50,Ulvaria sp,94.5,30,
209,50,Dictyosiphon foeniculaceus,0.2,not collected,
210,50,Ulva prolifera,1.1,not collected,
211,50,Ceramium pacificum,0.9,not collected,
212,50,Saccharina spp,119.7,not collected,
213,50,boulders,,25,
214,56,Saccharina groenlandica,547.4,50,
215,56,Farlowia mollis,71.3,30,
216,56,Ulvaria sp,33.8,10,
217,56,Neorhodomela aculeata,14.7,10,
218,56,Zostera marina biomass,0.1,not collected,
219,56,Zostera marina,0.9,not collected,
220,56,saccharina spp biomass ,73.7,not collected,
221,56,Ulva prolifera,2.3,not collected,
222,56,Corallina officinalis,0.9,not collected,
223,56,Leathesia marina,1,not collected,
224,56,Mazzaella splendens,23.1,not collected,
225,56,Eudesme virescens,0.3,not collected,
226,57,Farlowia mollis,30.9,40,
227,57,Dictyosiphon foeniculaceus,26.8,15,
228,57,Saccharina latissima,17.5,10,
229,57,Ulva prolifera,3.1,15,
230,57,Cobble ,,20,
231,57,Eudesme virescens,4.9,not collected,
232,57,Leathesia marina,1.7,not collected,
233,57,Mazzaella sp,2.2,not collected,
234,57,saccharina spp biomass ,2.1,not collected,
235,57,Ulvaria sp,25.7,not collected,
236,57,Ceramium pacificum,4.4,not collected,
237,58,Saccharina groenlandica,49.3,20,
238,58,Zostera marina,8.8,10,
239,58,Dictyosiphon foeniculaceus,53.4,10,
240,58,Farlowia mollis,42,20,
241,58,Ulvaria sp,47.1,10,
242,58,Boulders,,30,
243,58,Ulva prolifera,6.1,not collected,
244,58,Ceramium pacificum,1.7,not collected,
245,58,Eudesme virescens,4,not collected,
246,58,Saccharina spp biomass ,44.2,not collected,
247,58,Gracilaria - Gracilariopsis sp.,1.5,not collected,
248,59,Saccharina groenlandica,440.5,40,
249,59,Mazzaella splendens,4.8,2,
250,59,Ulvaria sp,90.1,20,
251,59,Neorhodomela aculeata,9.2,5,
252,59,Farlowia mollis,7.2,5,
253,59,Sand ,,28,
254,59,Saccharina spp biomass ,27,not collected,
255,59,Punctaria lobata ,2.1,not collected,
256,59,Mazzaella sp,0.3,not collected,
257,59,Dictyosiphon foeniculaceus,0.9,not collected,
258,60,Saccharina spp,233.5,30,
259,60,Macrocystis pyrifera ,97.9,20,
260,60,Macrocystis pyrifera biomass,28.8,not collected,
261,60,Ulva prolifera,45,15,
262,60,Farlowia mollis,5.3,10,
263,60,Ulvaria sp,28.8,5,
264,60,Cobble ,,20,
265,60,Palmaria hectensis,0.7,not collected,
266,66,Saccharina groenlandica,1022.8,100,
267,66,Saccharina spp biomass ,120.6,not collected,
268,67,Corallina officinalis,31.2,60,
269,67,Saccharina groenlandica,78.5,20,
270,67,Bare rock,,20,
271,67,Saccharina spp biomass ,3,not collected,
272,67,Leathesia marina,0.4,not collected,
273,67,Sarcodiotheca gaudichaudii,0.3,not collected,
274,67,Neorhodomela spp.,1.2,not collected,
275,67,Dictyosiphon foeniculaceus,0.6,not collected,
276,68,Saccharina groenlandica,1087.8,30,
277,68,Constantinea rosa-marina,24.6,15,
278,68,Dictyosiphon foeniculaceus,46.2,25,
279,68,Corallina officinalis,14.4,30,
280,68,Saccharina spp,31.6,not collected,
281,69,Saccharina groenlandica,376.6,70,
282,69,Constantinea rosa-marina,12.8,5,
283,69,Corallina officinalis,46.5,25,
284,69,Saccharina spp biomass ,16.3,not collected,
285,69,Dictyosiphon foeniculaceus,1.4,not collected,
286,70,Saccharina groenlandica,371.6,50,
287,70,Corallina officinalis,62.8,50,
288,70,Saccharina spp biomass ,50.3,not collected,
289,70,Dictyosiphon foeniculaceus,3.2,not collected,
290,91,Saccharina latissima,179.1,25,
291,91,Saccharina biomass,90.3,not collected,
292,91,Callophyllis spp,0.1,not collected,
293,91,Arcosiphonia arcta,1.1,not collected,
294,91,Dictyosiphon foeniculaceus,160.6,20,
295,91,Ulva prolifera,86.1,40,
296,91,Neorhodomela spp.,2.2,2,
297,91,cobble,,13,
298,92,Dictyosiphon foeniculaceus,117.9,45,
299,92,Eudesme virescens,7.3,10,
300,92,Odonthalia flocossa f. comosa,0.8,not collected,
301,92,cobble,,45,
302,93,Saccharina latissima,373,65,
303,93,Saccharina biomass,398.3,not collected,
304,93,Ulva prolifera,1.8,not collected,
305,93,Acrosiphonia arcta,0.1,10,
306,93,Dictyosiphon foeniculaceus,36.1,20,
307,93,cobble,,5,
308,94,Saccharina latissima,212.5,75,
309,94,Saccharina biomass,196.5,not collected,
310,94,Dictyosiphon foeniculaceus,51.3,20,
311,94,Palmaria callaphyoides,0.9,not collected,
312,94,Arcosiphonia arcta,0.3,not collected,
313,94,cobble,5,5,
314,95,Saccharina latissima,253.6,50,
315,95,Saccharina biomass,113,not collected,
316,95,Dictyosiphon foeniculaceus,9.3,25,
317,95,Ulva prolifera,16.2,not collected,
318,95,Callophyllis spp,0.1,not collected,
319,95,Sarcodiotheca gaudichaudii,8.5,not collected,
320,95,cobble,,25,
321,101,Cymathaene triplicata,201,not collected,
322,101,Saccharina groenlandica biomass,459.3,not collected,
323,101,Saccharina groenlandica ,752.9,90,
324,101,Ulva lactuca,98.3,10,
325,101,Ulva prolifera,3.4,not collected,
326,102,Cymathaere triplicata,72.6,not collected,
327,102,Saccharina latissima,107.2,35,
328,102,Ulva lactuca,142.8,15,
329,102,Ulva prolifera,103.9,15,
330,102,Costaria costata,3.2,not collected,
331,102,Petalonia fascia,1.4,not collected,
332,102,Dictyosiphon foeniculaceus,4,10,
333,102,Saccharina biomass,5.3,not collected,
334,102,Farlowia mollis,1.8,5,
335,102,Punctaria lobata ,9.1,not collected,
336,102,boulders,,20,
337,103,Costaria costata,51.2,not collected,
338,103,Costaria costata,37.8,not collected,
339,103,Saccharina latissima,69.2,75,
340,103,Saccharina biomass,38.9,not collected,
341,103,Farlowia mollis,5.4,not collected,
342,103,Ulva intestinalis,9.4,not collected,
343,103,Mazaella spp,0.8,not collected,
344,103,Ulva lactuca ,42,25,
345,104,Saccharina latissima,39.1,56,
346,104,Saccharina groenlandica,5.7,14,
347,104,Petalonia fascia,0.9,not collected,
348,104,Costaria costata,70.6,not collected,
349,104,Ulva lactuca,5.7,not collected,
350,104,Ulva prolifera,0.9,not collected,
351,104,Sarcodiotheca gaudichaudii,0.6,not collected,
352,104,Ulva intestinalis,4.3,20,
353,104,Farlowia mollis,24.7,9,
354,104,Saccharina biomass,61.2,1,
355,104,Polysiphonia pacifica,1,not collected,
356,105,Saccharina latissima,38.1,53,
357,105,Saccharina groenlandica,10.6,22,
358,105,Mazaella spp,14.8,1,
359,105,Corallina officinalis,0.6,not collected,
360,105,Saccharina biomass,2.7,not collected,
361,105,Stephanocystis geminata,1.8,not collected,
362,105,Ulva prolifera,1,not collected,
363,105,Farlowia mollis,5.6,not collected,
364,105,Ulva lactuca,86.9,24,
365,105,Pterosiphonia hamata,2.5,not collected,
