"","species_by_quadrat_ID","quadrat_ID","species","weight","%_cover","notes"
"73",73,115,"Acrosiphinia arcta",48.6,NA,NA
"74",74,115,"Dictyosiphon foeniculaceus",28.9,NA,NA
"75",75,115,"Desmarestia spp",3.2,NA,NA
"76",76,115,"Neorhodomela aculeata",28.7,NA,NA
"77",77,115,"Ahnfeltia fastigiata",24.2,NA,NA
"78",78,115,"Acrosiphinia spp",16.1,NA,NA
"79",79,116,"Saccharina spp",401.3,79.2,NA
"80",80,116,"Saccharina latissima",12.2,NA,NA
"81",81,116,"Saccharina groenlandica",94.7,NA,NA
"82",82,116,"Ulva spp",12.4,NA,NA
"83",83,116,"Fucus distichus",127.7,2,NA
"84",84,116,"Neorhodomela aculeata",163.3,NA,NA
"85",85,116,"Constantinia spp",4,NA,NA
"86",86,116,"Palmaria spp",6.7,NA,NA
"87",87,117,"Neorhodomela aculeata",70.8,NA,NA
"88",88,117,"Ulva spp",136.5,5,NA
"89",89,117,"Fucus distichus",449.3,5,NA
"90",90,117,"Laminaria yezoensis",74,NA,NA
"91",91,117,"Saccharina latissima",388.5,5,NA
"92",92,117,"Palmaria spp",15.4,NA,NA
"93",93,117,"Analipus japonicus",1.2,NA,NA
"94",94,117,"Biomass",3.7,NA,NA
"95",95,118,"Fucus distichus",185.5,20,NA
"96",96,118,"Sargassum spp",47.3,30,NA
"97",97,118,"Saccharina latissima",297.5,NA,NA
"98",98,118,"Saccharina groenlandica",64.6,NA,NA
"99",99,118,"Palmaria spp",33.3,NA,NA
"100",100,118,"Ulva spp",99.1,20,NA
"101",101,118,"Desmersita spp",21.6,10,NA
"102",102,118,"Neorhodomela aculeata",29.1,5,NA
"103",103,118,"Odonthalia spp",1.7,NA,NA
"104",104,118,"Ectocarpus siliculosus",14.7,NA,NA
"105",105,119,"Fucus distichus",55.5,10,NA
"106",106,119,"Petalonia fascia",5.2,NA,NA
"107",107,119,"Saccharina latissima",72.1,9.7,NA
"108",108,119,"Saccharina groenlandica",152.7,20.3,NA
"109",109,119,"Palmaria spp",26.5,NA,NA
"110",110,119,"Macrocystis pyrifera",1063.7,10,NA
"111",111,119,"Ulva lactuca",213.4,26,NA
"112",112,119,"Ulva spp",32.8,4,NA
"113",113,119,"Neorhodomela aculeata",11.7,NA,NA
"114",114,119,"Desmarestia spp",37.9,NA,NA
"115",115,119,"Biomass",29.5,NA,NA
"116",116,120,"Ulva spp",535.4,40,NA
"117",117,120,"Laminaria yezoensis",45.8,NA,NA
"118",118,120,"Palmaria spp",30.8,40,NA
"119",119,120,"Saccharina latissima",223.8,NA,NA
"120",120,120,"Saccharina groenlandica",23.7,NA,NA
"121",121,120,"Sargassum spp",16.1,10,NA
"122",122,120,"Fucus distichus",17.4,NA,NA
"123",123,120,"Neorhodomela aculeata",3.2,NA,NA
"124",124,121,"Saccharina spp",209,10,NA
"125",125,121,"Neorhodomela aculeata",121,5,NA
"126",126,121,"Sargassum muticum",22,NA,NA
"127",127,121,"Sparangia pertula",54,NA,NA
"128",128,121,"Ulva spp",75,3,NA
"129",129,121,"Polyneura latissima",33,NA,NA
"130",130,121,"Corallina vancouveriensis",1,NA,NA
"131",131,121,"Palmaria callophyllis",3,NA,NA
"132",132,121,"Odonthalia spp",54,NA,NA
"133",133,121,"Falonia mollis",2,NA,NA
"134",134,122,"Saccharina spp",1500,80,"10% coralline"
"135",135,123,"Saccharina spp",650,100,NA
"136",136,123,"Sargassum muticum",3,NA,NA
"137",137,123,"Palmaria mollis",1,NA,NA
"138",138,123,"Farlomia mollis",1,NA,NA
"139",139,123,"Cumantamion decipiens",2,NA,NA
"140",140,124,"Saccharina spp",175,20,NA
"141",141,124,"Neorhodomela aculeata",24,1,NA
"142",142,124,"Sargassum muticum",31,5,NA
"143",143,124,"Odonthalia spp",2,NA,NA
"144",144,124,"Sparangia pertula",5,NA,NA
"145",145,124,"Polyneura latissima",6,NA,"5% coralline"
"146",146,125,"Saccharina spp",658,100,NA
"147",147,125,"Neorhodomela aculeata",5,NA,NA
