quadrat_ID,site,bay_ID,date,YYYYMMDD,habitat,quadrat,total_biomass_g,density_0.25msq,flowering_0.25msq,notes,,
74,Nichols - eel,NICH_A,6/26/2021,20210626,surfgrass,4,107.8,64,0,phyllospadix ,,
75,Nichols - eel,NICH_A,6/26/2021,20210626,surfgrass,5,73.5,36,0,55% algae- Pterosiphonia spp and Neorhodomela aculeata with a few cobbles,,
76,Bostwick inlet - kelp,BOST_B,08/11/2021,20210811,kelp,1,180.7,N/A,N/A,"40% saccharina, 30% graceful black pine, 10% finely branched reds, 2% stephoncystis, 15 % sand, 3% cobble",,
77,Bostwick inlet - kelp,BOST_B,08/11/2021,20210811,kelp,2,246.5,N/A,N/A,"70% Saccharina, 10% ulva, 5% fucus, 5% bladed red 10 % sand",,
78,Bostwick inlet - kelp,BOST_B,08/11/2021,20210811,kelp,3,1411.3,N/A,N/A,"75% fucus, 10% ulva, 10% saccharina, 5% finely branched reds",,
79,Bostwick inlet - kelp,BOST_B,08/11/2021,20210811,kelp,4,229.8,N/A,N/A,"30% graceful black pine, 20% dying stephanocystics, 5% bladed red, 2% ulva, 15% finely branched reds, 10 % cobble, 18 % sand",,
80,Bostwick inlet - kelp,BOST_B,08/11/2021,20210811,kelp,5,184.6,N/A,N/A,"35% agarum, 5% bladed red, 5% ulva, 10% fucus, 15% stephanocystis, 5% saccharina, 15% finely branched reds, 10 % cobble, had pychnopodia and temessus",,
81,Bostwick inlet - eel,BOST_A,08/12/2021,20210812,eelgrass,1,,22,0,"80 % bare, 20% eelgrass",,
82,Bostwick inlet - eel,BOST_A,08/12/2021,20210812,eelgrass,2,,18,0,"35% fucus, 20% eelgrass, 45% sand",,
83,Bostwick inlet - eel,BOST_A,08/12/2021,20210812,eelgrass,3,,26,0,"30% eelgrass, 15% fucus, 55% bare",,
84,Bostwick inlet - eel,BOST_A,08/12/2021,20210812,eelgrass,4,,46,2,"40% eelgrass, 60% bare",,
85,Bostwick inlet - eel,BOST_A,08/12/2021,20210812,eelgrass,5,,36,1,"30% eelgrass, 70% bare",,
86,Klawock Airport-eel,KLWA_A,08/07/2021,20210807,eelgrass,1,N/A,102,0,"50% bare, 48% seagrass, 2% spaghetti kelp. ",,
87,Klawock Airport-eel,KLWA_A,08/07/2021,20210807,eelgrass,2,N/A,65,0,"60% eelgrass, 40% bare no kelp",,
88,Klawock Airport-eel,KLWA_A,08/07/2021,20210807,eelgrass,3,N/A,100,0,"86% seagrass, 2% spagetti kelp, 10% bare, 2% rockweed",,
89,Klawock Airport-eel,KLWA_A,08/07/2021,20210807,eelgrass,4,N/A,77,0,70% eelgrass 30% bare,,
90,Klawock Airport-eel,KLWA_A,08/07/2021,20210807,eelgrass,5,N/A,82,0,100% eelgrass no kelp disease present ,,
91,Clam Island-eel,CLAM_A,08/08/2021,20210808,eelgrass,1,103.5,37,0,"50% ulva, 40% eel, 2% brown stringy algae, 8% gravel",,
92,Clam Island-eel,CLAM_A,08/08/2021,20210808,eelgrass,2,4,81,0,100% eel has kelp,,
93,Clam Island-eel,CLAM_A,08/08/2021,20210808,eelgrass,3,44.2,50,0,"75% eel, 10% ulva, 15% bare",,
94,Clam Island-eel,CLAM_A,08/08/2021,20210808,eelgrass,4,N/A,71,0,100% eel no kelp,,
95,Clam Island-eel,CLAM_A,08/08/2021,20210808,eelgrass,5,15.1,25,0,"60% eel, 10% ulva, 30% bare,  has kelp",,
96,Clam Island-kelp ,CLAM_A,08/08/2021,20210808,kelp,1,750.9,N/A,N/A,"20% chain kelp, 80% saccharina",,
97,Clam Island-kelp ,CLAM_A,08/08/2021,20210808,kelp,2,279.2,N/A,N/A,"30% chain kelp, 70% saccharina ",,
98,Clam Island-kelp ,CLAM_A,08/08/2021,20210808,kelp,3,31.1,N/A,N/A,"15% fucus, 10% ulva, 50% saccharina, 15% bare ",,
99,Clam Island-kelp ,CLAM_A,08/08/2021,20210808,kelp,4,540.5,N/A,N/A,"50% chain, 10% ulva, 5% sccharina,  35% bare",,
100,Clam Island-kelp ,CLAM_A,08/08/2021,20210808,kelp,5,585.7,N/A,N/A,"10% macro, 40% saccharina, 25% brown stringy, 25% cobble",,
101,NFEI Point-eel,NFEI_B,08/09/2021,20210809,surfgrass,1,N/A,121,0,"95% seagrass all phyllospadix, 5% bare/shell hash ",,
102,NFEI Point-eel,NFEI_B,08/09/2021,20210809,eelgrass,2,N/A,41,0,"75% seagrass lots of dead primary zostera, 5% ulva, 20% bladed brown",,
103,NFEI Point-eel,NFEI_B,08/09/2021,20210809,eelgrass,3,N/A,59,0,"50% seagrass mainly zostera, 2% ulva, 2% bladed red, 10% bladed brown 36% bare or dead kelp",,
104,NFEI Point-eel,NFEI_B,08/09/2021,20210809,eelgrass,4,N/A,63,0,"95% seagrass, 5% brown bladed",,
105,NFEI Point-eel,NFEI_B,08/09/2021,20210809,eelgrass,5,N/A,80,0,"90% seagrass mix of zostera and phyllospadix, 10% bladed brown ",,
106,NFEI Point-kelp,NFEI_B,08/09/2021,20210809,kelp,1,175.1,N/A,N/A,"40% stephanocystis, 5% dictysiphon, 2% spagetti, 2% ulva, 2% graceful black pine, 2% punctaria lobata, 2% red stringy, 25% cobble, 20% sand ",,
107,NFEI Point-kelp,NFEI_B,08/09/2021,20210809,kelp,2,361.6,N/A,N/A,"75% stephocystis, 15% graceful black pine, 2% stringy brown, 1% dictysiphon, 1% spagetti kelp, 6% sand ",,
108,NFEI Point-kelp,NFEI_B,08/09/2021,20210809,kelp,3,313.7,N/A,N/A,"30% stephanocystis, 25% ulva, 15% graceful black pine, 2% fucus, 1% spagetti kelp, 2% dictysiphonon, 15% cobble, 10% sand",,
109,NFEI Point-kelp,NFEI_B,08/09/2021,20210809,kelp,4,279.6,N/A,N/A,"30% ulva, 20% graceful black pine, 10% saccharina, 2% dictysiphon, 2% fucus, 46% sand",,
110,NFEI Point-kelp,NFEI_B,08/09/2021,20210809,kelp,5,443.3,N/A,N/A,"45% stephanocystis, 15% graceful black pine, 15% finely branched red, 15% finely branched brown, 2% ulva, 2% dictosyphon, 2% fucus, 4% stringy brown, 10% sand ",,
111,Big Tree Bay-eel,BTRB_A,08/06/2021,20210806,eelgrass,1,N/A,108,0,"60% seagrass all eelgrass, 40% bare/shells lots of disease ",,
112,Big Tree Bay-eel,BTRB_A,08/06/2021,20210806,eelgrass,2,N/A,111,0,"85% seagrass, 15% bare/shells/cobble",,
113,Big Tree Bay-eel,BTRB_A,08/06/2021,20210806,eelgrass,3,N/A,159,0,"55% bare/shell hash, 45% seagrass primarily phyllospadix ",,
114,Big Tree Bay-eel,BTRB_A,08/06/2021,20210806,eelgrass,4,N/A,178,0,"60% bare, 40% seagrass",,
115,Big Tree Bay-eel,BTRB_A,08/06/2021,20210806,eelgrass,5,N/A,130,0,"35% seagrass, 65% bare/mud have a freshwater film ",,
