"","species_by_quadrat_ID","quadrat_ID","species","weight","percent_cover","notes"
"127",127,119,"Neorhodomela aculeata",11.7,NA,""
"128",128,119,"Desmarestia spp",37.9,NA,""
"129",129,119,"Biomass",29.5,5,""
"130",130,119,"bare rock",NA,15,""
"131",131,120,"Ulva spp",535.4,40,""
"132",132,120,"Laminaria yezoensis",45.8,NA,""
"133",133,120,"Palmaria spp",30.8,NA,""
"134",134,120,"Saccharina latissima",223.8,36,""
"135",135,120,"Saccharina groenlandica",23.7,4,"10% coralline "
"136",136,120,"Sargassum spp",16.1,5,""
"137",137,120,"Fucus distichus",17.4,NA,""
"138",138,120,"Neorhodomela aculeata",3.2,NA,""
"139",139,120,"Micellaneous",NA,10,""
"140",140,120,"rock",NA,5,""
"141",141,121,"Saccharina spp",209,10,""
"142",142,121,"Neorhodomela aculeata",121,5,""
"143",143,121,"Sargassum muticum",22,1,""
"144",144,121,"Sparlingia pertusa",54,NA,""
"145",145,121,"Ulva spp",75,3,""
"146",146,121,"Polyneura latissima",33,NA,"5% coralline"
"147",147,121,"Corallina vancouveriensis",1,NA,""
"148",148,121,"Palmaria callophyllis",3,NA,""
"149",149,121,"Odonthalia spp",54,NA,"notes"
"150",150,121,"Farlowia mollis",2,NA,""
"151",151,121,"bare",NA,81,""
"152",152,122,"Saccharina spp",1500,80,""
"153",153,122,"Coraline algae",NA,10,""
"154",154,122,"bare",NA,10,""
"155",155,123,"Saccharina spp",650,100,""
"156",156,123,"Sargassum muticum",3,NA,""
"157",157,123,"Palmaria mollis",1,NA,""
"158",158,123,"Farlowia mollis",1,NA,""
"159",159,123,"Sparlingia pertusa",1,NA,""
"160",160,123,"Cumantamion decipiens ",2,NA,""
"161",161,124,"Saccharina spp",175,20,""
"162",162,124,"Neorhodomela aculeata",24,1,""
"163",163,124,"Sargassum muticum",31,5,""
"164",164,124,"Odonthalia spp",2,NA,""
"165",165,124,"Sparlingia pertusa",5,NA,""
"166",166,124,"Polyneura latissima",6,NA,""
"167",167,124,"Coraline algae",NA,5,""
"168",168,124,"Ulva spp",NA,1,""
"169",169,124,"shell hash/boulders",NA,68,""
"170",170,125,"Saccharina spp",658,100,""
"171",171,125,"Neorhodomela aculeata",5,NA,""
