quadrat_ID,site,date,YYYYMMDD,habitat,quadrat,total_biomass,density,flowering_shoots,notes
106,North Fish Egg - kelp,5/11/19,20190511,kelp,1,510,NA,NA,
107,North Fish Egg - kelp,5/11/19,20190511,kelp,2,146,NA,NA,
108,North Fish Egg - kelp,5/11/19,20190511,kelp,3,183,NA,NA,
109,North Fish Egg - kelp,5/11/19,20190511,kelp,4,196,NA,NA,
110,North Fish Egg - kelp,5/11/19,20190511,kelp,5,425,NA,NA,
111,Heceta - kelp,6/3/19,20190603,kelp,1,669.6,NA,NA,
112,Heceta - kelp,6/3/19,20190603,kelp,2,613.4,NA,NA,
113,Heceta - kelp,6/3/19,20190603,kelp,3,449.6,NA,NA,
114,Heceta - kelp,6/3/19,20190603,kelp,4,778.3,NA,NA,
115,Heceta - kelp,6/3/19,20190603,kelp,5,656.3,NA,NA,
116,Baker Island - kelp,6/6/19,20190606,kelp,1,822.3,NA,NA,
117,Baker Island - kelp,6/6/19,20190606,kelp,2,1139.4,NA,NA,
118,Baker Island - kelp,6/6/19,20190606,kelp,3,776.4,NA,NA,
119,Baker Island - kelp,6/6/19,20190606,kelp,4,1701,NA,NA,
120,Baker Island - kelp,6/6/19,20190606,kelp,5,896.2,NA,NA,
121,Craig Highway,5/20/19,20190520,kelp,1,574,NA,NA,
122,Craig Highway,5/20/19,20190520,kelp,2,1500,NA,NA,
123,Craig Highway,5/20/19,20190520,kelp,3,658,NA,NA,
124,Craig Highway,5/20/19,20190520,kelp,4,243,NA,NA,
125,Craig Highway,5/20/19,20190520,kelp,5,663,NA,NA,
