"","species_by_quadrat_ID","quadrat_ID","species","weight_g","X._cover","notes"
"51",54,17,"Saccharina latissima",809.7,"100",""
"52",55,18,"Stephanocystis geminata",149.3,"20",""
"53",56,18,"Ulva lactuca",19.4,"20",""
"54",57,18,"Zostera marina",3.3,"2",""
"55",58,18,"Leathesia marina",0.5,"not collected",""
"56",59,18,"Neorhodomela aculeata",6.7,"5",""
"57",60,18,"Gracilaria - Gracilariopsis sp.",3.3,"5",""
"58",61,18,"Sand",NA,"48",""
"59",62,19,"Stephanocystis geminata",515.8,"45",""
"60",63,19,"Stephanocystis geminata biomass",11,"not collected",""
"61",64,19,"Neodilsea borealis",5.6,"2",""
"62",65,19,"Ulva lactuca",14.8,"20",""
"63",66,19,"Petalonia fascia",0.4,"not collected ",""
"64",67,19,"Leathesia marina",0.1,"not collected ",""
"65",68,19,"Neorhodomela aculeata",42.5,"25",""
"66",69,19,"Gracilaria - Gracilariopsis sp.",1.5,"2",""
"67",70,19,"Ulva prolifera",0.1,"not collected",""
"68",71,19,"Sand",NA,"6",""
"69",72,20,"Phyllospadix serrulatus",44.4,"10",""
"70",73,20,"Phyllospadix serrulatus biomass",3.7,"not collected",""
"71",74,20,"Ulva lactuca",87.7,"20",""
"72",75,20,"Ulva sp",13.8,"not collected",""
"73",76,20,"Gracilaria - Gracilariopsis sp.",1.9,"2",""
"74",77,20,"Neorhodomela aculeata biomass",133.3,"not collected",""
"75",78,20,"Neorhodomela aculeata",296.1,"30",""
"76",79,20,"Sarcodiotheca gaudichaudii",2.5,"not collected",""
"77",80,20,"Dictyosiphon foeniculaceus",1.2,"not collected",""
"78",81,20,"Callophyllis spp",0.5,"not collected ",""
"79",82,20,"Mixed bladed red",0.9,"not collected",""
"80",83,20,"Cobble",NA,"38",""
"81",84,26,"Punctaria lobata",28,"not collected",""
"82",85,26,"Dictyosiphon foeniculaceus",6.1,"not collected","algae in eelgrass quadrats"
"83",86,27,"Punctaria lobata",9.9,"not collected","algae in eelgrass quadrats"
"84",87,28,"Punctaria lobata",1.4,"not collected","algae in eelgrass quadrats"
"85",88,29,"Punctaria lobata",3.2,"not collected","algae in eelgrass quadrats"
"86",89,30,"Punctaria lobata",0.1,"not collected","algae in eelgrass quadrats"
"87",90,30,"Dictyosiphon foeniculaceus",36,"not collected","algae in eelgrass quadrats"
"88",91,31,"Zostera marina",94.5,"5",""
"89",92,31,"saccharina groenlandica",740.6,"40",""
"90",93,31,"Saccharina spp biomass",89,"not collected ",""
"91",94,31,"Ulvaria sp",9.8,"10",""
"92",95,31,"Desmarestia aculeata",8.1,"not collected",""
"93",96,31,"Neorhodomela spp.",1.4,"not collected",""
"94",97,31,"Farlowia mollis",14.1,"20",""
"95",98,31,"Sarcodiotheca gaudichaudii",1.9,"not collected",""
"96",99,31,"Neodilsea borealis",50.3,"10",""
"97",100,31,"Cobble",NA,"15",""
"98",101,32,"Zostera marina",39.7,"5",""
"99",102,32,"Ulvaria sp",13.4,"10",""
"100",103,32,"Desmarestia aculeata",12.4,"5",""
"101",104,32,"Saccharina spp",77.3,"20",""
"102",105,32,"Cobble",NA,"60",""
"103",106,33,"Zostera marina",27.6,"2",""
"104",107,33,"Stephanocystis geminata",35.6,"2",""
"105",108,33,"Sarcodiotheca gaudichaudii",0.9,"not collected",""
"106",109,33,"Dictyosiphon foeniculaceus",43.1,"20",""
"107",110,33,"Neodilsea borealis",2.9,"not collected",""
"108",111,33,"Chondracanthus exasperatus",4.7,"not collected",""
"109",112,33,"Farlowia mollis",15,"40",""
"110",113,33,"Ulvaria sp",2.2,"not collected",""
"111",114,33,"Mazzaella sp",8.5,"1",""
"112",115,33,"Cobble",NA,"35",""
"113",116,34,"Ulvaria spp",9.6,"2",""
"114",117,34,"Neodilsea borealis",23.7,"10",""
"115",118,34,"Dictyosiphon foeniculaceus",1.5,"not collected",""
"116",119,34,"Farlowia mollis",7.8,"10",""
"117",120,34,"Mazzaella sp",3.6,"not collected",""
"118",121,34,"ulva prolifera",0.7,"not collected",""
"119",122,34,"Callophyllis spp",0.5,"not collected",""
"120",123,34,"Sphacelaria spp",6.7,"not collected",""
"121",124,34,"Mazzaella phyllocarpa",1.3,"not collected",""
"122",125,34,"Sand",NA,"45",""
"123",126,34,"Cobble",NA,"33",""
"124",127,35,"saccharina groenlandica",33.8,"20",""
"125",128,35,"Chondracanthus exasperatus",55.7,"10",""
"126",129,35,"Ulvaria spp",45.3,"5",""
"127",130,35,"Dictyosiphon foeniculaceus",24.6,"10",""
"128",131,35,"Farlowia mollis",85.2,"40",""
"129",132,35,"Fucus gardenari",0.7,"not collected",""
"130",133,35,"mazzaella splendens",1.4,"not collected",""
"131",134,35,"Saccharina spp",114.2,"not collected",""
"132",135,35,"Mazzaella phyllocarpa",9.5,"not collected",""
"133",136,35,"Mazzaella sp",6.9,"not collected",""
"134",137,35,"Cobble",NA,"15",""
"135",138,36,"Saccharina groenlandica",740.6,"40",""
"136",139,36,"Zostera marina",94.5,"5",""
"137",140,36,"Neodilsea borealis",50.3,"10",""
"138",141,36,"Farlowia mollis",14.1,"20",""
"139",142,36,"Ulvaria sp",9.8,"10",""
"140",143,36,"Saccharina spp",89,"not collected",""
"141",144,36,"Desmarestia aculeata",8.1,"not collected",""
"142",145,36,"Neorhodomela spp.",1.4,"not collected",""
"143",146,36,"Sarcodiotheca gaudichaudii",1.9,"not collected",""
"144",147,36,"Neodilsea borealis",50.3,"not collected",""
"145",148,36,"Cobble",NA,"",""
"146",149,37,"Saccharina spp",77.3,"20",""
"147",150,37,"Ulvaria sp",13.4,"10",""
"148",151,37,"Desmarestia aculeata",12.4,"5",""
"149",152,37,"Zostera marina",39.7,"5",""
"150",153,37,"Cobble",NA,"60",""
"151",154,38,"Mazzaella sp",8.5,"1",""
"152",155,38,"Stephanocystis geminata",35.6,"2",""
"153",156,38,"Zostera marina",27.6,"2",""
"154",157,38,"Farlowia mollis",15,"40",""
"155",158,38,"Dictyosiphon foeniculaceus",43.1,"20",""
"156",159,38,"Sarcodiotheca gaudichaudii",0.9,"not collected",""
"157",160,38,"Neodilsea borealis",2.9,"not collected",""
"158",161,38,"Chondracanthus exasperatus",4.7,"not collected",""
"159",162,38,"Ulvaria sp",2.2,"not collected",""
"160",163,38,"Cobble",NA,"35",""
"161",164,39,"Neodilsea borealis",23.7,"10",""
"162",165,39,"Farlowia mollis",7.8,"10",""
"163",166,39,"Ulvaria sp",9.6,"2",""
"164",167,39,"Dictyosiphon foeniculaceus",1.5,"not collected",""
"165",168,39,"Mazzaella sp",3.6,"not collected",""
"166",169,39,"Ulva prolifera",0.7,"not collected",""
"167",170,39,"Callophyllis spp",0.5,"not collected",""
"168",171,39,"Sphacelaria spp",6.7,"not collected",""
"169",172,39,"Mazzaella phyllocarpa",1.3,"not collected",""
"170",173,39,"Sand",NA,"45",""
"171",174,39,"Cobble",NA,"33",""
"172",175,40,"Saccharina groenlandica",33.8,"20",""
"173",176,40,"Chondracanthus exasperatus",55.7,"10",""
"174",177,40,"Farlowia mollis",85.2,"40",""
"175",178,40,"Dictyosiphon foeniculaceus",24.6,"10",""
"176",179,40,"Ulvaria sp",45.3,"5",""
"177",180,40,"Fucus gardneri",0.7,"not collected",""
"178",181,40,"Mazzaella splendens",1.4,"not collected",""
"179",182,40,"Saccharina spp",114.2,"not collected",""
"180",183,40,"Mazzaella phyllocarpa",9.5,"not collected",""
"181",184,40,"Mazzaella sp",6.9,"not collected",""
"182",185,40,"Cobble",NA,"15",""
"183",186,46,"Saccharina latissima",380.3,"50",""
"184",187,46,"Ulva prolifera",5.8,"2",""
"185",188,46,"Saccharina spp",132.8,"not collected",""
"186",189,46,"boulders",NA,"48",""
"187",190,47,"Saccharina latissima",221.2,"45",""
"188",191,47,"Neorhodomela aculeata",68.7,"20",""
"189",192,47,"Corallina officinalis",0,"2",""
"190",193,47,"Ulva prolifera",0.4,"5",""
"191",194,47,"Saccharina spp",21.1,"not collected",""
"192",195,47,"Ulvaria sp",2.5,"not collected",""
"193",196,47,"boulders",NA,"28",""
"194",197,48,"Saccharina latissima",240.1,"35",""
"195",198,48,"Saccharina spp biomass",40.1,"not collected",""
"196",199,48,"Ulvaria sp",0.2,"2",""
"197",200,48,"Mazzaella sp",0.4,"1",""
"198",201,48,"Mazzaella phyllocarpa",0.2,"1",""
"199",202,48,"Ulva prolifera",0.2,"2",""
"200",203,48,"boulders",NA,"59",""
"201",204,49,"Saccharina groenlandica",509.7,"60",""
"202",205,49,"Saccharina spp",84.1,"not collected",""
"203",206,49,"boulders",NA,"40",""
"204",207,50,"Saccharina latissima",130,"45",""
"205",208,50,"Ulvaria sp",94.5,"30",""
"206",209,50,"Dictyosiphon foeniculaceus",0.2,"not collected",""
"207",210,50,"Ulva prolifera",1.1,"not collected",""
"208",211,50,"Ceramium pacificum",0.9,"not collected",""
"209",212,50,"Saccharina spp",119.7,"not collected",""
"210",213,50,"boulders",NA,"25",""
"211",214,56,"Saccharina groenlandica",547.4,"50",""
"212",215,56,"Farlowia mollis",71.3,"30",""
"213",216,56,"Ulvaria sp",33.8,"10",""
"214",217,56,"Neorhodomela aculeata",14.7,"10",""
"215",218,56,"Zostera marina biomass",0.1,"not collected",""
"216",219,56,"Zostera marina",0.9,"not collected",""
"217",220,56,"Saccharina spp biomass",73.7,"not collected",""
"218",221,56,"Ulva prolifera",2.3,"not collected",""
"219",222,56,"Corallina officinalis",0.9,"not collected",""
"220",223,56,"Leathesia marina",1,"not collected",""
"221",224,56,"Mazzaella splendens",23.1,"not collected",""
"222",225,56,"Eudesme virescens",0.3,"not collected",""
"223",226,57,"Farlowia mollis",30.9,"40",""
"224",227,57,"Dictyosiphon foeniculaceus",26.8,"15",""
"225",228,57,"Saccharina latissima",17.5,"10",""
"226",229,57,"Ulva prolifera",3.1,"15",""
"227",230,57,"Cobble",NA,"20",""
"228",231,57,"Eudesme virescens",4.9,"not collected",""
"229",232,57,"Leathesia marina",1.7,"not collected",""
"230",233,57,"Mazzaella sp",2.2,"not collected",""
"231",234,57,"Saccharina spp biomass",2.1,"not collected",""
"232",235,57,"Ulvaria sp",25.7,"not collected",""
"233",236,57,"Ceramium pacificum",4.4,"not collected",""
"234",237,58,"Saccharina groenlandica",49.3,"20",""
"235",238,58,"Zostera marina",8.8,"10",""
"236",239,58,"Dictyosiphon foeniculaceus",53.4,"10",""
"237",240,58,"Farlowia mollis",42,"20",""
"238",241,58,"Ulvaria sp",47.1,"10",""
"239",242,58,"Boulders",NA,"30",""
"240",243,58,"Ulva prolifera",6.1,"not collected",""
"241",244,58,"Ceramium pacificum",1.7,"not collected",""
"242",245,58,"Eudesme virescens",4,"not collected",""
"243",246,58,"Saccharina spp biomass",44.2,"not collected",""
"244",247,58,"Gracilaria - Gracilariopsis sp.",1.5,"not collected",""
"245",248,59,"Saccharina groenlandica",440.5,"40",""
"246",249,59,"Mazzaella splendens",4.8,"2",""
"247",250,59,"Ulvaria sp",90.1,"20",""
"248",251,59,"Neorhodomela aculeata",9.2,"5",""
"249",252,59,"Farlowia mollis",7.2,"5",""
"250",253,59,"Sand",NA,"28",""
"251",254,59,"Saccharina spp biomass",27,"not collected",""
"252",255,59,"Punctaria lobata",2.1,"not collected",""
"253",256,59,"Mazzaella sp",0.3,"not collected",""
"254",257,59,"Dictyosiphon foeniculaceus",0.9,"not collected",""
"255",258,60,"Saccharina spp",233.5,"30",""
"256",259,60,"Macrocystis pyrifera",97.9,"20",""
"257",260,60,"Macrocystis pyrifera biomass",28.6,"not collected",""
"258",261,60,"Ulva prolifera",45,"15",""
"259",262,60,"Farlowia mollis",5.3,"10",""
"260",263,60,"Ulvaria sp",28.8,"5",""
"261",264,60,"Cobble",NA,"20",""
"262",265,60,"Palmaria hectensis",0.7,"not collected",""
"263",266,66,"Saccharina groenlandica",1022.8,"100",""
"264",267,66,"Saccharina spp biomass",120.6,"not collected",""
"265",268,67,"Corallina officinalis",31.2,"60",""
"266",269,67,"Saccharina groenlandica",78.5,"20",""
"267",270,67,"Bare rock",NA,"20",""
"268",271,67,"Saccharina spp biomass",3,"not collected",""
"269",272,67,"Leathesia marina",0.4,"not collected",""
"270",273,67,"Sarcodiotheca gaudichaudii",0.3,"not collected",""
"271",274,67,"Neorhodomela spp.",1.2,"not collected",""
"272",275,67,"Dictyosiphon foeniculaceus",0.6,"not collected",""
"273",276,68,"Saccharina groenlandica",1087.8,"30",""
"274",277,68,"Constantinea rosa-marina",24.6,"15",""
"275",278,68,"Dictyosiphon foeniculaceus",46.2,"25",""
"276",279,68,"Corallina officinalis",14.4,"30",""
"277",280,68,"Saccharina spp",31.6,"not collected",""
"278",281,69,"Saccharina groenlandica",376.6,"70",""
"279",282,69,"Constantinea rosa-marina",12.8,"5",""
"280",283,69,"Corallina officinalis",46.5,"25",""
"281",284,69,"Saccharina spp biomass",16.3,"not collected",""
"282",285,69,"Dictyosiphon foeniculaceus",1.4,"not collected",""
"283",286,70,"Saccharina groenlandica",371.6,"50",""
"284",287,70,"Corallina officinalis",62.8,"50",""
"285",288,70,"Saccharina spp biomass",50.3,"not collected",""
"286",289,70,"Dictyosiphon foeniculaceus",3.2,"not collected",""
"287",290,91,"Saccharina latissima",179.1,"25",""
"288",291,91,"Saccharina biomass",90.3,"not collected",""
"289",292,91,"Callophyllis spp",0.1,"not collected",""
"290",293,91,"Acrosiphonia arcta",1.1,"not collected",""
"291",294,91,"Dictyosiphon foeniculaceus",160.6,"20",""
"292",295,91,"Ulva prolifera",86.1,"40",""
"293",296,91,"Neorhodomela spp.",2.2,"2",""
"294",297,91,"Cobble",NA,"13",""
"295",298,92,"Dictyosiphon foeniculaceus",117.9,"45",""
"296",299,92,"Eudesme virescens",7.3,"10",""
"297",300,92,"Odonthalia flocossa f. comosa",0.8,"not collected",""
"298",301,92,"Cobble",NA,"45",""
"299",302,93,"Saccharina latissima",373,"65",""
"300",303,93,"Saccharina biomass",398.3,"not collected",""
"301",304,93,"Ulva prolifera",1.8,"not collected",""
"302",305,93,"Acrosiphonia arcta",0.1,"10",""
"303",306,93,"Dictyosiphon foeniculaceus",36.1,"20",""
"304",307,93,"Cobble",NA,"5",""
"305",308,94,"Saccharina latissima",212.5,"75",""
"306",309,94,"Saccharina biomass",196.5,"not collected",""
"307",310,94,"Dictyosiphon foeniculaceus",51.3,"20",""
"308",311,94,"Palmaria callaphyoides",0.9,"not collected",""
"309",312,94,"Acrosiphonia arcta",0.3,"not collected",""
"310",313,94,"Cobble",NA,"5",""
"311",314,95,"Saccharina latissima",253.6,"50",""
"312",315,95,"Saccharina biomass",113,"not collected",""
"313",316,95,"Dictyosiphon foeniculaceus",9.3,"25",""
"314",317,95,"Ulva prolifera",16.2,"not collected",""
"315",318,95,"Callophyllis spp",0.1,"not collected",""
"316",319,95,"Sarcodiotheca gaudichaudii",8.5,"not collected",""
"317",320,95,"Cobble",NA,"25",""
"318",321,101,"Cymathaere triplicata",201,"not collected",""
"319",322,101,"Saccharina groenlandica biomass",459.3,"not collected",""
"320",323,101,"Saccharina groenlandica",752.9,"90",""
"321",324,101,"Ulva lactuca",98.3,"10",""
"322",325,101,"Ulva prolifera",3.4,"not collected",""
"323",326,102,"Cymathaere triplicata",72.6,"not collected",""
"324",327,102,"Saccharina latissima",107.2,"35",""
"325",328,102,"Ulva lactuca",142.8,"15",""
"326",329,102,"Ulva prolifera",103.9,"15",""
"327",330,102,"Costaria costata",3.2,"not collected",""
"328",331,102,"Petalonia fascia",1.4,"not collected",""
"329",332,102,"Dictyosiphon foeniculaceus",4,"10",""
"330",333,102,"Saccharina biomass",5.3,"not collected",""
"331",334,102,"Farlowia mollis",1.8,"5",""
"332",335,102,"Punctaria lobata",9.1,"not collected",""
"333",336,102,"boulders",NA,"20",""
"334",337,103,"Costaria costata",51.2,"not collected",""
"335",338,103,"Costaria costata",37.8,"not collected",""
"336",339,103,"Saccharina latissima",69.2,"75",""
"337",340,103,"Saccharina biomass",38.9,"not collected",""
"338",341,103,"Farlowia mollis",5.4,"not collected",""
"339",342,103,"Ulva intestinalis",9.4,"not collected",""
"340",343,103,"Mazaella spp",0.8,"not collected",""
"341",344,103,"Ulva lactuca",42,"25",""
"342",345,104,"Saccharina latissima",39.1,"56",""
"343",346,104,"Saccharina groenlandica",5.7,"14",""
"344",347,104,"Petalonia fascia",0.9,"not collected",""
"345",348,104,"Costaria costata",70.6,"not collected",""
"346",349,104,"Ulva lactuca",5.7,"not collected",""
"347",350,104,"Ulva prolifera",0.9,"not collected",""
"348",351,104,"Sarcodiotheca gaudichaudii",0.6,"not collected",""
"349",352,104,"Ulva intestinalis",4.3,"20",""
"350",353,104,"Farlowia mollis",24.7,"9",""
"351",354,104,"Saccharina biomass",61.2,"1",""
"352",355,104,"Polysiphonia pacifica",1,"not collected",""
"353",356,105,"Saccharina latissima",38.1,"53",""
"354",357,105,"Saccharina groenlandica",10.6,"22",""
"355",358,105,"Mazaella spp",14.8,"1",""
"356",359,105,"Corallina officinalis",0.6,"not collected",""
"357",360,105,"Saccharina biomass",2.7,"not collected",""
"358",361,105,"Stephanocystis geminata",1.8,"not collected",""
"359",362,105,"Ulva prolifera",1,"not collected",""
"360",363,105,"Farlowia mollis",5.6,"not collected",""
"361",364,105,"Ulva lactuca",86.9,"24",""
"362",365,105,"Pterosiphonia hamata",2.5,"not collected",""
