"","quadrat_ID","site","date","YYYYMMDD","habitat","quadrat","total_biomass","density","flowering_shoots","notes","bay_code","bay_sample"
"48",48,"South Wadleigh",2019-05-10,20190510,"eelgrass",3,NA,141,0,NA,"SWAD","B"
"49",49,"South Wadleigh",2019-05-10,20190510,"eelgrass",4,NA,100,0,NA,"SWAD","B"
"50",50,"South Wadleigh",2019-05-10,20190510,"eelgrass",5,NA,43,0,NA,"SWAD","B"
"51",51,"Shinaku Inlet",2019-05-17,20190517,"eelgrass",1,NA,86,2,NA,"SHIN","A"
"52",52,"Shinaku Inlet",2019-05-17,20190517,"eelgrass",2,NA,71,0,NA,"SHIN","A"
"53",53,"Shinaku Inlet",2019-05-17,20190517,"eelgrass",3,NA,71,0,"only 13 measured","SHIN","A"
"54",54,"Shinaku Inlet",2019-05-17,20190517,"eelgrass",4,NA,54,4,NA,"SHIN","A"
"55",55,"Shinaku Inlet",2019-05-17,20190517,"eelgrass",5,NA,48,0,NA,"SHIN","A"
"56",56,"Guktu",2019-05-18,20190518,"eelgrass",1,NA,117,0,NA,"GUKT","A"
"57",57,"Guktu",2019-05-18,20190518,"eelgrass",2,NA,92,0,NA,"GUKT","A"
"58",58,"Guktu",2019-05-18,20190518,"eelgrass",3,NA,115,0,NA,"GUKT","A"
"59",59,"Guktu",2019-05-18,20190518,"eelgrass",4,NA,79,0,NA,"GUKT","A"
"60",60,"Guktu",2019-05-18,20190518,"eelgrass",5,NA,168,0,"only 12 measured","GUKT","A"
"61",61,"Port Refugio",2019-05-19,20190519,"eelgrass",1,NA,109,0,NA,"REFU","A"
"62",62,"Port Refugio",2019-05-19,20190519,"eelgrass",2,NA,122,0,NA,"REFU","A"
"63",63,"Port Refugio",2019-05-19,20190519,"eelgrass",3,NA,117,0,NA,"REFU","A"
"64",64,"Port Refugio",2019-05-19,20190519,"eelgrass",4,NA,79,0,NA,"REFU","A"
"65",65,"Port Refugio",2019-05-19,20190519,"eelgrass",5,NA,84,0,NA,"REFU","A"
"66",66,"North Fish Egg",2019-05-23,20190523,"eelgrass",1,NA,202,0,NA,"NFEI","A"
"67",67,"North Fish Egg",2019-05-23,20190523,"eelgrass",2,NA,213,3,NA,"NFEI","A"
"68",68,"North Fish Egg",2019-05-23,20190523,"eelgrass",3,NA,302,0,NA,"NFEI","A"
"69",69,"North Fish Egg",2019-05-23,20190523,"eelgrass",4,NA,156,0,NA,"NFEI","A"
"70",70,"North Fish Egg",2019-05-23,20190523,"eelgrass",5,NA,166,0,NA,"NFEI","A"
"71",71,"Natzuhini",2019-06-16,20190616,"eelgrass",1,NA,74,1,NA,"NATZ","C"
"72",72,"Natzuhini",2019-06-16,20190616,"eelgrass",2,NA,91,0,NA,"NATZ","C"
"73",73,"Natzuhini",2019-06-16,20190616,"eelgrass",3,NA,86,1,NA,"NATZ","C"
"74",74,"Natzuhini",2019-06-16,20190616,"eelgrass",4,NA,65,0,NA,"NATZ","C"
"75",75,"Natzuhini",2019-06-16,20190616,"eelgrass",5,NA,64,2,NA,"NATZ","C"
"76",76,"Heceta",2019-06-15,20190615,"eelgrass",1,NA,53,0,NA,"HECA","A"
"77",77,"Heceta",2019-06-15,20190615,"eelgrass",2,NA,69,3,NA,"HECA","A"
"78",78,"Heceta",2019-06-15,20190615,"eelgrass",3,NA,43,5,NA,"HECA","A"
"79",79,"Heceta",2019-06-15,20190615,"eelgrass",4,NA,40,0,NA,"HECA","A"
"80",80,"Heceta",2019-06-15,20190615,"eelgrass",5,NA,54,2,NA,"HECA","A"
"81",81,"Nossuk Bay",2019-06-14,20190614,"eelgrass",1,NA,92,0,NA,"NOSK","E"
"82",82,"Nossuk Bay",2019-06-14,20190614,"eelgrass",2,NA,63,0,NA,"NOSK","E"
"83",83,"Nossuk Bay",2019-06-14,20190614,"eelgrass",3,NA,62,0,NA,"NOSK","E"
"84",84,"Nossuk Bay",2019-06-14,20190614,"eelgrass",4,NA,89,2,NA,"NOSK","E"
"85",85,"Nossuk Bay",2019-06-14,20190614,"eelgrass",5,NA,76,0,NA,"NOSK","E"
"86",86,"Kaguk ",2019-06-06,20190606,"eelgrass",1,NA,67,0,NA,"KAGK","B"
"87",87,"Kaguk ",2019-06-06,20190606,"eelgrass",2,NA,81,1,NA,"KAGK","B"
"88",88,"Kaguk ",2019-06-06,20190606,"eelgrass",3,NA,96,1,NA,"KAGK","B"
"89",89,"Kaguk ",2019-06-06,20190606,"eelgrass",4,NA,113,4,NA,"KAGK","B"
"90",90,"Kaguk ",2019-06-06,20190606,"eelgrass",5,NA,64,0,NA,"KAGK","B"
"91",91,"Farallon",2019-05-22,20190522,"eelgrass",1,NA,82,0,NA,"FARA","A"
"92",92,"Farallon",2019-05-22,20190522,"eelgrass",2,NA,62,0,NA,"FARA","A"
"93",93,"Farallon",2019-05-22,20190522,"eelgrass",3,NA,60,0,NA,"FARA","A"
"94",94,"Farallon",2019-05-22,20190522,"eelgrass",4,NA,71,0,NA,"FARA","A"
"95",95,"Farallon",2019-05-22,20190522,"eelgrass",5,NA,35,0,NA,"FARA","A"
"96",96,"Chusini-Kladein Flat",2019-05-08,20190508,"eelgrass",1,NA,73,0,NA,"CHUS","B"
"97",97,"Chusini-Kladein Flat",2019-05-08,20190508,"eelgrass",2,NA,70,0,NA,"CHUS","B"
"98",98,"Chusini-Kladein Flat",2019-05-08,20190508,"eelgrass",3,NA,117,0,NA,"CHUS","B"
"99",99,"Chusini-Kladein Flat",2019-05-08,20190508,"eelgrass",4,NA,84,0,NA,"CHUS","B"
"100",100,"Chusini-Kladein Flat",2019-05-08,20190508,"eelgrass",5,NA,81,0,NA,"CHUS","B"
"101",101,"South Fish Egg",2019-05-20,20190520,"eelgrass",1,NA,267,2,NA,"SFEI","A"
"102",102,"South Fish Egg",2019-05-20,20190520,"eelgrass",2,NA,372,0,NA,"SFEI","A"
"103",103,"South Fish Egg",2019-05-20,20190520,"eelgrass",3,NA,284,0,NA,"SFEI","A"
"104",104,"South Fish Egg",2019-05-20,20190520,"eelgrass",4,NA,359,0,NA,"SFEI","A"
"105",105,"South Fish Egg",2019-05-20,20190520,"eelgrass",5,NA,332,0,NA,"SFEI","A"
"106",106,"North Fish Egg-Kelp",2019-05-11,20190511,"kelp",1,510,NA,NA,NA,"NFEI","B"
"107",107,"North Fish Egg-Kelp",2019-05-11,20190511,"kelp",2,146,NA,NA,NA,"NFEI","B"
"108",108,"North Fish Egg-Kelp",2019-05-11,20190511,"kelp",3,183,NA,NA,NA,"NFEI","B"
"109",109,"North Fish Egg-Kelp",2019-05-11,20190511,"kelp",4,196,NA,NA,NA,"NFEI","B"
"110",110,"North Fish Egg-Kelp",2019-05-11,20190511,"kelp",5,425,NA,NA,NA,"NFEI","B"
"111",111,"Heceta - kelp",2019-06-03,20190603,"kelp",1,669.6,NA,NA,NA,"HECA","B"
"112",112,"Heceta - kelp",2019-06-03,20190603,"kelp",2,613.4,NA,NA,NA,"HECA","B"
"113",113,"Heceta - kelp",2019-06-03,20190603,"kelp",3,449.6,NA,NA,NA,"HECA","B"
"114",114,"Heceta - kelp",2019-06-03,20190603,"kelp",4,778.3,NA,NA,NA,"HECA","B"
"115",115,"Heceta - kelp",2019-06-03,20190603,"kelp",5,656.3,NA,NA,NA,"HECA","B"
"116",116,"Baker Island - kelp ",2019-06-06,20190606,"kelp",1,822.3,NA,NA,NA,"BAKE","B"
"117",117,"Baker Island - kelp ",2019-06-06,20190606,"kelp",2,1139.4,NA,NA,NA,"BAKE","B"
"118",118,"Baker Island - kelp ",2019-06-06,20190606,"kelp",3,776.4,NA,NA,NA,"BAKE","B"
"119",119,"Baker Island - kelp ",2019-06-06,20190606,"kelp",4,1701,NA,NA,NA,"BAKE","B"
"120",120,"Baker Island - kelp ",2019-06-06,20190606,"kelp",5,896.2,NA,NA,NA,"BAKE","B"
"121",121,"Craig Highway",2019-05-20,20190520,"kelp",1,574,NA,NA,NA,"KLWH","A"
"122",122,"Craig Highway",2019-05-20,20190520,"kelp",2,1500,NA,NA,NA,"KLWH","A"
"123",123,"Craig Highway",2019-05-20,20190520,"kelp",3,658,NA,NA,NA,"KLWH","A"
"124",124,"Craig Highway",2019-05-20,20190520,"kelp",4,243,NA,NA,NA,"KLWH","A"
"125",125,"Craig Highway",2019-05-20,20190520,"kelp",5,663,NA,NA,NA,"KLWH","A"
