"","X","plant_ID","quadrat_ID","species","length_mm","weight_g","notes"
"54",54,54,4,"Zostera marina",1247,NA,""
"55",55,55,4,"Zostera marina",1158,NA,""
"56",56,56,4,"Zostera marina",1378,NA,""
"57",57,57,4,"Zostera marina",891,NA,""
"58",58,58,4,"Zostera marina",1278,NA,""
"59",59,59,4,"Zostera marina",1305,NA,""
"60",60,60,4,"Zostera marina",937,NA,""
"61",61,61,4,"Zostera marina",1197,NA,""
"62",62,62,5,"Zostera marina",1438,NA,""
"63",63,63,5,"Zostera marina",1481,NA,""
"64",64,64,5,"Zostera marina",1605,NA,""
"65",65,65,5,"Zostera marina",1457,NA,""
"66",66,66,5,"Zostera marina",1328,NA,""
"67",67,67,5,"Zostera marina",1343,NA,""
"68",68,68,5,"Zostera marina",887,NA,""
"69",69,69,5,"Zostera marina",1062,NA,""
"70",70,70,5,"Zostera marina",1464,NA,""
"71",71,71,5,"Zostera marina",1371,NA,""
"72",72,72,5,"Zostera marina",1305,NA,""
"73",73,73,5,"Zostera marina",1447,NA,""
"74",74,74,5,"Zostera marina",1131,NA,""
"75",75,75,5,"Zostera marina",1427,NA,""
"76",76,76,5,"Zostera marina",1502,NA,""
"77",77,77,6,"Zostera marina",299,NA,""
"78",78,78,6,"Zostera marina",584,NA,""
"79",79,79,6,"Zostera marina",352,NA,""
"80",80,80,6,"Zostera marina",481,NA,""
"81",81,81,6,"Zostera marina",504,NA,""
"82",82,82,6,"Zostera marina",591,NA,""
"83",83,83,6,"Zostera marina",320,NA,""
"84",84,84,6,"Zostera marina",272,NA,""
"85",85,85,6,"Zostera marina",433,NA,""
"86",86,86,6,"Zostera marina",500,NA,""
"87",87,87,6,"Zostera marina",652,NA,""
"88",88,88,6,"Zostera marina",463,NA,""
"89",89,89,6,"Zostera marina",687,NA,""
"90",90,90,6,"Zostera marina",439,NA,""
"91",91,91,6,"Zostera marina",503,NA,""
"92",92,92,6,"Zostera marina",469,NA,""
"93",93,93,7,"Zostera marina",749,NA,""
"94",94,94,7,"Zostera marina",674,NA,""
"95",95,95,7,"Zostera marina",622,NA,""
"96",96,96,7,"Zostera marina",543,NA,""
"97",97,97,7,"Zostera marina",657,NA,""
"98",98,98,7,"Zostera marina",701,NA,""
"99",99,99,7,"Zostera marina",619,NA,""
"100",100,100,7,"Zostera marina",697,NA,""
"101",101,101,7,"Zostera marina",652,NA,""
"102",102,102,7,"Zostera marina",446,NA,""
"103",103,103,7,"Zostera marina",408,NA,""
"104",104,104,7,"Zostera marina",732,NA,""
"105",105,105,7,"Zostera marina",616,NA,""
"106",106,106,7,"Zostera marina",418,NA,""
"107",107,107,7,"Zostera marina",433,NA,""
"108",108,108,8,"Zostera marina",592,NA,""
"109",109,109,8,"Zostera marina",494,NA,""
"110",110,110,8,"Zostera marina",448,NA,""
"111",111,111,8,"Zostera marina",501,NA,""
"112",112,112,8,"Zostera marina",718,NA,""
"113",113,113,8,"Zostera marina",569,NA,""
"114",114,114,8,"Zostera marina",432,NA,""
"115",115,115,8,"Zostera marina",529,NA,""
"116",116,116,8,"Zostera marina",641,NA,""
"117",117,117,8,"Zostera marina",515,NA,""
"118",118,118,8,"Zostera marina",478,NA,""
"119",119,119,8,"Zostera marina",493,NA,""
"120",120,120,8,"Zostera marina",404,NA,""
"121",121,121,8,"Zostera marina",273,NA,""
"122",122,122,8,"Zostera marina",407,NA,""
"123",123,123,9,"Zostera marina",666,NA,""
"124",124,124,9,"Zostera marina",492,NA,""
"125",125,125,9,"Zostera marina",529,NA,""
"126",126,126,9,"Zostera marina",509,NA,""
"127",127,127,9,"Zostera marina",314,NA,""
"128",128,128,9,"Zostera marina",501,NA,""
"129",129,129,9,"Zostera marina",572,NA,""
"130",130,130,9,"Zostera marina",463,NA,""
"131",131,131,9,"Zostera marina",637,NA,""
"132",132,132,9,"Zostera marina",277,NA,""
"133",133,133,9,"Zostera marina",323,NA,""
"134",134,134,9,"Zostera marina",385,NA,""
"135",135,135,9,"Zostera marina",293,NA,""
"136",136,136,9,"Zostera marina",336,NA,""
"137",137,137,9,"Zostera marina",307,NA,""
"138",138,138,9,"Zostera marina",354,NA,""
"139",139,139,10,"Zostera marina",664,NA,""
"140",140,140,10,"Zostera marina",328,NA,""
"141",141,141,10,"Zostera marina",479,NA,""
"142",142,142,10,"Zostera marina",434,NA,""
"143",143,143,10,"Zostera marina",482,NA,""
"144",144,144,10,"Zostera marina",536,NA,""
"145",145,145,10,"Zostera marina",637,NA,""
"146",146,146,10,"Zostera marina",455,NA,""
"147",147,147,10,"Zostera marina",513,NA,""
"148",148,148,10,"Zostera marina",682,NA,""
"149",149,149,10,"Zostera marina",534,NA,""
"150",150,150,10,"Zostera marina",625,NA,""
"151",151,151,10,"Zostera marina",486,NA,""
"152",152,152,10,"Zostera marina",522,NA,""
"153",153,153,10,"Zostera marina",408,NA,""
"154",154,154,11,"Zostera marina",532,NA,""
"155",155,155,11,"Zostera marina",363,NA,""
"156",156,156,11,"Zostera marina",390,NA,""
"157",157,157,11,"Zostera marina",589,NA,""
"158",158,158,11,"Zostera marina",721,NA,""
"159",159,159,11,"Zostera marina",445,NA,""
"160",160,160,11,"Zostera marina",263,NA,""
"161",161,161,11,"Zostera marina",583,NA,""
"162",162,162,11,"Zostera marina",624,NA,""
"163",163,163,11,"Zostera marina",505,NA,""
"164",164,164,11,"Zostera marina",456,NA,""
"165",165,165,11,"Zostera marina",283,NA,""
"166",166,166,11,"Zostera marina",666,NA,""
"167",167,167,11,"Zostera marina",493,NA,""
"168",168,168,11,"Zostera marina",339,NA,""
"169",169,169,12,"Zostera marina",776,NA,""
"170",170,170,12,"Zostera marina",782,NA,""
"171",171,171,12,"Zostera marina",680,NA,""
"172",172,172,12,"Zostera marina",634,NA,""
"173",173,173,12,"Zostera marina",570,NA,""
"174",174,174,12,"Zostera marina",500,NA,""
"175",175,175,12,"Zostera marina",570,NA,""
"176",176,176,12,"Zostera marina",670,NA,""
"177",177,177,12,"Zostera marina",650,NA,""
"178",178,178,12,"Zostera marina",832,NA,""
"179",179,179,12,"Zostera marina",660,NA,""
"180",180,180,12,"Zostera marina",508,NA,""
"181",181,181,12,"Zostera marina",484,NA,""
"182",182,182,12,"Zostera marina",664,NA,""
"183",183,183,12,"Zostera marina",376,NA,""
"184",184,184,13,"Zostera marina",690,NA,""
"185",185,185,13,"Zostera marina",751,NA,""
"186",186,186,13,"Zostera marina",654,NA,""
"187",187,187,13,"Zostera marina",481,NA,""
"188",188,188,13,"Zostera marina",600,NA,""
"189",189,189,13,"Zostera marina",582,NA,""
"190",190,190,13,"Zostera marina",523,NA,""
"191",191,191,13,"Zostera marina",664,NA,""
"192",192,192,13,"Zostera marina",754,NA,""
"193",193,193,13,"Zostera marina",670,NA,""
"194",194,194,13,"Zostera marina",492,NA,""
"195",195,195,13,"Zostera marina",364,NA,""
"196",196,196,13,"Zostera marina",470,NA,""
"197",197,197,13,"Zostera marina",578,NA,""
"198",198,198,13,"Zostera marina",692,NA,""
"199",199,199,14,"Zostera marina",617,NA,""
"200",200,200,14,"Zostera marina",523,NA,""
"201",201,201,14,"Zostera marina",723,NA,""
"202",202,202,14,"Zostera marina",455,NA,""
"203",203,203,14,"Zostera marina",671,NA,""
"204",204,204,14,"Zostera marina",769,NA,""
"205",205,205,14,"Zostera marina",461,NA,""
"206",206,206,14,"Zostera marina",182,NA,""
"207",207,207,14,"Zostera marina",368,NA,""
"208",208,208,14,"Zostera marina",511,NA,""
"209",209,209,14,"Zostera marina",295,NA,""
"210",210,210,14,"Zostera marina",515,NA,""
"211",211,211,14,"Zostera marina",580,NA,""
"212",212,212,14,"Zostera marina",423,NA,""
"213",213,213,14,"Zostera marina",629,NA,""
"214",214,214,15,"Zostera marina",468,NA,""
"215",215,215,15,"Zostera marina",401,NA,""
"216",216,216,15,"Zostera marina",410,NA,""
"217",217,217,15,"Zostera marina",352,NA,""
"218",218,218,15,"Zostera marina",222,NA,""
"219",219,219,15,"Zostera marina",581,NA,""
"220",220,220,15,"Zostera marina",653,NA,""
"221",221,221,15,"Zostera marina",379,NA,""
"222",222,222,15,"Zostera marina",504,NA,""
"223",223,223,15,"Zostera marina",214,NA,""
"224",224,224,15,"Zostera marina",528,NA,""
"225",225,225,15,"Zostera marina",423,NA,""
"226",226,226,15,"Zostera marina",462,NA,""
"227",227,227,15,"Zostera marina",537,NA,""
"228",228,228,15,"Zostera marina",307,NA,""
"229",229,229,17,"Zostera marina",742,NA,""
"230",230,230,17,"Zostera marina",815,NA,""
"231",231,231,17,"Zostera marina",865,NA,""
"232",232,232,17,"Zostera marina",1010,NA,""
"233",233,233,17,"Fucus distichus",131,NA,""
"234",234,234,17,"Fucus distichus",100,NA,""
"235",235,235,17,"Fucus distichus",115,NA,""
"236",236,236,17,"Fucus distichus",135,NA,""
"237",237,237,17,"Saccharina latissima",232,NA,""
"238",238,238,17,"Saccharina latissima",181,NA,""
"239",239,239,18,"Agarum clathratum",291,NA,""
"240",240,240,20,"Saccharina latissima",478,NA,""
"241",241,241,20,"Saccharina latissima",498,NA,""
"242",242,242,20,"Saccharina latissima",613,NA,""
"243",243,243,20,"Saccharina latissima",1652,NA,""
"244",244,244,21,"Ptilota serrata",66,NA,""
"245",245,245,21,"Ptilota serrata",60,NA,""
"246",246,246,21,"Neorhodomela aculeata",75,NA,""
"247",247,247,21,"Neorhodomela aculeata",84,NA,""
"248",248,248,21,"Neorhodomela aculeata",80,NA,""
"249",249,249,21,"Neorhodomela aculeata",45,NA,""
"250",250,250,21,"Neorhodomela aculeata",80,NA,""
"251",251,251,21,"Neorhodomela aculeata",164,NA,""
"252",252,252,21,"Neorhodomela aculeata",175,NA,""
"253",253,253,21,"Neorhodomela aculeata",81,NA,""
"254",254,254,21,"Neorhodomela aculeata",87,NA,""
"255",255,255,21,"Neorhodomela aculeata",95,NA,""
"256",256,256,21,"Neorhodomela aculeata",60,NA,""
"257",257,257,21,"Neorhodomela aculeata",103,NA,""
"258",258,258,21,"Neorhodomela aculeata",54,NA,""
"259",259,259,21,"Neorhodomela aculeata",54,NA,""
"260",260,260,21,"Neorhodomela aculeata",99,NA,""
"261",261,261,21,"Palmaria mollis",163,NA,""
"262",262,262,21,"Palmaria mollis",36,NA,""
"263",263,263,21,"Palmaria mollis",114,NA,""
"264",264,264,21,"Palmaria mollis",55,NA,""
"265",265,265,21,"Palmaria mollis",72,NA,""
"266",266,266,21,"Palmaria mollis",34,NA,""
"267",267,267,21,"Palmaria mollis",124,NA,""
"268",268,268,21,"Palmaria mollis",65,NA,""
"269",269,269,21,"Palmaria mollis",83,NA,""
"270",270,270,21,"Palmaria mollis",40,NA,""
"271",271,271,21,"Palmaria mollis",49,NA,""
"272",272,272,21,"Palmaria mollis",25,NA,""
"273",273,273,21,"Palmaria mollis",40,NA,""
"274",274,274,21,"Palmaria mollis",60,NA,""
"275",275,275,21,"Palmaria mollis",72,NA,""
"276",276,276,21,"Microcladia borealis",67,NA,""
"277",277,277,21,"Microcladia borealis",43,NA,""
"278",278,278,21,"Microcladia borealis",50,NA,""
"279",279,279,21,"Microcladia borealis",47,NA,""
"280",280,280,21,"Microcladia borealis",50,NA,""
"281",281,281,21,"Pterosiphonia spp",148,NA,""
"282",282,282,21,"Pterosiphonia spp",47,NA,""
"283",283,283,22,"Ptilota serrata",50,NA,""
"284",284,284,22,"Ptilota serrata",54,NA,""
"285",285,285,22,"Ptilota serrata",43,NA,""
"286",286,286,22,"Ptilota serrata",60,NA,""
"287",287,287,22,"Ptilota serrata",30,NA,""
"288",288,288,22,"Ptilota serrata",41,NA,""
"289",289,289,22,"Ptilota serrata",65,NA,""
"290",290,290,22,"Ptilota serrata",53,NA,""
"291",291,291,22,"Ptilota serrata",32,NA,""
"292",292,292,22,"Ptilota serrata",81,NA,""
"293",293,293,22,"Odonthalia floccosa f. comosa",156,NA,""
"294",294,294,22,"Odonthalia floccosa f. comosa",151,NA,""
"295",295,295,22,"Odonthalia floccosa f. comosa",76,NA,""
"296",296,296,22,"Odonthalia floccosa f. comosa",151,NA,""
"297",297,297,22,"Odonthalia floccosa f. comosa",95,NA,""
"298",298,298,22,"Odonthalia floccosa f. comosa",125,NA,""
"299",299,299,22,"Odonthalia floccosa f. comosa",82,NA,""
"300",300,300,22,"Odonthalia floccosa f. comosa",61,NA,""
"301",301,301,22,"Neorhodomela aculeata",62,NA,""
"302",302,302,22,"Neorhodomela aculeata",55,NA,""
"303",303,303,22,"Neorhodomela aculeata",168,NA,""
"304",304,304,22,"Neorhodomela aculeata",82,NA,""
"305",305,305,22,"Neorhodomela aculeata",95,NA,""
"306",306,306,22,"Neorhodomela aculeata",76,NA,""
"307",307,307,22,"Neorhodomela aculeata",104,NA,""
"308",308,308,22,"Neorhodomela aculeata",42,NA,""
"309",309,309,22,"Neorhodomela aculeata",45,NA,""
"310",310,310,22,"Neorhodomela aculeata",43,NA,""
"311",311,311,22,"Neorhodomela aculeata",46,NA,""
"312",312,312,22,"Neorhodomela aculeata",147,NA,""
"313",313,313,22,"Neorhodomela aculeata",75,NA,""
"314",314,314,22,"Neorhodomela aculeata",175,NA,""
"315",315,315,22,"Neorhodomela aculeata",124,NA,""
"316",316,316,22,"Palmaria mollis",59,NA,""
"317",317,317,22,"Palmaria mollis",111,NA,""
"318",318,318,22,"Palmaria mollis",43,NA,""
"319",319,319,22,"Palmaria mollis",40,NA,""
"320",320,320,22,"Palmaria mollis",164,NA,""
"321",321,321,22,"Palmaria mollis",47,NA,""
"322",322,322,22,"Microcladia borealis",96,NA,""
"323",323,323,22,"Microcladia borealis",75,NA,""
"324",324,324,22,"Microcladia borealis",70,NA,""
"325",325,325,22,"Microcladia borealis",80,NA,""
"326",326,326,22,"Microcladia borealis",62,NA,""
"327",327,327,22,"Pterosiphonia spp",124,NA,""
"328",328,328,22,"Pterosiphonia spp",95,NA,""
"329",329,329,22,"Pterosiphonia spp",56,NA,""
"330",330,330,22,"Pterosiphonia spp",38,NA,""
"331",331,331,22,"Pterosiphonia spp",56,NA,""
"332",332,332,22,"Schizymenia pacifica",237,NA,""
"333",333,333,22,"Schizymenia pacifica",199,NA,""
"334",334,334,23,"Polyneura latissima",40,NA,""
"335",335,335,23,"Polyneura latissima",47,NA,""
"336",336,336,23,"Polyneura latissima",70,NA,""
"337",337,337,23,"Polyneura latissima",61,NA,""
"338",338,338,23,"Polyneura latissima",50,NA,""
"339",339,339,23,"Agarum spp",63,NA,""
"340",340,340,23,"Agarum spp",65,NA,""
"341",341,341,23,"Ptilota serrata",55,NA,""
"342",342,342,23,"Ptilota serrata",45,NA,""
"343",343,343,23,"Pterosiphonia spp",73,NA,""
"344",344,344,23,"Pterosiphonia spp",54,NA,""
"345",345,345,23,"Pterosiphonia spp",40,NA,""
"346",346,346,23,"Pterosiphonia spp",80,NA,""
"347",347,347,23,"Odonthalia floccosa f. comosa",92,NA,""
"348",348,348,23,"Odonthalia floccosa f. comosa",126,NA,""
"349",349,349,23,"Odonthalia floccosa f. comosa",118,NA,""
"350",350,350,23,"Odonthalia floccosa f. comosa",115,NA,""
"351",351,351,23,"Odonthalia floccosa f. comosa",86,NA,""
"352",352,352,23,"Odonthalia floccosa f. comosa",108,NA,""
"353",353,353,23,"Odonthalia floccosa f. comosa",94,NA,""
"354",354,354,23,"Odonthalia floccosa f. comosa",100,NA,""
"355",355,355,23,"Odonthalia floccosa f. comosa",65,NA,""
"356",356,356,23,"Odonthalia floccosa f. comosa",65,NA,""
"357",357,357,23,"Odonthalia floccosa f. comosa",101,NA,""
"358",358,358,23,"Odonthalia floccosa f. comosa",95,NA,""
"359",359,359,23,"Odonthalia floccosa f. comosa",97,NA,""
"360",360,360,23,"Odonthalia floccosa f. comosa",96,NA,""
"361",361,361,23,"Neorhodomela aculeata",121,NA,""
"362",362,362,23,"Neorhodomela aculeata",86,NA,""
"363",363,363,23,"Neorhodomela aculeata",93,NA,""
"364",364,364,23,"Neorhodomela aculeata",220,NA,""
"365",365,365,23,"Neorhodomela aculeata",61,NA,""
"366",366,366,23,"Neorhodomela aculeata",67,NA,""
"367",367,367,23,"Neorhodomela aculeata",101,NA,""
"368",368,368,23,"Neorhodomela aculeata",82,NA,""
"369",369,369,23,"Neorhodomela aculeata",87,NA,""
"370",370,370,23,"Neorhodomela aculeata",60,NA,""
"371",371,371,23,"Neorhodomela aculeata",82,NA,""
"372",372,372,23,"Neorhodomela aculeata",44,NA,""
"373",373,373,23,"Neorhodomela aculeata",109,NA,""
"374",374,374,23,"Neorhodomela aculeata",100,NA,""
"375",375,375,23,"Neorhodomela aculeata",49,NA,""
"376",376,376,23,"Schizymenia pacifica",105,NA,""
"377",377,377,23,"Palmaria mollis",44,NA,""
"378",378,378,23,"Palmaria mollis",78,NA,""
"379",379,379,24,"Microcladia borealis",58,NA,""
"380",380,380,24,"Microcladia borealis",91,NA,""
"381",381,381,24,"Microcladia borealis",82,NA,""
"382",382,382,24,"Microcladia borealis",121,NA,""
"383",383,383,24,"Microcladia borealis",76,NA,""
"384",384,384,24,"Microcladia borealis",81,NA,""
"385",385,385,24,"Microcladia borealis",87,NA,""
"386",386,386,24,"Microcladia borealis",64,NA,""
"387",387,387,24,"Microcladia borealis",66,NA,""
"388",388,388,24,"Microcladia borealis",82,NA,""
"389",389,389,24,"Microcladia borealis",95,NA,""
"390",390,390,24,"Odonthalia floccosa f. comosa",130,NA,""
"391",391,391,24,"Odonthalia floccosa f. comosa",107,NA,""
"392",392,392,24,"Odonthalia floccosa f. comosa",118,NA,""
"393",393,393,24,"Odonthalia floccosa f. comosa",108,NA,""
"394",394,394,24,"Odonthalia floccosa f. comosa",114,NA,""
"395",395,395,24,"Odonthalia floccosa f. comosa",140,NA,""
"396",396,396,24,"Polyneura latissima",44,NA,""
"397",397,397,24,"Palmaria mollis",116,NA,""
"398",398,398,24,"Palmaria mollis",98,NA,""
"399",399,399,24,"Palmaria mollis",66,NA,""
"400",400,400,24,"Palmaria mollis",28,NA,""
"401",401,401,24,"Pterosiphonia spp",96,NA,""
"402",402,402,24,"Pterosiphonia spp",62,NA,""
"403",403,403,24,"Pterosiphonia spp",63,NA,""
"404",404,404,25,"Neorhodomela aculeata",123,NA,""
"405",405,405,25,"Neorhodomela aculeata",168,NA,""
"406",406,406,25,"Neorhodomela aculeata",108,NA,""
"407",407,407,25,"Neorhodomela aculeata",84,NA,""
"408",408,408,25,"Saccharina groenlandica",1065,NA,""
"409",409,409,25,"Saccharina groenlandica",142,NA,""
"410",410,410,25,"Saccharina groenlandica",574,NA,""
"411",411,411,25,"Mazzaella phyllocarpa",38,NA,""
"412",412,412,25,"Mazzaella phyllocarpa",41,NA,""
"413",413,413,25,"Mazzaella phyllocarpa",44,NA,""
"414",414,414,25,"Mazzaella phyllocarpa",24,NA,""
"415",415,415,25,"Palmaria mollis",51,NA,""
"416",416,416,25,"Palmaria mollis",95,NA,""
"417",417,417,25,"Palmaria mollis",144,NA,""
"418",418,418,25,"Palmaria mollis",143,NA,""
"419",419,419,25,"Palmaria mollis",75,NA,""
"420",420,420,25,"Palmaria mollis",63,NA,""
"421",421,421,25,"Palmaria mollis",105,NA,""
"422",422,422,25,"Palmaria mollis",73,NA,""
"423",423,423,25,"Palmaria mollis",110,NA,""
"424",424,424,25,"Palmaria mollis",50,NA,""
"425",425,425,25,"Palmaria hecatensis",105,NA,""
"426",426,426,25,"Palmaria hecatensis",39,NA,""
"427",427,427,25,"Palmaria hecatensis",71,NA,""
"428",428,428,25,"Palmaria hecatensis",32,NA,""
"429",429,429,25,"Pterosiphonia spp",89,NA,""
"430",430,430,25,"Pterosiphonia spp",62,NA,""
"431",431,431,25,"Pterosiphonia spp",157,NA,""
"432",432,432,25,"Pterosiphonia spp",85,NA,""
"433",433,433,25,"Pterosiphonia spp",89,NA,""
"434",434,434,25,"Pterosiphonia spp",90,NA,""
"435",435,435,25,"Pterosiphonia spp",107,NA,""
"436",436,436,25,"Pterosiphonia spp",59,NA,""
"437",437,437,25,"Pterosiphonia spp",57,NA,""
"438",438,438,26,"Zostera marina",1043,NA,""
"439",439,439,26,"Zostera marina",887,NA,""
"440",440,440,26,"Zostera marina",875,NA,""
"441",441,441,26,"Zostera marina",644,NA,""
"442",442,442,26,"Zostera marina",336,NA,""
"443",443,443,26,"Zostera marina",591,NA,""
"444",444,444,26,"Zostera marina",1184,NA,""
"445",445,445,26,"Zostera marina",643,NA,""
"446",446,446,26,"Zostera marina",1085,NA,""
"447",447,447,26,"Zostera marina",700,NA,""
"448",448,448,26,"Zostera marina",948,NA,""
"449",449,449,26,"Zostera marina",701,NA,""
"450",450,450,26,"Zostera marina",388,NA,""
"451",451,451,26,"Zostera marina",734,NA,""
"452",452,452,26,"Zostera marina",768,NA,""
"453",453,453,26,"Zostera marina",493,NA,""
"454",454,454,27,"Zostera marina",553,NA,""
"455",455,455,27,"Zostera marina",825,NA,""
"456",456,456,27,"Zostera marina",982,NA,""
"457",457,457,27,"Zostera marina",317,NA,""
"458",458,458,27,"Zostera marina",674,NA,""
"459",459,459,27,"Zostera marina",695,NA,""
"460",460,460,27,"Zostera marina",351,NA,""
"461",461,461,27,"Zostera marina",881,NA,""
"462",462,462,27,"Zostera marina",479,NA,""
"463",463,463,27,"Zostera marina",709,NA,""
"464",464,464,27,"Zostera marina",398,NA,""
"465",465,465,27,"Zostera marina",587,NA,""
"466",466,466,27,"Zostera marina",507,NA,""
"467",467,467,27,"Zostera marina",944,NA,""
"468",468,468,27,"Zostera marina",247,NA,""
"469",469,469,27,"Zostera marina",516,NA,""
"470",470,470,27,"Zostera marina",548,NA,""
"471",471,471,28,"Zostera marina",1069,NA,""
"472",472,472,28,"Zostera marina",491,NA,""
"473",473,473,28,"Zostera marina",823,NA,""
"474",474,474,28,"Zostera marina",249,NA,""
"475",475,475,28,"Zostera marina",928,NA,""
"476",476,476,28,"Zostera marina",286,NA,""
"477",477,477,28,"Zostera marina",933,NA,""
"478",478,478,28,"Zostera marina",349,NA,""
"479",479,479,28,"Zostera marina",1107,NA,""
"480",480,480,28,"Zostera marina",578,NA,""
"481",481,481,28,"Zostera marina",325,NA,""
"482",482,482,28,"Zostera marina",487,NA,""
"483",483,483,28,"Zostera marina",1045,NA,""
"484",484,484,28,"Zostera marina",563,NA,""
"485",485,485,28,"Zostera marina",572,NA,""
"486",486,486,28,"Zostera marina",1008,NA,""
"487",487,487,29,"Zostera marina",976,NA,""
"488",488,488,29,"Zostera marina",364,NA,""
"489",489,489,29,"Zostera marina",951,NA,""
"490",490,490,29,"Zostera marina",1050,NA,""
"491",491,491,29,"Zostera marina",259,NA,""
"492",492,492,29,"Zostera marina",1106,NA,""
"493",493,493,29,"Zostera marina",332,NA,""
"494",494,494,29,"Zostera marina",451,NA,""
"495",495,495,29,"Zostera marina",743,NA,""
"496",496,496,29,"Zostera marina",628,NA,""
"497",497,497,29,"Zostera marina",687,NA,""
"498",498,498,29,"Zostera marina",927,NA,""
"499",499,499,29,"Zostera marina",373,NA,""
"500",500,500,29,"Zostera marina",314,NA,""
"501",501,501,29,"Zostera marina",1126,NA,""
"502",502,502,30,"Zostera marina",914,NA,""
"503",503,503,30,"Zostera marina",1163,NA,""
"504",504,504,30,"Zostera marina",455,NA,""
"505",505,505,30,"Zostera marina",476,NA,""
"506",506,506,30,"Zostera marina",1015,NA,""
"507",507,507,30,"Zostera marina",991,NA,""
"508",508,508,30,"Zostera marina",817,NA,""
"509",509,509,30,"Zostera marina",580,NA,""
"510",510,510,30,"Zostera marina",374,NA,""
"511",511,511,30,"Zostera marina",891,NA,""
"512",512,512,30,"Zostera marina",342,NA,""
"513",513,513,30,"Zostera marina",883,NA,""
"514",514,514,30,"Zostera marina",721,NA,""
"515",515,515,30,"Zostera marina",903,NA,""
"516",516,516,30,"Zostera marina",278,NA,""
"517",517,517,31,"Saccharina latissima",213,NA,""
"518",518,518,31,"Palmaria hecatensis",222,NA,""
"519",519,519,31,"Palmaria hecatensis",162,NA,""
"520",520,520,31,"Palmaria hecatensis",248,NA,""
"521",521,521,31,"Palmaria hecatensis",139,NA,""
"522",522,522,31,"Palmaria hecatensis",92,NA,""
"523",523,523,31,"Palmaria hecatensis",164,NA,""
"524",524,524,31,"Palmaria hecatensis",53,NA,""
"525",525,525,31,"Neorhodomela aculeata",128,NA,""
"526",526,526,31,"Neorhodomela aculeata",58,NA,""
"527",527,527,31,"Neorhodomela aculeata",71,NA,""
"528",528,528,31,"Neorhodomela aculeata",76,NA,""
"529",529,529,31,"Neorhodomela aculeata",82,NA,""
"530",530,530,31,"Neorhodomela aculeata",80,NA,""
"531",531,531,31,"Neorhodomela aculeata",64,NA,""
"532",532,532,31,"Neorhodomela aculeata",103,NA,""
"533",533,533,31,"Neorhodomela aculeata",184,NA,""
"534",534,534,31,"Neorhodomela aculeata",76,NA,""
"535",535,535,31,"Neorhodomela aculeata",97,NA,""
"536",536,536,31,"Neorhodomela aculeata",91,NA,""
"537",537,537,31,"Neorhodomela aculeata",80,NA,""
"538",538,538,31,"Neorhodomela aculeata",73,NA,""
