"","plant_ID","quadrat_ID","species","length_mm","weight_g","notes","length_cm","fit","lwr","upr"
"122",1186,102,"Saccharina latissima",465,46.6,"",46.5,NA,NA,NA
"123",1187,102,"Saccharina latissima",265,7,"",26.5,NA,NA,NA
"124",1188,102,"Saccharina latissima",212,8.6,"",21.2,NA,NA,NA
"125",1189,102,"Saccharina latissima",149,5.3,"",14.9,NA,NA,NA
"126",1190,102,"Saccharina latissima",224,9.9,"",22.4,NA,NA,NA
"127",1191,102,"Saccharina latissima",89,1.4,"",8.9,NA,NA,NA
"128",1192,102,"Saccharina latissima",70,0.6,"",7,NA,NA,NA
"129",1193,102,"Saccharina latissima",108,1.3,"",10.8,NA,NA,NA
"130",1194,102,"Saccharina latissima",82,0.5,"",8.2,NA,NA,NA
"131",1195,102,"Costaria costata",110,3.2,"",11,NA,NA,NA
"132",1196,102,"Petalonia fascia",140,0.6,"",14,NA,NA,NA
"133",1197,102,"Petalonia fascia",60,0.6,"",6,NA,NA,NA
"134",1198,102,"Petalonia fascia",40,0.2,"",4,NA,NA,NA
"135",1199,103,"Costaria costata",252,51.2,"broken",25.2,NA,NA,NA
"136",1200,103,"Costaria costata",275,37.8,"broken",27.5,NA,NA,NA
"137",1201,103,"Saccharina latissima",251,37.2,"",25.1,NA,NA,NA
"138",1202,103,"Saccharina latissima",581,32,"",58.1,NA,NA,NA
"139",1203,104,"Saccharina latissima",158,4.1,"",15.8,NA,NA,NA
"140",1204,104,"Saccharina latissima",102,2.3,"",10.2,NA,NA,NA
"141",1205,104,"Saccharina latissima",103,1.3,"",10.3,NA,NA,NA
"142",1206,104,"Saccharina latissima",156,6.1,"",15.6,NA,NA,NA
"143",1207,104,"Saccharina latissima",137,1.8,"",13.7,NA,NA,NA
"144",1208,104,"Saccharina latissima",222,6.4,"",22.2,NA,NA,NA
"145",1209,104,"Saccharina latissima",81,0.5,"",8.1,NA,NA,NA
"146",1210,104,"Saccharina latissima",62,0.1,"",6.2,NA,NA,NA
"147",1211,104,"Saccharina latissima",81,0.9,"",8.1,NA,NA,NA
"148",1212,104,"Saccharina latissima",212,7.7,"",21.2,NA,NA,NA
"149",1213,104,"Saccharina latissima",196,7.9,"",19.6,NA,NA,NA
"150",1214,104,"Saccharina groenlandica",127,4.1,"",12.7,NA,NA,NA
"151",1215,104,"Saccharina groenlandica",122,1.6,"",12.2,NA,NA,NA
"152",1216,104,"Petalonia fascia",85,0.3,"",8.5,NA,NA,NA
"153",1217,104,"Petalonia fascia",44,0.1,"",4.4,NA,NA,NA
"154",1218,104,"Petalonia fascia",36,0.1,"",3.6,NA,NA,NA
"155",1219,104,"Petalonia fascia",33,0.1,"",3.3,NA,NA,NA
"156",1220,104,"Costaria costata",281,70.6,"",28.1,NA,NA,NA
"157",1221,104,"Petalonia fascia",43,0.1,"",4.3,NA,NA,NA
"158",1222,104,"Petalonia fascia",22,0.2,"",2.2,NA,NA,NA
"159",1223,105,"Saccharina latissima",174,3.9,"",17.4,NA,NA,NA
"160",1224,105,"Saccharina latissima",281,11.7,"",28.1,NA,NA,NA
"161",1225,105,"Saccharina latissima",150,3.8,"",15,NA,NA,NA
"162",1226,105,"Saccharina groenlandica",263,8.1,"",26.3,NA,NA,NA
"163",1227,105,"Saccharina latissima",249,4.9,"",24.9,NA,NA,NA
"164",1228,105,"Saccharina groenlandica",93,1.9,"",9.3,NA,NA,NA
"165",1229,105,"Saccharina latissima",329,10.7,"",32.9,NA,NA,NA
"166",1230,105,"Saccharina latissima",84,1.5,"",8.4,NA,NA,NA
"167",1231,105,"Saccharina latissima",126,1.6,"",12.6,NA,NA,NA
"168",1232,105,"Saccharina groenlandica",60,0.6,"",6,NA,NA,NA
"169",1,1,"Zostera marina",441,NA,"",44.1,0.170944422110622,0.166173924599862,0.175851870388807
"170",2,1,"Zostera marina",608,NA,"",60.8,0.283517698072049,0.273513510342783,0.293887804735254
"171",3,1,"Zostera marina",432,NA,"",43.2,0.165480452086241,0.160882808693415,0.170209485059715
"172",4,1,"Zostera marina",651,NA,"",65.1,0.315745041029119,0.303803861789677,0.328155574939659
"173",5,1,"Zostera marina",385,NA,"",38.5,0.138018117361637,0.134150473772573,0.141997267578382
"174",6,1,"Zostera marina",438,NA,"",43.8,0.169115898435969,0.164404254249616,0.173962573136222
"175",7,1,"Zostera marina",554,NA,"",55.4,0.24487263559176,0.236971731182607,0.253036965052379
"176",8,1,"Zostera marina",633,NA,"",63.3,0.302100467777956,0.290997690489253,0.313626862392678
"177",9,1,"Zostera marina",634,NA,"",63.4,0.302852713564601,0.291704391757981,0.314427100533817
"178",10,1,"Zostera marina",626,NA,"",62.6,0.296853913494602,0.286066518713014,0.308048094385578
"179",11,1,"Zostera marina",592,NA,"",59.2,0.271852347569694,0.262510322182209,0.281526830125396
"180",12,1,"Zostera marina",384,NA,"",38.4,0.137453745580191,0.133598699949531,0.141420030143715
"181",13,1,"Zostera marina",328,NA,"",32.8,0.107226686194653,0.103923239786001,0.110635140474472
"182",14,1,"Zostera marina",671,NA,"",67.1,0.331162267029133,0.318243808006894,0.344605124576373
"183",15,1,"Zostera marina",206,NA,"",20.6,0.0515281003004817,0.0490255432444304,0.0541584028419336
"184",16,2,"Zostera marina",214,NA,"",21.4,0.0547158318258193,0.0521538064350251,0.0574037152229942
"185",17,2,"Zostera marina",306,NA,"",30.6,0.0961165450399435,0.092969247662356,0.0993703881951085
"186",18,2,"Zostera marina",316,NA,"",31.6,0.101111570786374,0.0978960983110531,0.104432657922727
"187",19,2,"Zostera marina",334,NA,"",33.4,0.110333170379067,0.1069826697599,0.113788602520546
"188",20,2,"Zostera marina",414,NA,"",41.4,0.154748460950403,0.150463705312484,0.159155233594606
"189",21,2,"Zostera marina",397,NA,"",39.7,0.144856165973378,0.140828341257051,0.148999190313593
"190",22,2,"Zostera marina",399,NA,"",39.9,0.146007549119011,0.141951364531249,0.150179637019603
"191",23,2,"Zostera marina",434,NA,"",43.4,0.166689060116522,0.16205396332359,0.17145673078694
"192",24,2,"Zostera marina",500,NA,"",50,0.208337982625747,0.202154209854329,0.21471091319762
"193",25,2,"Zostera marina",500,NA,"",50,0.208337982625747,0.202154209854329,0.21471091319762
"194",26,2,"Zostera marina",430,NA,"",43,0.164275059861072,0.159714325708152,0.168966028392915
"195",27,2,"Zostera marina",319,NA,"",31.9,0.102628037755778,0.099391265518621,0.105970218596604
"196",28,2,"Zostera marina",452,NA,"",45.2,0.177710217609425,0.172713256075296,0.182851751859865
"197",29,2,"Zostera marina",368,NA,"",36.8,0.128539385240001,0.124871180835627,0.132315346481959
"198",30,2,"Zostera marina",450,NA,"",45,0.176472945954909,0.171518412438678,0.181570597647284
"199",31,3,"Zostera marina",410,NA,"",41,0.152399423185399,0.148178408638186,0.156740677678308
"200",32,3,"Zostera marina",616,NA,"",61.6,0.289417255998169,0.279069940562977,0.300148227718589
"201",33,3,"Zostera marina",518,NA,"",51.8,0.220276184466486,0.21356427568368,0.227199035455636
"202",34,3,"Zostera marina",512,NA,"",51.2,0.216269810359502,0.209738926116562,0.223004054321043
"203",35,3,"Zostera marina",477,NA,"",47.7,0.19344040393025,0.187865729459105,0.199180499713459
"204",36,3,"Zostera marina",535,NA,"",53.5,0.231772660537651,0.224521086149637,0.23925844602809
"205",37,3,"Zostera marina",354,NA,"",35.4,0.120919917764601,0.117394285201832,0.124551433547719
"206",38,3,"Zostera marina",382,NA,"",38.2,0.1363275384649,0.132497353009956,0.140268445532662
"207",39,3,"Zostera marina",314,NA,"",31.4,0.100105181127442,0.0969036768540969,0.103412456718709
"208",40,3,"Zostera marina",440,NA,"",44,0.170334116249499,0.165583374349321,0.175221161378735
"209",41,3,"Zostera marina",260,NA,"",26,0.0743593343027313,0.0714960832934323,0.0773372518219229
"210",42,3,"Zostera marina",324,NA,"",32.4,0.105173754588063,0.101900483927831,0.108552169997389
"211",43,3,"Zostera marina",298,NA,"",29.8,0.0921874752065244,0.0890921305021335,0.0953903620561642
"212",44,3,"Zostera marina",285,NA,"",28.5,0.0859315273347053,0.0829171828312734,0.0890554543453464
"213",45,3,"Zostera marina",426,NA,"",42.6,0.161873948232622,0.157385409021935,0.166490497939142
"214",46,4,"Zostera marina",702,NA,"",70.2,0.355584953961109,0.341058285946122,0.37073035517307
"215",47,4,"Zostera marina",506,NA,"",50.6,0.212290364713894,0.205935533821931,0.218841295205162
"216",48,4,"Zostera marina",645,NA,"",64.5,0.311172403753653,0.29951505460083,0.323283465623695
"217",49,4,"Zostera marina",696,NA,"",69.6,0.350808544306374,0.33660191041747,0.365614783961636
"218",50,4,"Zostera marina",594,NA,"",59.4,0.273300712157723,0.263877686174936,0.283060232748901
"219",51,4,"Zostera marina",604,NA,"",60.4,0.280584592834498,0.27074896927136,0.290777519663225
"220",52,4,"Zostera marina",467,NA,"",46.7,0.18708990381389,0.181756863123614,0.192579424554026
"221",53,4,"Zostera marina",619,NA,"",61.9,0.291641013699007,0.281162973057443,0.302509537249796
"222",54,4,"Zostera marina",780,NA,"",78,0.419791552520778,0.400730061981455,0.439759739253006
"223",55,4,"Zostera marina",343,NA,"",34.3,0.115053350918747,0.111627781909314,0.118584041814844
"224",56,4,"Zostera marina",486,NA,"",48.6,0.199221781167767,0.193417602264261,0.205200134977536
"225",57,4,"Zostera marina",642,NA,"",64.2,0.308895234270311,0.297378168327542,0.320858341052849
"226",58,4,"Zostera marina",680,NA,"",68,0.338187251053697,0.32481350955339,0.352111637636356
"227",59,4,"Zostera marina",654,NA,"",65.4,0.318040484877377,0.30595576421753,0.330602530989157
"228",60,4,"Zostera marina",382,NA,"",38.2,0.1363275384649,0.132497353009956,0.140268445532662
"229",61,5,"Zostera marina",468,NA,"",46.8,0.187721465313172,0.182364894893976,0.193235373287234
"230",62,5,"Zostera marina",471,NA,"",47.1,0.189620809549329,0.184192805153287,0.195208772591416
"231",63,5,"Zostera marina",482,NA,"",48.2,0.196644603598725,0.19094383289736,0.202515575065918
"232",64,5,"Zostera marina",377,NA,"",37.7,0.133526860550027,0.129756902396802,0.137406351099714
"233",65,5,"Zostera marina",440,NA,"",44,0.170334116249499,0.165583374349321,0.175221161378735
"234",66,5,"Zostera marina",342,NA,"",34.2,0.114525324970101,0.111108382595522,0.118047349381863
"235",67,5,"Zostera marina",254,NA,"",25.4,0.0716738343375483,0.0688471902070506,0.0746165313819913
"236",68,5,"Zostera marina",515,NA,"",51.5,0.218269639710714,0.211648863011936,0.225097526825637
"237",69,5,"Zostera marina",278,NA,"",27.8,0.0826298897647541,0.0796580689922966,0.0857125808961762
"238",70,5,"Zostera marina",453,NA,"",45.3,0.178330036786385,0.173311651652967,0.183493733496418
"239",71,5,"Zostera marina",312,NA,"",31.2,0.0991024736754714,0.0959147623907235,0.102396128018218
"240",72,5,"Zostera marina",308,NA,"",30.8,0.0971081454915303,0.0939475290587563,0.100375092514743
"241",73,5,"Zostera marina",408,NA,"",40.8,0.151229832846365,0.14703991930345,0.155539138290339
"242",74,5,"Zostera marina",239,NA,"",23.9,0.0651195456828348,0.0623870096116865,0.0679717661790999
"243",75,5,"Zostera marina",460,NA,"",46,0.182690791466041,0.17751851932649,0.188013765623539
"244",106,11,"Zostera marina",398,NA,"",39.8,0.145431441336336,0.141389497443938,0.149588933488857
"245",107,11,"Zostera marina",530,NA,"",53,0.228369188801525,0.221280422970926,0.235685044766563
"246",108,11,"Zostera marina",291,NA,"",29.1,0.0887989310884695,0.0857476203509906,0.091958822066176
"247",138,13,"Zostera marina",442,NA,"",44.2,0.171555524915962,0.166765133694673,0.176483521927769
"248",139,13,"Zostera marina",229,NA,"",22.9,0.0608788609171887,0.0582120702353003,0.0636678216664233
"249",140,13,"Zostera marina",337,NA,"",33.7,0.111898533903964,0.108523637506564,0.115378383710178
"250",141,13,"Zostera marina",182,NA,"",18.2,0.0423925471486056,0.0400862332929214,0.0448315520347006
"251",142,13,"Zostera marina",506,NA,"",50.6,0.212290364713894,0.205935533821931,0.218841295205162
"252",143,13,"Zostera marina",512,NA,"",51.2,0.216269810359502,0.209738926116562,0.223004054321043
"253",144,13,"Zostera marina",162,NA,"",16.2,0.0352889402782976,0.0331693400822812,0.0375439879984373
"254",145,13,"Zostera marina",444,NA,"",44.4,0.1727801182981,0.167949524610178,0.177749650369038
"255",146,13,"Zostera marina",448,NA,"",44.8,0.175238834857104,0.170326171258697,0.180293192849584
"256",147,13,"Zostera marina",256,NA,"",25.6,0.0725649897321571,0.0697260952540681,0.075519469656819
"257",148,13,"Zostera marina",467,NA,"",46.7,0.18708990381389,0.181756863123614,0.192579424554026
"258",149,13,"Zostera marina",253,NA,"",25.3,0.0712297666978684,0.0684092685860822,0.0741665532858073
"259",150,13,"Zostera marina",387,NA,"",38.7,0.139149392709055,0.135256213795178,0.143154631850187
"260",151,13,"Zostera marina",443,NA,"",44.3,0.172167423899605,0.167357000679483,0.177116115441116
"261",152,13,"Zostera marina",705,NA,"",70.5,0.357981996030025,0.343293744878831,0.37329870233107
"262",153,14,"Zostera marina",646,NA,"",64.6,0.311932817162906,0.300228464846666,0.324093461533972
"263",154,14,"Zostera marina",357,NA,"",35.7,0.122538322198456,0.118983648277357,0.126199193121147
"264",155,14,"Zostera marina",810,NA,"",81,0.445509098668342,0.42452205373785,0.467533677576248
"265",156,14,"Zostera marina",646,NA,"",64.6,0.311932817162906,0.300228464846666,0.324093461533972
"266",157,14,"Zostera marina",845,NA,"",84.5,0.476212654557064,0.452854530594072,0.500775584739738
"267",158,14,"Zostera marina",681,NA,"",68.1,0.338971125960046,0.325546207875921,0.352949662612612
"268",159,14,"Zostera marina",877,NA,"",87.7,0.504933089417498,0.479291159335951,0.531946854897008
"269",160,14,"Zostera marina",221,NA,"",22.1,0.0575620096181152,0.0549500755328248,0.0602980963929105
"270",161,14,"Zostera marina",625,NA,"",62.5,0.296107149316688,0.285364317972331,0.307254405524368
"271",162,14,"Zostera marina",628,NA,"",62.8,0.298349501851324,0.28747261123091,0.309637933414933
"272",163,14,"Zostera marina",731,NA,"",73.1,0.37900143121685,0.362869381380923,0.39585066206959
"273",164,14,"Zostera marina",854,NA,"",85.4,0.484228114426229,0.460238806527838,0.509467831645348
"274",165,14,"Zostera marina",496,NA,"",49.6,0.205718164297315,0.19964564435601,0.211975388986657
"275",166,14,"Zostera marina",640,NA,"",64,0.307380518049129,0.295956367977272,0.319245649356688
"276",167,14,"Zostera marina",516,NA,"",51.6,0.218937742626085,0.212286726141145,0.225797137755734
"277",168,15,"Zostera marina",584,NA,"",58.4,0.266087061717689,0.257063940886946,0.275426900285059
"278",169,15,"Zostera marina",516,NA,"",51.6,0.218937742626085,0.212286726141145,0.225797137755734
"279",170,15,"Zostera marina",870,NA,"",87,0.498598079434698,0.473465129607263,0.525065161656535
"280",171,15,"Zostera marina",604,NA,"",60.4,0.280584592834498,0.27074896927136,0.290777519663225
"281",172,15,"Zostera marina",592,NA,"",59.2,0.271852347569694,0.262510322182209,0.281526830125396
"282",173,15,"Zostera marina",205,NA,"",20.5,0.0511345645527325,0.0486396352125687,0.0537574692032621
"283",174,15,"Zostera marina",666,NA,"",66.6,0.327282819297883,0.314613152128889,0.340462701837998
"284",175,15,"Zostera marina",764,NA,"",76.4,0.406305175531723,0.388229866798926,0.425222039265117
"285",176,15,"Zostera marina",555,NA,"",55.5,0.245569375507275,0.23763296296728,0.253770846577949
"286",177,15,"Zostera marina",400,NA,"",40,0.146584488435113,0.142513941040476,0.150771300638449
"287",178,15,"Zostera marina",833,NA,"",83.3,0.465601605419345,0.443071431721588,0.489277438012053
"288",179,15,"Zostera marina",770,NA,"",77,0.411343709661537,0.392901927802056,0.430651100198621
"289",180,15,"Zostera marina",523,NA,"",52.3,0.223635303990817,0.216768762704155,0.230719355349748
"290",181,15,"Zostera marina",682,NA,"",68.2,0.339755663568859,0.32627945128764,0.353788479389565
"291",182,15,"Zostera marina",721,NA,"",72.1,0.370865224088479,0.355297657469719,0.387114892391094
"292",195,18,"Zostera marina",619,3.3,"one blade including roots",61.9,0.291641013699007,0.281162973057443,0.302509537249796
"293",224,21,"Zostera marina",723,NA,"",72.3,0.372487302934165,0.356807753960161,0.388855873526392
"294",225,21,"Zostera marina",701,NA,"",70.1,0.354787247837698,0.340314209111397,0.369875802591143
"295",226,21,"Zostera marina",510,NA,"",51,0.214940329801592,0.208468683595223,0.221612880066537
"296",227,21,"Zostera marina",792,NA,"",79.2,0.430011513618482,0.410191719007061,0.45078896836841
"297",228,21,"Zostera marina",769,NA,"",76.9,0.410502379361858,0.392121955604264,0.429744371753088
"298",229,21,"Zostera marina",637,NA,"",63.7,0.305113547875198,0.293827860110568,0.31683270967552
"299",230,21,"Zostera marina",848,NA,"",84.8,0.478879043135217,0.455311496207795,0.503666478584678
"300",231,21,"Zostera marina",736,NA,"",73.6,0.383093673301558,0.366675106914912,0.400247411825907
"301",232,21,"Zostera marina",605,NA,"",60.5,0.281316824367167,0.271439247917902,0.291553842265153
"302",233,21,"Zostera marina",850,NA,"",85,0.480659654963853,0.456951952646106,0.50559736657674
"303",234,21,"Zostera marina",705,NA,"",70.5,0.357981996030025,0.343293744878831,0.37329870233107
"304",235,21,"Zostera marina",612,NA,"",61.2,0.286461929436301,0.276287175151753,0.297011386689577
"305",236,21,"Zostera marina",563,NA,"",56.3,0.251169270637254,0.242944042528155,0.259672975949345
"306",237,21,"Zostera marina",574,NA,"",57.4,0.258944149564351,0.250308109034471,0.267878147664689
"307",238,21,"Zostera marina",431,NA,"",43.1,0.164877353602681,0.160298232715582,0.169587282844579
"308",239,22,"Zostera marina",304,NA,"",30.4,0.095128667359,0.0919945481966694,0.098369561358712
"309",240,22,"Zostera marina",549,NA,"",54.9,0.241399797945002,0.233674444837708,0.249380553737318
"310",241,22,"Zostera marina",195,NA,"",19.5,0.0472602671716863,0.0448441459815964,0.0498065645860621
"311",242,22,"Zostera marina",238,NA,"",23.8,0.0646907951077923,0.0619647086013632,0.0675368135530343
"312",243,22,"Zostera marina",455,NA,"",45.5,0.179572038142052,0.174510386082389,0.184780502790629
"313",244,22,"Zostera marina",644,NA,"",64.4,0.310412668503751,0.29880220153633,0.322474279882119
"314",245,22,"Zostera marina",654,NA,"",65.4,0.318040484877377,0.30595576421753,0.330602530989157
"315",246,22,"Zostera marina",380,NA,"",38,0.135204719537722,0.131398951606185,0.139120715666452
"316",247,22,"Zostera marina",195,NA,"",19.5,0.0472602671716863,0.0448441459815964,0.0498065645860621
