"","place_name","collection_date","YYYYMMDD","processed_date","quadrat","shoot_foil_mass_g","shoot_fw_g","shoot_dw_foil_mass_g","pad_pre_mass_g","pad_dw_mass_g","idotea_count","idotea_foil_mass_g","idotea_fw_mass_g","idotea_dw_foil_mass_g","limpet_count","limpet_foil_mass_g","limpet_fw_mass_g","limpet_dw_foil_mass_g","caprellid_count","caprellid_foil_mass_g","caprellid_fw_mass_g","caprellid_dw_foil_mass_g","amphipod_count","amphipod_foil_mass_g","amphipod_fw_mass_g","amphipod_dw_foil_mass_g","gastropod_count","gastropod_foil_mass_g","gastropod_fw_mass_g","gastropod_dw_foil_mass_g","notes"
"25","Nossuk Bay","7/3/2019",20190703,"7/3/2019",1,2.98,8.721,4.456,1.007,1.024,0,0,0,0,3,1.181,0.111,1.212,0,0,"",0,0,0,0,0,0,0,"",0,"2 mysids, 1 shrimp"
"26","Nossuk Bay","7/3/2019",20190703,"7/3/2019",2,2.973,20.338,6.279,1.038,1.074,0,1.109,0.291,1.173,0,0,0,0,0,0,"",0,1,0.877,0.002,0.878,0,0,"",0,""
"27","Nossuk Bay","7/3/2019",20190703,"7/3/2019",3,2.538,33.844,7.646,1.043,1.063,1,1.161,0.107,1.178,3,1.126,0.098,1.158,0,0,"",0,1,0.755,8e-04,0.75543,0,0,"",0,"3 mysids"
"28","Nossuk Bay","7/3/2019",20190703,"7/3/2019",4,2.705,9.55,4.482,1.044,1.052,3,0.953,0.51,1.076,0,0,0,0,0,0,"",0,6,1.195,0.006,1.198,1,1.211,"0.002",1.212,"2 mysids, 1 shrimp"
"29","Nossuk Bay","7/3/2019",20190703,"7/3/2019",5,2.506,14.015,7.139,1.014,1.032,0,0,0,0,0,0,0,0,0,0,"",0,3,1.072,0.003,1.072,0,0,"",0,""
"30","Nossuk Bay","7/3/2019",20190703,"7/3/2019",6,2.449,23.178,4.462,1.034,1.076,1,1.179,0.147,1.223,1,0.807,0.049,0.819,0,0,"",0,0,0,0,0,0,0,"",0,"1 shrimp, 1 mysid"
"31","Nossuk Bay","7/3/2019",20190703,"7/3/2019",7,2.785,30.663,5.798,1.045,1.077,2,0.982,0.285,1.051,1,1.225,0.019,1.231,0,0,"",0,0,0,0,0,0,0,"",0,"1 shrimp, 2 larve/ recruit fish pollock?"
"32","Nossuk Bay","7/3/2019",20190703,"7/3/2019",8,2.578,25.893,6.38,1.033,1.061,4,1.163,0.932,1.383,0,0,0,0,0,0,"",0,2,0.865,0.003,1.177,0,0,"",0,"2 shrimp"
"33","Port Refugio","7/2/2019",20190702,"7/2/2019",1,2.25,59.462,16.179,1.018,1.01,0,0,0,0,1,0.605,0.037,0.614,0,0,"",0,2,0.857,0.001,0.857,2,0.944,"0.033",0.955,""
"34","Port Refugio","7/2/2019",20190702,"7/2/2019",2,2.519,23.044,6.528,0.996,1.048,1,0.88,0.318,0.94,1,0.833,0.035,0.845,0,0,"",0,2,0.811,0.003,0.811,0,0,"",0,"no grazers"
"35","Port Refugio","7/2/2019",20190702,"7/2/2019",3,2.257,13.47,4.078,0.998,1.003,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,"",0,""
"36","Port Refugio","7/2/2019",20190702,"7/2/2019",4,2.059,13.613,4.232,1.01,1.049,0,0,0,0,0,0,0,0,0,0,"",0,1,0.906,1e-04,0.906,0,0,"",0,""
"37","Port Refugio","7/2/2019",20190702,"7/2/2019",5,2.091,30.058,6.856,1.017,1.083,1,0.95,0.14,0.991,1,1.007,0.085,1.032,0,0,"",0,2,0.8,0.005,0.801,0,0,"",0,""
"38","Port Refugio","7/2/2019",20190702,"7/2/2019",6,2.359,11.048,3.931,1.012,1.024,0,0,0,0,1,1.049,0.057,1.068,0,0,"",0,3,0.903,0.004,0.903,0,0,"",0,""
"39","Port Refugio","7/2/2019",20190702,"7/2/2019",7,1.955,5.913,2.842,1.029,1.035,0,0,0,0,0,0,0,0,0,0,"",0,8,0.993,0.007,0.995,0,0,"",0,""
"40","Port Refugio","7/2/2019",20190702,"7/2/2019",8,1.865,13.038,3.585,1,1.006,2,0.957,0.32,1.039,1,1.042,0.086,1.067,0,0,"",0,5,1.059,0.008,1.061,0,0,"",0,""
"41","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",1,1.831,7.123,2.748,1.018,1.039,10,1.539,0.112,1.567,0,0,0,0,0,0,"",0,3,1.659,0.002,1.661,0,0,"",0,"3 gastro 1.441 0.007 1.443"
"42","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",2,1.77,7.226,2.807,1.032,1.035,8,1.281,0.633,1.378,0,0,0,0,4,1.403,"0.007",1.404,2,1.387,0.002,1.387,11,1.343,"0.02",1.351,"3 shrimp"
"43","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",3,1.907,21.39,4.4,1.034,1.033,20,1.454,0.494,1.549,0,0,0,0,0,0,"",0,0,0,0,0,2,1.238,"0.024",1.248,"3 mysids 1.356 0.009 1.357"
"44","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",4,1.946,11.606,3.428,1.033,1.042,19,1.222,0.648,1.349,1,1.24,0.064,1.255,6,1.328,"0.014",1.33,0,0,0,0,1,1.178,"0.065",1.202,"1 shrimp"
"45","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",5,2.185,34.837,6.771,1.039,1.067,12,1.822,0.016,1.825,1,1.164,0.044,1.178,14,1.946,"0.03",1.95,0,0,0,0,1,1.623,">0.001",1.624,"3 shrimp"
"46","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",6,2.144,19.255,5.906,1.063,1.134,27,1.611,0.05,1.62,0,0,0,0,11,1.75,"0.022",1.752,0,0,0,0,0,0,"",0,"1 shrimp"
"47","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",7,2.13,27.113,5.628,1.028,1.065,6,1.769,0.015,1.772,1,1.644,0.03,1.654,0,0,"",0,0,0,0,0,2,1.769,"0.016",1.777,""
"48","Shinaku Inlet","7/1/2019",20190701,"7/1/2019",8,2.249,42.354,9.38,1.049,1.113,11,1.905,0.03,1.911,2,1.76,0.044,1.771,1,1.693,"0.001",1.693,0,0,0,0,24,1.74,"0.089",1.772,"3 polychaetes"
