"site","bay_code","bay_sample","longitude","latitude","shoot_dens","shoot_dens_se","macro_dens","macro_dens_se","diatom_dens","diatom_dens_se","flower_dens","flower_dens_se","shoot_area","shoot_area_se","shoot_max","shoot_max_se","epi_mass","epi_mass_se","shoot_mass","shoot_mass_se","rhi_mass","rhi_mass_se","node1","node1_se","node2","node2_se","node3","node3_se","node4","node4_se","node5","node5_se","exshoot_mass","exshoot_mass_se","exepi_mass","exepi_mass_se","abvgnd_mass","abvgnd_mass_se","blwgnd_mass","blwgnd_mass_se","epiphmass_shootarea","epiphmass_shootarea_se","epiphmass_shootmax","epiphmass_shootmax_se","epiphmass_shootmass","epiphmass_shootmass_se","grazer_mass","grazer_mass_se","crus_mass","crus_mass_se","gast_mass","gast_mass_se","grazermass_shootmass","grazermass_shootmass_se","grazermass_shootmax","grazermass_shootmax_se","crusmass_shootmass","crusmass_shootmass_se","gastmass_shootmass","gastmass_shootmass_se"
"2017_L_04","NATZ","A",-132.883,55.25051,170.5,14.9463325649758,0.625,0.625,94.125,2.03046001121491,2.5,1.5,0.392881408730159,0.0263566389018003,52.4925,0.993046808708287,0.00265,0.000627807977922278,0.2141175,0.0138322110811272,0.0698414087301587,0.00241109167517663,1.055,0.0924082556608754,1.388125,0.114976463041665,1.378125,0.0880968518594148,0.978571428571429,0.106159508617181,0.525,0.0783953655092782,0.4504,0.0963660802802077,NA,NA,37.42206,5.17411243033734,11.6894305952381,0.677664270919204,0.00734184220992027,0.00179172953098863,5.08843271387154e-05,1.19106577880437e-05,0.0132333987484312,0.00314857413228445,1.47017075892857,0.55262946570775,0,0,0.0412875,0.0143986536759022,1.82305062215801,0.376427495323427,0.0273030969756046,0.0098710652748077,0,0,0.0680269357382209,0.0248917836880881
"2017_L_05","DUNB","A",-132.826,55.0848,230,14.3626499743506,0,0,50.5,10.5762537250741,1.5,1.0522085616183,0.388534850180306,0.0271417186629394,39.8875,2.01831236963671,0.003625,0.00172806146550735,0.153815,0.0172016090401866,0.109897350180306,0.00706354626910184,0.7725,0.0486881475750076,0.9725,0.0563075102831382,0.96,0.0943256138520785,0.693333333333333,0.0670228579819116,0.498541666666667,0.0239490147509179,0.56055,0.0650812184889005,NA,NA,35.09333,4.35945343541235,24.6728986545107,1.00759604549046,0.0100248965233737,0.00474241739809579,9.55774253823766e-05,4.60684803850881e-05,0.0286195231634499,0.0137510374859489,2.71378748792259,1.17603844758399,0,0,0.0151875,0.00687184830356018,4.68539651748732,2.30526269705897,0.0702104546083451,0.0313279950300333,0,0,0.0229043153645778,0.0121021006731071
"2017_L_06","FARA","A",-133.105314,55.19112,181.5,28.4146591945576,56.25,12.7387905907227,62.5,12.7825215486952,0.5,0.5,0.909302774943311,0.0862014262197539,71.6925,4.15683591466257,0.00265,0.000843623138611072,0.54661,0.0480596424099413,0.131725274943311,0.00879318140997148,1.1675,0.126204907081415,1.574375,0.109949004007053,1.26625,0.0523284707325405,1.00833333333333,0.0860855056656711,0.788888888888889,0.089027669440045,1.0219875,0.238679403502376,NA,NA,96.40332,16.7884181718231,23.3310715873016,3.38072662202935,0.00272805172713907,0.000796396920668483,3.42094270826966e-05,9.36621233420358e-06,0.00443617105656673,0.00120621292487941,12.9816548469388,8.39992148478105,0,0,0.1068125,0.0179134370704946,9.3657946252399,7.13565836683586,0.183842152828889,0.123079540002046,0,0,0.0740255621378271,0.0114934090902838
"2017_L_07","HETA","A",-132.589934,55.155625,275,16.7971085947212,1.625,1.25267570766397,57.75,10.6347644207906,4.5,1.76270895417901,0.477322138653439,0.0572135442354307,44.465,3.6350982498021,0.0013925,0.000627818644195916,0.1906625,0.0257223842033965,0.10472963865344,0.00501472097362818,0.9275,0.128226223081374,0.9975,0.135036370761997,0.869375,0.086450013942823,0.834166666666667,0.0819231879882535,0.769523809523809,0.057378811789092,0.8979625,0.228448249795925,NA,NA,53.48682,8.10947472243249,28.904196887601,2.48743012861953,0.00240339157015603,0.00100062460907463,2.62523676259363e-05,1.12822454166211e-05,0.00592422196767914,0.00263512904625855,4.07019029605263,2.89212176805778,0,0,0,0,4.47642191196434,3.40007228221233,0.0838374755592937,0.0576603456804599,0,0,0,0
"2017_M_02","NFEI","A",-133.17,55.49709,369,24.8969303902538,0,0,2.75,0.700764888226735,0,0,0.502135509044435,0.0643698593356514,36.51,2.24413839654713,0.0012425,0.000607858506797197,0.2009425,0.0499297057926012,0.0879855090444354,0.0112962308432257,1.115,0.161234080055764,1.319375,0.189916423112529,0.805208333333333,0.0834507729024475,0.663333333333333,0.0898587957553582,0.39,0.0617454451761423,0.9921375,0.155067477175836,NA,NA,70.43177,15.8086510619502,30.8493343441928,2.90332164203779,0.00241338399036585,0.000882995443687598,3.12219224407647e-05,1.31367592882431e-05,0.00577657413962166,0.00160827080326549,5.62156612530058,2.14068316897414,0,0,0.0363875,0.0165804902294836,4.91344387385824,1.8473703668087,0.154599061117438,0.0560019939368528,0,0,0.0278937914672781,0.0118533828915164
"2017_M_03","SFEI","A",-133.17549,55.48442,265.5,15.0795509595895,0,0,0,0,4.5,2.55650430973904,0.628663908271662,0.18522659031398,38.865,2.55768240516963,0.001235,0.000350260107430383,0.154445,0.0134082489269,0.107923908271662,0.0108301158061584,1.2125,0.0986289945778044,1.11,0.137425304386471,0.716875,0.0887559731390352,0.496666666666667,0.0514270557536795,0.343541666666667,0.055259522540004,1.79715,0.880950063040709,NA,NA,41.04109,4.63393714119615,28.1673418073316,2.82058213304633,0.0024293371634581,0.000637615888694978,2.9815139162906e-05,7.79437094826974e-06,0.00764290769723479,0.00213720708248999,6.52564776785714,3.22517066902836,0,0,0.00754999999999999,0.00537676881194857,5.43362724213203,3.05277459337164,0.157474942891454,0.0705348323024186,0,0,0.0106500629257045,0.00703529135627154
"2017_M_04","SWAD","A",-133.147,55.52904,381,30.8614414995245,0,0,95.625,2.57694101601104,3,1.25356634105602,0.608532898633697,0.073887791457326,-Inf,NA,0.003398125,0.00107549570693006,0.22947,0.0171708948358636,0.0819128986336968,0.0066347447720814,1.05625,0.122002451673258,1.399375,0.100580624642977,1.19604166666667,0.134558337462067,1.15208333333333,0.309560580462355,0.413888888888889,0.00783215121103982,1.5389875,0.343121220997925,NA,NA,87.34701,9.62302261022195,31.394662693357,3.86324770317281,0.00509735520683818,0.00120935039140266,4.73088630999089e-05,2.01569897499413e-05,0.0145170878460306,0.00473199418358003,2.38099787234043,0.633582040035775,0,0,0.0017375,0.0017375,1.35490430429878,0.234632009024,0.0350361129638099,0.0135562908439181,0,0,0.000548505224610917,0.000548505224610917
"2017_M_05","SHIN","A",-133.16,55.59929,266,17.8085051911399,0,0,100,0,3,1,0.573892683209647,0.0578524346672491,-Inf,NA,0.010275,0.00094410010062493,0.1986375,0.0140416555991196,0.0681143498763142,0.00586328470656295,1.24416666666667,0.118896630440727,1.8125,0.12850444683801,1.2875,0.103945598752424,0.854166666666667,0.129230494982157,0.9,NA,1.5020375,0.262555341062671,NA,NA,52.36132,4.08285844941297,17.5541899134199,1.05375389726127,0.0192895387122131,0.00255937650737509,0.000175573665486022,3.15567896961043e-05,0.0525841984743879,0.00452402498935792,9.10958086734694,3.8618934039215,0,0,0.025075,0.0128041532045549,5.78056247380667,2.84666358342418,0.108293278014571,0.0569150386096613,0,0,0.0125237025207334,0.00530384909943974
"2017_M_06","TROC","A",-133.0011,55.344914,471,38.0882434054694,4,1.16496474502143,64.375,11.5123187127032,3.5,1.59239262925771,0.615345228750759,0.0736756436301867,59.1975,4.86775606487659,0.00473249999999999,0.000863414628917403,0.30366,0.0313990338795866,0.144317728750759,0.0124054307071102,0.635,0.0425524885960185,0.7575,0.0664871093843439,0.8725,0.0559256521770517,1.00125,0.0611332706937416,0.949047619047619,0.0485100423247517,0.7966,0.205802715864351,NA,NA,140.37845,14.9016199332244,66.4260929992833,5.23171822043094,0.00766527193928586,0.00103134245740161,7.62460582472932e-05,9.09156837434574e-06,0.0154762530839857,0.00205775870869577,1.29196850961538,0.255923025743397,0,0,0,0,1.17991885257461,0.0471590058647171,0.0207468440651453,0.00317520213647842,0,0,0,0
"2017_M_07","GARC","A",-133.431392,55.552669,283,23.8417401090728,3.125,3.125,71.25,7.71998797186332,0,0,0.509294295650772,0.0685194967711209,52.235,2.69280721818063,0.0039275,0.00130367029957731,0.247055,0.0289003009747056,0.0800542956507723,0.00484953306517264,1.285,0.0695649747666576,1.2225,0.0763860028314837,1.06875,0.0622046593339851,1.01916666666667,0.0522537687560079,0.682142857142857,0.0751239055858799,0.8731875,0.210111342453659,NA,NA,73.17176,11.8136698082179,23.3646704698231,3.01661448440495,0.00967981351884425,0.00378947696824073,7.78912338595842e-05,2.67889003183536e-05,0.0190276361717969,0.00731604378460889,1.1604485367893,0.240168382506267,0,0,0.0111,0.0064907626670523,1.03272296812936,0.0212233797978583,0.0212333488578215,0.00342950331632592,0,0,0.010581460287196,0.00668695262158848
"2017_M_08","REFU","A",-133.334028,55.282137,334.5,43.6737089922857,13.125,4.81232606364709,98.125,1.31526070202288,0.5,0.5,0.382888690388848,0.0385342733392801,43.7525,2.45037005222826,0.0005825,0.00022043585072695,0.180125,0.0146620285821184,0.0605436903888481,0.00178552016498654,1.3575,0.0795017969248854,1.499375,0.107456126844534,1.16229166666667,0.0689669646446876,0.863095238095238,0.0782449476030039,0.483333333333333,0.0634647758821992,0.6670375,0.141508351517171,NA,NA,62.68049,11.2822369044789,20.6593186940572,3.02633443257461,0.00150815949101689,0.000493476313272257,1.24143919341481e-05,3.87821726906239e-06,0.00306375940003365,0.000957882828361494,2.16747456896552,0.939393225472163,0,0,0.0106875,0.0106875,2.47416047627598,0.957982484100102,0.0505201796679652,0.02286735627216,0,0,0.011874472245678,0.011874472245678
