"","bay_code","bay_sample","process_date","quadrat_no","belowground_empty_tin_mass_g","aboveground_empty_tin_mass_g","algae_empty_tin_mass_g","freshweight_belowground_mass_g","freshweight_aboveground_mass_g","freshweight_algae_mass_g","dry_belowground_mass.tin_g","dry_aboveground_mass.tin_g","dry_algae_mass.tin_g","notes","dry_belowground_eel_mass_g","dry_aboveground_eel_mass_g","dry_algae_mass_g","place_name","latitude","longitude"
"48","NFEI","A",20210721,8,2.659,2.8837,0.7497,28.1347,2.4647,9.9796,5.7266,5.7266,5.44,"",3.0676,2.8429,4.6903,"North Fish Egg Island",55.49709,-133.17
"49","NFEI","A",20210721,9,3.1422,2.6046,0.9812,95.325,24.2709,4.8138,16.4952,16.4952,1.1456,"",13.353,13.8906,0.1644,"North Fish Egg Island",55.49709,-133.17
"50","NFEI","A",20210721,10,5.5319,2.7011,0.7711,162.3413,115.1794,7.4176,32.8149,32.8149,1.4681,"",27.283,30.1138,0.697,"North Fish Egg Island",55.49709,-133.17
"51","NOSK","A",20210726,1,0,0,2.1691,0,0,32.5783,0,0,6.3018,"",0,0,4.1327,"Nossuk Bay",55.7073,-133.342
"52","NOSK","A",20210726,2,0,0,3.4049,0,0,69.2343,0,0,9.9304,"",0,0,6.5255,"Nossuk Bay",55.7073,-133.342
"53","NOSK","A",20210726,3,0,0,0.7202,0,0,2.1508,0,0,0.9168,"",0,0,0.1966,"Nossuk Bay",55.7073,-133.342
"54","NOSK","A",20210726,4,0,0.5773,2.5391,0,0.2572,20.5165,0,0,4.3763,"",0,0,1.8372,"Nossuk Bay",55.7073,-133.342
"55","NOSK","A",20210726,5,0,0,0.5652,0,0,2.8729,0,0,0.8142,"",0,0,0.249,"Nossuk Bay",55.7073,-133.342
"56","NOSK","A",20210726,6,0,0,1.647,0,0,0.7307,0,0,1.7039,"",0,0,0.0569,"Nossuk Bay",55.7073,-133.342
"57","NOSK","A",20210726,7,0,0,1.389,0,0,15.8452,0,0,2.9305,"",0,0,1.5415,"Nossuk Bay",55.7073,-133.342
"58","NOSK","A",20210726,8,0,0,1.5514,0,0,11.3014,0,0,3.1431,"",0,0,1.5917,"Nossuk Bay",55.7073,-133.342
"59","NOSK","A",20210726,9,0,0,2.5367,0,0,24.839,0,0,4.5693,"",0,0,2.0326,"Nossuk Bay",55.7073,-133.342
"60","NOSK","A",20210726,10,0,0,3.3308,0,0,33.7698,0,0,7.1764,"",0,0,3.8456,"Nossuk Bay",55.7073,-133.342
