site_name,bay_code,bay_sample,sample_date,quadrat_location_m,quadrat_no,primary_sediment,secondary_sediment,common_name,scientific_name,species_code,size_mm,size_mm_checked,IF function,samplers,notes,,
Guktu,GUKT,A,20220712,16,2,2,7,Pointed macoma,Macoma inquinata,CLAMMP,28.8,28.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Pointed macoma,Macoma inquinata,CLAMMP,30.3,30.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Pointed macoma,Macoma inquinata,CLAMMP,25.8,25.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Pointed macoma,Macoma inquinata,CLAMMP,20.9,20.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Macoma sp.,Macoma sp.,CLMMAC,18.8,18.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,16,2,2,7,Macoma sp.,Macoma sp.,CLMMAC,19.7,19.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.8,23.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,23.8,23.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Steamer clam,Protothaca staminea,CLAMST,27.1,27.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,26.3,26.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,26.3,26.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,25.1,25.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,19.4,19.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,21.5,21.5,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Pointed macoma,Macoma inquinata,CLAMMP,19.3,19.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,27,3,3,7,Macoma sp.,Macoma sp.,CLMMAC,16.6,16.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,34,4,4,6,Bentnose macoma,Macoma nasuta,CLAMMB,20.8,20.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,34,4,4,6,Pointed macoma,Macoma inquinata,CLAMMP,20,20,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,34,4,4,6,Pointed macoma,Macoma inquinata,CLAMMP,21.5,21.5,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,34,4,4,6,Macoma sp.,Macoma sp.,CLMMAC,20.3,20.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,37.9,37.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,17.2,17.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Steamer clam,Protothaca staminea,CLAMST,38.2,38.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Cockle,Clinocardium nutallii,CLAMCK,26.9,26.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Pointed macoma,Macoma inquinata,CLAMMP,22.3,22.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Pointed macoma,Macoma inquinata,CLAMMP,27.3,27.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,50,5,3,7,Pointed macoma,Macoma inquinata,CLAMMP,26.1,26.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,31.4,31.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,33.7,33.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,52.6,52.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,34.7,34.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,26.8,26.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,32.7,32.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,20.6,20.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,30.7,30.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,30.3,30.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Bentnose macoma,Macoma nasuta,CLAMMB,35.9,35.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,60,6,2,3,Macoma sp.,Macoma sp.,CLMMAC,22,22,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Steamer clam,Protothaca staminea,CLAMST,36.2,36.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,42.1,42.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,36.8,36.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,37.8,37.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Macoma sp.,Macoma sp.,CLMMAC,18.6,18.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Macoma sp.,Macoma sp.,CLMMAC,18.7,18.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,67,7,1,2,Macoma sp.,Macoma sp.,CLMMAC,21.7,21.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,76,8,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,34.1,34.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,76,8,1,2,Pointed macoma,Macoma inquinata,CLAMMP,19.1,19.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,76,8,1,2,Pointed macoma,Macoma inquinata,CLAMMP,23.3,23.3,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,76,8,1,2,Pointed macoma,Macoma inquinata,CLAMMP,21.2,21.2,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,80,9,1,2,Steamer clam,Protothaca staminea,CLAMST,36.6,36.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,80,9,1,2,Steamer clam,Protothaca staminea,CLAMST,50.5,50.5,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,80,9,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,33.6,33.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Steamer clam,Protothaca staminea,CLAMST,32.4,32.4,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Steamer clam,Protothaca staminea,CLAMST,19.6,19.6,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Cockle,Clinocardium nutallii,CLAMCK,22.8,22.8,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Bentnose macoma,Macoma nasuta,CLAMMB,30.1,30.1,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Pointed macoma,Macoma inquinata,CLAMMP,29.7,29.7,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Pointed macoma,Macoma inquinata,CLAMMP,29.9,29.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Pointed macoma,Macoma inquinata,CLAMMP,19.9,19.9,YES,"Carter, Elyse",,,
Guktu,GUKT,A,20220712,96,10,2,5,Pointed macoma,Macoma inquinata,CLAMMP,26.8,26.8,YES,"Carter, Elyse",,,
Nossuk,NOSK,A,20220713,2,1,1,1,Steamer clam,Protothaca staminea,CLAMST,45,45,YES,Carter,,,
Nossuk,NOSK,A,20220713,2,1,1,1,Steamer clam,Protothaca staminea,CLAMST,43.6,43.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,16,2,1,2,Steamer clam,Protothaca staminea,CLAMST,27.8,27.8,YES,Carter,,,
Nossuk,NOSK,A,20220713,27,3,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,40.9,40.9,YES,Carter,,,
Nossuk,NOSK,A,20220713,34,4,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,27.1,27.1,YES,Carter,,,
Nossuk,NOSK,A,20220713,50,5,4,5,Bentnose macoma,Macoma nasuta,CLAMMB,33,33,YES,Carter,,,
Nossuk,NOSK,A,20220713,50,5,4,5,Macoma sp.,Macoma sp.,CLMMAC,21.1,21.1,YES,Carter,,,
Nossuk,NOSK,A,20220713,50,5,4,5,Macoma sp.,Macoma sp.,CLMMAC,17.6,17.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Steamer clam,Protothaca staminea,CLAMST,21.4,21.4,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,31.6,31.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,28.8,28.8,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,20.6,20.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Bentnose macoma,Macoma nasuta,CLAMMB,25.7,25.7,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Pointed macoma,Macoma inquinata,CLAMMP,34.1,34.1,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Pointed macoma,Macoma inquinata,CLAMMP,27.2,27.2,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Pointed macoma,Macoma inquinata,CLAMMP,22.5,22.5,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Macoma sp.,Macoma sp.,CLMMAC,23.7,23.7,YES,Carter,,,
Nossuk,NOSK,A,20220713,60,6,3,6,Macoma sp.,Macoma sp.,CLMMAC,24.3,24.3,YES,Carter,,,
Nossuk,NOSK,A,20220713,67,7,4,5,Steamer clam,Protothaca staminea,CLAMST,19.4,19.4,YES,Carter,,,
Nossuk,NOSK,A,20220713,67,7,4,5,Steamer clam,Protothaca staminea,CLAMST,43.5,43.5,YES,Carter,,,
Nossuk,NOSK,A,20220713,76,8,4,3,Butter clam,Saxidomus gigantea,CLAMBU,44.6,44.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,80,9,4,3,Steamer clam,Protothaca staminea,CLAMST,40.8,40.8,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Steamer clam,Protothaca staminea,CLAMST,25.9,25.9,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Steamer clam,Protothaca staminea,CLAMST,37.5,37.5,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Bentnose macoma,Macoma nasuta,CLAMMB,32.7,32.7,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Bentnose macoma,Macoma nasuta,CLAMMB,20.4,20.4,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Pointed macoma,Macoma inquinata,CLAMMP,23.1,23.1,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Macoma sp.,Macoma sp.,CLAMMAC,19.9,19.9,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Macoma sp.,Macoma sp.,CLAMMAC,19.6,19.6,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Macoma sp.,Macoma sp.,CLAMMAC,21,21,YES,Carter,,,
Nossuk,NOSK,A,20220713,96,10,3,4,Macoma sp.,Macoma sp.,CLAMMAC,18,18,YES,Carter,,,
Shinaku,SHIN,A,20220714,2,1,5,7,Cockle,Clinocardium nutallii,CLAMST,38,38,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,34,4,5,6,Bentnose macoma,Macoma nasuta,CLAMMB,50.9,50.9,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,67,7,4,3,Butter clam,Saxidomus gigantea,CLAMBU,41.2,41.2,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,76,8,4,4,Cockle,Clinocardium nutallii,CLAMCK,40,40,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,80,9,4,6,Butter clam,Saxidomus gigantea,CLAMBU,22.8,22.8,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,96,10,5,6,Steamer clam,Protothaca staminea,CLAMST,24.6,24.6,YES,"Carter, Ginny, Jessica",,,
Shinaku,SHIN,A,20220714,96,10,5,6,Steamer clam,Protothaca staminea,CLAMST,40.3,40.3,YES,"Carter, Ginny, Jessica",,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Butter clam,Saxidomus gigantea,CLAMBU,57.9,57.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Butter clam,Saxidomus gigantea,CLAMBU,70.5,70.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Butter clam,Saxidomus gigantea,CLAMBU,66.7,66.7,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Steamer clam,Protothaca staminea,CLAMST,48.8,48.8,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Steamer clam,Protothaca staminea,CLAMST,44.5,44.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Steamer clam,Protothaca staminea,CLAMST,34.1,34.1,YES,Carter,,,
Natzuhini,NATZ,A,20220715,2,1,5,7,Bentnose macoma,Macoma nasuta,CLAMMB,39.5,39.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,16,2,5,7,Steamer clam,Protothaca staminea,CLAMST,37.7,37.7,YES,Carter,Lots of shell litter,,
Natzuhini,NATZ,A,20220715,16,2,5,7,Bentnose macoma,Macoma nasuta,CLAMMB,36.2,36.2,YES,Carter,Lots of shell litter,,
Natzuhini,NATZ,A,20220715,27,3,5,7,Butter clam,Saxidomus gigantea,CLAMBU,28.5,28.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,27,3,5,7,Steamer clam,Protothaca staminea,CLAMST,50.2,50.2,YES,Carter,,,
Natzuhini,NATZ,A,20220715,27,3,5,7,Bentnose macoma,Macoma nasuta,CLAMMB,35.3,35.3,YES,Carter,,,
Natzuhini,NATZ,A,20220715,27,3,5,7,Bentnose macoma,Macoma nasuta,CLAMMB,33.8,33.8,YES,Carter,,,
Natzuhini,NATZ,A,20220715,27,3,5,7,Bentnose macoma,Macoma nasuta,CLAMMB,28.6,28.6,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Butter clam,Saxidomus gigantea,CLAMBU,68.1,68.1,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Butter clam,Saxidomus gigantea,CLAMBU,65.5,65.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Butter clam,Saxidomus gigantea,CLAMBU,62.1,62.1,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Steamer clam,Protothaca staminea,CLAMST,48,48,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Steamer clam,Protothaca staminea,CLAMST,42.5,42.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Steamer clam,Protothaca staminea,CLAMST,44.3,44.3,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Steamer clam,Protothaca staminea,CLAMST,49.6,49.6,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Steamer clam,Protothaca staminea,CLAMST,61.1,61.1,YES,Carter,,,
Natzuhini,NATZ,A,20220715,34,4,8,5,Pointed macoma,Macoma inquinata,CLAMMP,30.4,30.4,YES,Carter,,,
Natzuhini,NATZ,A,20220715,50,5,8,5,Butter clam,Saxidomus gigantea,CLAMBU,69.9,69.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,60,6,5,7,Steamer clam,Protothaca staminea,CLAMST,52.9,52.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,60,6,5,7,Steamer clam,Protothaca staminea,CLAMST,53.8,53.8,YES,Carter,,,
Natzuhini,NATZ,A,20220715,60,6,5,7,Steamer clam,Protothaca staminea,CLAMST,56.9,56.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,60,6,5,7,Steamer clam,Protothaca staminea,CLAMST,50,50,YES,Carter,,,
Natzuhini,NATZ,A,20220715,60,6,5,7,Cockle,Clinocardium nutallii,CLAMCK,58.7,58.7,YES,Carter,,,
Natzuhini,NATZ,A,20220715,67,7,5,7,Butter clam,Saxidomus gigantea,CLAMBU,39.6,39.6,YES,Carter,,,
Natzuhini,NATZ,A,20220715,67,7,5,7,Steamer clam,Protothaca staminea,CLAMST,48.2,48.2,YES,Carter,,,
Natzuhini,NATZ,A,20220715,76,8,3,7,Butter clam,Saxidomus gigantea,CLAMBU,70.9,70.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,76,8,3,7,Butter clam,Saxidomus gigantea,CLAMBU,64.7,64.7,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Butter clam,Saxidomus gigantea,CLAMBU,75,75,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Butter clam,Saxidomus gigantea,CLAMBU,56.5,56.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Butter clam,Saxidomus gigantea,CLAMBU,64.4,64.4,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Steamer clam,Protothaca staminea,CLAMST,39.3,39.3,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Cockle,Clinocardium nutallii,CLAMCK,27.6,27.6,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Bentnose macoma,Macoma nasuta,CLAMMB,17.4,17.4,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Bentnose macoma,Macoma nasuta,CLAMMB,28.5,28.5,YES,Carter,,,
Natzuhini,NATZ,A,20220715,80,9,8,2,Pointed macoma,Macoma inquinata,CLAMMP,33.1,33.1,YES,Carter,,,
Natzuhini,NATZ,A,20220715,96,10,8,2,Steamer clam,Protothaca staminea,CLAMST,49.2,49.2,YES,Carter,,,
Natzuhini,NATZ,A,20220715,96,10,8,2,Steamer clam,Protothaca staminea,CLAMST,51.9,51.9,YES,Carter,,,
Natzuhini,NATZ,A,20220715,96,10,8,2,Cockle,Clinocardium nutallii,CLAMCK,29.9,29.9,YES,Carter,,,
Refugio,REFU,A,20220716,2,1,1,1,Butter clam,Saxidomus gigantea,CLAMBU,73,73,YES,Jessica,,,
Refugio,REFU,A,20220716,2,1,1,1,Butter clam,Saxidomus gigantea,CLAMBU,74.6,74.6,YES,Jessica,,,
Refugio,REFU,A,20220716,2,1,1,1,Cockle,Clinocardium nutallii,CLAMCK,24.7,24.7,YES,Jessica,,,
Refugio,REFU,A,20220716,2,1,1,1,Bentnose macoma,Macoma nasuta,CLAMMB,38.7,38.7,YES,Jessica,,,
Refugio,REFU,A,20220716,2,1,1,1,Pointed macoma,Macoma inquinata,CLAMMP,34,34,YES,Jessica,,,
Refugio,REFU,A,20220716,16,2,1,2,Steamer clam,Protothaca staminea,CLAMST,29.5,29.5,YES,Jessica,,,
Refugio,REFU,A,20220716,16,2,1,2,Bentnose macoma,Macoma nasuta,CLAMMB,44.8,44.8,YES,Jessica,,,
Refugio,REFU,A,20220716,16,2,1,2,Pointed macoma,Macoma inquinata,CLAMMP,43,43,YES,Jessica,,,
Refugio,REFU,A,20220716,27,3,2,3,Steamer clam,Protothaca staminea,CLAMST,44.8,44.8,YES,Jessica,,,
Refugio,REFU,A,20220716,27,3,2,3,Steamer clam,Protothaca staminea,CLAMST,54.5,54.5,YES,Jessica,,,
Refugio,REFU,A,20220716,27,3,2,3,Steamer clam,Protothaca staminea,CLAMST,40,40,YES,Jessica,,,
Refugio,REFU,A,20220716,34,4,3,2,Butter clam,Saxidomus gigantea,CLAMBU,80.1,80.1,YES,Jessica,,,
Refugio,REFU,A,20220716,34,4,3,2,Butter clam,Saxidomus gigantea,CLAMBU,47.3,47.3,YES,Jessica,,,
Refugio,REFU,A,20220716,34,4,3,2,Steamer clam,Protothaca staminea,CLAMST,44.5,44.5,YES,Jessica,,,
Refugio,REFU,A,20220716,50,5,4,3,Cockle,Clinocardium nutallii,CLAMCK,62,62,YES,Jessica,,,
Refugio,REFU,A,20220716,50,5,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,50,50,YES,Jessica,,,
Refugio,REFU,A,20220716,67,7,6,5,Butter clam,Saxidomus gigantea,CLAMBU,73.7,73.7,YES,Jessica,,,
Refugio,REFU,A,20220716,67,7,6,5,Butter clam,Saxidomus gigantea,CLAMBU,63.8,63.8,YES,Jessica,,,
Refugio,REFU,A,20220716,67,7,6,5,Butter clam,Saxidomus gigantea,CLAMBU,50.1,50.1,YES,Jessica,,,
Refugio,REFU,A,20220716,67,7,6,5,Steamer clam,Protothaca staminea,CLAMST,49.3,49.3,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,79.2,79.2,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,72.3,72.3,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,55.7,55.7,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,41.8,41.8,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,74.4,74.4,YES,Jessica,"estimate, smashed by shovel",,
Refugio,REFU,A,20220716,76,8,6,5,Butter clam,Saxidomus gigantea,CLAMBU,67.7,67.7,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Steamer clam,Protothaca staminea,CLAMST,42.1,42.1,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Steamer clam,Protothaca staminea,CLAMST,48.9,48.9,YES,Jessica,,,
Refugio,REFU,A,20220716,76,8,6,5,Pointed macoma,Macoma inquinata,CLAMMP,44.3,44.3,YES,Jessica,,,
Refugio,REFU,A,20220716,80,9,6,2,Butter clam,Saxidomus gigantea,CLAMBU,72.2,72.2,YES,Jessica,,,
Refugio,REFU,A,20220716,80,9,6,2,Steamer clam,Protothaca staminea,CLAMST,50.6,50.6,YES,Jessica,,,
Refugio,REFU,A,20220716,96,10,6,2,Butter clam,Saxidomus gigantea,CLAMBU,68.7,68.7,YES,Jessica,,,
Refugio,REFU,A,20220716,96,10,6,2,Cockle,Clinocardium nutallii,CLAMCK,40,40,YES,Jessica,,,
North Fish Egg Island,NFEI,A,20220717,2,1,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,27.6,27.6,YES,,,,
North Fish Egg Island,NFEI,A,20220717,2,1,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,57.7,57.7,YES,,,,
North Fish Egg Island,NFEI,A,20220717,2,1,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,33.4,33.4,YES,,,,
North Fish Egg Island,NFEI,A,20220717,2,1,4,3,Bentnose macoma,Macoma nasuta,CLAMMB,51.2,51.2,YES,,"estimate, smashed by shovel",,
