bay_code,bay_sample,place_name,year,date,YYYYMMDD,trans_loc,trans_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,60,,Lia/Emma/Carter/Jessica
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,44,,Lia/Emma/Carter/Jessica
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,50,,Lia/Emma/Carter/Jessica
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,21,,Lia/Emma/Carter/Jessica
NATZ,A,Natzuhini Bay,2021,7/9/21,20210709,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,21,,Lia/Emma/Carter/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,62,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,61,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,40,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,61,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,54,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,34,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,54,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,39,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,41,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,75,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,60,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,49,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,54,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,46,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,48,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,otter,34,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,64,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,59,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,34,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,37,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,39,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,36,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,43,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,42,,Lia/Jessica
REFU,A,Port Refugio,2021,7/10/21,20210710,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,33,,Lia/Jessica
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,16,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,55,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,50,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Steamer clam,Protothaca staminea,CLAMST,whole,52,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,otter,20,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Cockle,Clinocardium nutallii,CLAMCK,whole,36,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Edge,100,Bentnose Macoma,Macoma nasuta,CLAMMB,whole,61,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,89,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,79,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,86,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,85,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,88,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,91,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,85,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,64,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,54,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,64,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,52,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,58,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,62,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,61,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,59,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,55,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,39,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,48,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,43,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,50,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,otter,57,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,crab,61,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,61,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,43,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,61,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,49,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,39,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,57,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,60,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,44,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,65,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,39,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,55,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,55,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,44,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,51,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,48,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,56,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,54,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,58,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,54,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,59,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,66,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,40,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,59,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,51,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,37,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Steamer clam,Protothaca staminea,CLAMST,whole,38,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,65,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,crab,64,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,70,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Inside,100,Pointed Macoma,Macoma inquinata,CLMPOI,whole,25,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,42,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Steamer clam,Protothaca staminea,CLAMST,otter,51,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,19,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Steamer clam,Protothaca staminea,CLAMST,whole,23,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,34,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,47,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,57,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,23,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,otter,21,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,crab,12,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,crab,25,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,31,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,21,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,22,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,36,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,25,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,12,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,27,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,26,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,24,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,12,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,19,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,17,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,22,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,19,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Cockle,Clinocardium nutallii,CLAMCK,whole,14,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Pointed Macoma,Macoma inquinata,CLMPOI,whole,40,,Emma/Carter
NFEI,A,North Fish Egg Island,2021,7/11/21,20210711,Outside,100,Macoma sp.,Macoma sp.,CLMMAC,otter,52,,Emma/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,69.8,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,51.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,78.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,50.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,73.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,51.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,40.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,40.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,58.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,46.7,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,47.8,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,62.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,49,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,60.6,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,48.6,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,44,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,47,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,36.7,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,55,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,50.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,otter,47.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,72.9,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,71.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,70.6,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,79.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,59.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,36,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,56.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,53.7,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,67.5,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,31.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,52.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,60.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,55.7,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,57,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,77.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,55,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,62.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,50.6,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,35.1,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,42.7,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Butter clam,Saxidomus gigantea,CLAMBU,whole,54.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,41.4,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,39.3,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,31.2,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,44,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,60,,Lia/Carter
SHIN,A,Shinaku Inlet,2021,7/12/21,20210712,Edge,100,Steamer clam,Protothaca staminea,CLAMST,otter,44.9,,Lia/Carter
