"","bay_code","bay_sample","site_code","place_name","latitude","longitude","date_YYYYMMDD","year","trans_loc","bin_loc_transect_m","trans_bin","bin_area_m2","pit_count_bin","pit_count_m2","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no","field_collector","notes"
"34","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"inside","40",4,20,1,0.05,"pebble","mud",6,1,3.5,"Sue",""
"35","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"inside","50",5,20,1,0.05,"pebble","mud",6,1,3.5,"Sue",""
"36","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"edge","10",1,20,3,0.15,"pebble","mud",6,1,3.5,"Sue",""
"37","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"edge","20",2,20,1,0.05,"pebble","mud",6,1,3.5,"Sue",""
"38","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"edge","30",3,20,2,0.1,"pebble","mud",6,1,3.5,"Sue",""
"39","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"edge","40",4,20,0,0,"pebble","mud",6,1,3.5,"Sue",""
"40","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"edge","50",5,20,0,0,"pebble","mud",6,1,3.5,"Sue",""
"41","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"outside","10",1,20,0,0,"course sand","gravel",5,7,6,"Sue",""
"42","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"outside","20",2,20,0,0,"course sand","gravel",5,7,6,"Sue",""
"43","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"outside","30",3,20,0,0,"course sand","gravel",5,7,6,"Sue",""
"44","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"outside","40",4,20,0,0,"cobble","course sand",8,5,6.5,"Sue",""
"45","NATZ","C","","Natzuhini",55.247155,-132.879137,2022-07-15,2022,"outside","50",5,20,0,0,"cobble","course sand",8,5,6.5,"Sue",""
"46","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"inside","10",1,20,2,0.1,"mud","course sand",1,5,3,"GEckert",""
"47","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"inside","20",2,20,0,0,"mud","mud",1,1,1,"GEckert",""
"48","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"inside","30",3,20,0,0,"mud","mud",1,1,1,"GEckert",""
"49","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"inside","40",4,20,0,0,"mud","mud",1,1,1,"GEckert",""
"50","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","50",5,20,1,0.05,"mud","mud",1,1,1,"GEckert",""
"51","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","10",1,20,8,0.4,"course sand","sandy mud",5,2,3.5,"Carter Jessica",""
"52","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","20",2,20,9,0.45,"sandy mud","course sand",2,5,3.5,"Carter Jessica",""
"53","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","30",3,20,15,0.75,"sandy mud","course sand",2,5,3.5,"Carter Jessica",""
"54","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","40",4,20,6,0.3,"sandy mud","course sand",2,5,3.5,"Carter Jessica",""
"55","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"edge","50",5,20,4,0.2,"sandy mud","course sand",2,5,3.5,"Carter Jessica",""
"56","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"outside","10",1,20,3,0.15,"pebble","course sand",6,5,5.5,"Sue",""
"57","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"outside","20",2,20,0,0,"course sand","pebble",5,6,5.5,"Sue",""
"58","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"outside","30",3,20,0,0,"course sand","muddy sand",5,3,4,"Sue",""
"59","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"outside","40",4,20,0,0,"course sand","muddy sand",5,3,4,"Sue",""
"60","SHIN","A","","Shinaku",55.59929,-133.16,2022-07-14,2022,"outside","50",5,20,0,0,"course sand","muddy sand",5,3,4,"Sue",""
"61","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"inside","10",1,20,0,0,"mud","sandy mud",1,2,1.5,"Sue",""
"62","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"inside","20",2,20,0,0,"mud","mud",1,1,1,"Sue",""
"63","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"inside","30",3,20,4,0.2,"mud","sandy mud",1,2,1.5,"Sue",""
"64","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"inside","40",4,20,2,0.1,"mud","mud",1,1,1,"Sue",""
"65","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"inside","50",5,20,5,0.25,"mud","course sand",1,5,3,"Sue",""
"66","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"edge","10",1,20,2,0.1,"muddy sand","course sand",3,5,4,"Sue",""
"67","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"edge","20",2,20,0,0,"muddy sand","course sand",3,5,4,"Sue",""
"68","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"edge","30",3,20,0,0,"course sand","muddy sand",5,3,4,"Sue",""
"69","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"edge","40",4,20,2,0.1,"course sand","muddy sand",5,3,4,"Sue",""
"70","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"edge","50",5,20,0,0,"course sand","muddy sand",5,3,4,"Sue",""
"71","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"outside","10",1,20,1,0.05,"mud","sandy mud",1,2,1.5,"Sue",""
"72","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"outside","20",2,20,0,0,"mud","sandy mud",1,2,1.5,"Sue",""
"73","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"outside","30",3,20,0,0,"mud","sandy mud",1,2,1.5,"Sue",""
"74","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"outside","40",4,20,4,0.2,"sandy mud","mud",2,1,1.5,"Sue",""
"75","NOSK","A","","Nossuk",55.7073,-133.342,2022-07-13,2022,"outside","50",5,20,2,0.1,"course sand","pebble",5,6,5.5,"Sue",""
"76","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"inside","10",1,20,0,0,"mud","mud",1,1,1,"Carter",""
"77","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"inside","20",2,20,0,0,"mud","mud",1,1,1,"Carter",""
"78","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"inside","30",3,20,0,0,"mud","mud",1,1,1,"Carter",""
"79","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"inside","40",4,20,0,0,"mud","mud",1,1,1,"Carter",""
"80","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"inside","50",5,20,0,0,"mud","mud",1,1,1,"Carter",""
"81","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"edge","10",1,20,1,0.05,"sandy mud","pebble",2,6,4,"Jess Emily",""
"82","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"edge","20",2,20,2,0.1,"muddy sand","sand",3,4,3.5,"Jess Emily",""
"83","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"edge","30",3,20,3,0.15,"sandy mud","course sand",2,5,3.5,"Jess Emily",""
"84","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"edge","40",4,20,3,0.15,"sandy mud","mud",2,1,1.5,"Jess Emily",""
"85","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"edge","50",5,20,1,0.05,"sandy mud","mud",2,1,1.5,"Jess Emily",""
"86","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"outside","10",1,20,1,0.05,"sandy mud","sandy mud",2,2,2,"Ginny",""
"87","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"outside","20",2,20,6,0.3,"muddy sand","pebble",3,6,4.5,"Ginny",""
"88","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"outside","30",3,20,8,0.4,"muddy sand","pebble",3,6,4.5,"Ginny",""
"89","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"outside","40",4,20,9,0.45,"course sand","pebble",5,6,5.5,"Ginny",""
"90","GUKT","A","","Guktu",55.739816,-133.312022,2022-07-12,2022,"outside","50",5,20,7,0.35,"course sand","mud",5,1,3,"Ginny",""
"91","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"inside","10",1,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","small pits ~10 cm from crabs"
"92","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"inside","20",2,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","small pits ~10 cm from crabs"
"93","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"inside","30",3,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","small pits ~10 cm from crabs"
"94","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"inside","40",4,20,0,0,"muddy sand","cobble",3,8,5.5,"Ginny/Carter","small pits ~10 cm from crabs"
"95","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"inside","50",5,20,0,0,"muddy sand","cobble",3,8,5.5,"Ginny/Carter","small pits ~10 cm from crabs"
"96","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"edge","10",1,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","live cockle on transect"
"97","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"edge","20",2,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","live cockle on transect"
"98","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"edge","30",3,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","live cockle on transect"
"99","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"edge","40",4,20,0,0,"muddy sand","gravel",3,7,5,"Ginny/Carter","live cockle on transect"
"100","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"edge","50",5,20,0,0,"muddy sand","cobble",3,8,5.5,"Ginny/Carter","live cockle on transect"
"101","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"outside","10",1,20,0,0,"sand","gravel",4,7,5.5,"Ginny/Carter","live cockles"
"102","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"outside","20",2,20,0,0,"sand","gravel",4,7,5.5,"Ginny/Carter","live cockles"
"103","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"outside","30",3,20,0,0,"sand","gravel",4,7,5.5,"Ginny/Carter","live cockles"
"104","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"outside","40",4,20,0,0,"sand","cobble",4,8,6,"Ginny/Carter","live cockles"
"105","NATZ","C",NA,"Natzuhini",55.247155,-132.879137,2021-07-09,2021,"outside","50",5,20,0,0,"sand","cobble",4,8,6,"Ginny/Carter","live cockles"
"106","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"inside","10",1,20,0,0,"sandy mud","gravel",2,7,4.5,"Carter",""
"107","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"inside","20",2,20,0,0,"sandy mud","gravel",2,7,4.5,"Carter",""
"108","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"inside","30",3,20,0,0,"sandy mud","gravel",2,7,4.5,"Carter",""
"109","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"inside","40",4,20,0,0,"sandy mud","gravel",2,7,4.5,"Carter",""
"110","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"inside","50",5,20,0,0,"sandy mud","gravel",2,7,4.5,"Carter",""
"111","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"edge","10",1,20,0,0,"sand","gravel",4,7,5.5,"Ginny ",""
"112","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"edge","20",2,20,0,0,"sand","gravel",4,7,5.5,"Ginny ",""
"113","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"edge","30",3,20,0,0,"sand","gravel",4,7,5.5,"Ginny ",""
"114","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"edge","40",4,20,0,0,"sand","gravel",4,7,5.5,"Ginny ",""
"115","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"edge","50",5,20,0,0,"sand","gravel",4,7,5.5,"Ginny ",""
"116","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"outside","10",1,20,0,0,"course sand","gravel",5,7,6,"Ginny/Carter",""
"117","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"outside","20",2,20,0,0,"course sand","gravel",5,7,6,"Ginny/Carter",""
"118","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"outside","30",3,20,0,0,"course sand","gravel",5,7,6,"Ginny/Carter",""
"119","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"outside","40",4,20,0,0,"course sand","gravel",5,7,6,"Ginny/Carter",""
"120","REFU","A",NA,"Port Refugio",55.282137,-133.334028,2021-07-10,2021,"outside","50",5,20,0,0,"course sand","gravel",5,7,6,"Ginny/Carter",""
"121","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"inside","10",1,20,8,0.4,"sand","muddy sand",4,3,3.5,"Jessica/Ginny","very high intertidal transect and seagrass bed/live cockles and steamers"
"122","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"inside","20",2,20,8,0.4,"sand","muddy sand",4,3,3.5,"Jessica/Ginny","very high intertidal transect and seagrass bed/live cockles and steamers"
"123","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"inside","30",3,20,9,0.45,"sand","muddy sand",4,3,3.5,"Jessica/Ginny","very high intertidal transect and seagrass bed/live cockles and steamers"
"124","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"inside","40",4,20,6,0.3,"sand","muddy sand",4,3,3.5,"Jessica/Ginny","very high intertidal transect and seagrass bed/live cockles and steamers"
"125","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"inside","50",5,20,3,0.15,"sand","muddy sand",4,3,3.5,"Jessica/Ginny","very high intertidal transect and seagrass bed/live cockles and steamers"
"126","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"edge","10",1,20,0,0,"course sand","cobble",5,8,6.5,"Jessica/Ginny","live steamers"
"127","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"edge","20",2,20,1,0.05,"muddy sand","cobble",3,8,5.5,"Jessica/Ginny","live steamers"
"128","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"edge","30",3,20,2,0.1,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"129","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"edge","40",4,20,0,0,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"130","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"edge","50",5,20,2,0.1,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"131","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"outside","10",1,20,0,0,"muddy sand","cobble",3,8,5.5,"Jessica/Ginny","live steamers"
"132","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"outside","20",2,20,0,0,"muddy sand","gravel",3,7,5,"Jessica/Ginny","live steamers"
"133","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"outside","30",3,20,0,0,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"134","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"outside","40",4,20,0,0,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"135","NFEI","A",NA,"North Fish Egg",55.49709,-133.17,2021-07-11,2021,"outside","50",5,20,0,0,"muddy sand","muddy sand",3,3,3,"Jessica/Ginny","live steamers"
"136","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"inside","10",1,20,3,0.15,"mud","mud",1,1,1,"Carter/Jessica/Ginny",""
"137","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"inside","20",2,20,7,0.35,"mud","mud",1,1,1,"Carter/Jessica/Ginny",""
"138","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"inside","30",3,20,0,0,"mud","mud",1,1,1,"Carter/Jessica/Ginny",""
"139","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"inside","40",4,20,0,0,"mud","mud",1,1,1,"Carter/Jessica/Ginny",""
"140","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"inside","50",5,20,0,0,"mud","mud",1,1,1,"Carter/Jessica/Ginny",""
"141","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"edge","10",1,20,14,0.7,"sandy mud","course sand",2,5,3.5,"Carter/Jessica/Ginny","2 live steamers on transect/live butter (tiny)"
"142","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"edge","20",2,20,14,0.7,"sandy mud","course sand",2,5,3.5,"Carter/Jessica/Ginny","2 live steamers on transect/live butter (tiny)"
"143","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"edge","30",3,20,11,0.55,"sandy mud","course sand",2,5,3.5,"Carter/Jessica/Ginny","2 live steamers on transect/live butter (tiny)"
"144","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"edge","40",4,20,8,0.4,"sandy mud","course sand",2,5,3.5,"Carter/Jessica/Ginny","2 live steamers on transect/live butter (tiny)"
"145","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"edge","50",5,20,14,0.7,"sandy mud","course sand",2,5,3.5,"Carter/Jessica/Ginny","2 live steamers on transect/live butter (tiny)"
"146","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"outside ","10",1,20,0,0,"course sand","pebble",5,6,5.5,"Carter/Jessica/Ginny","2 live steamers "
"147","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"outside ","20",2,20,0,0,"course sand","pebble",5,6,5.5,"Carter/Jessica/Ginny","2 live steamers "
"148","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"outside ","30",3,20,0,0,"course sand","pebble",5,6,5.5,"Carter/Jessica/Ginny","2 live steamers "
"149","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"outside ","40",4,20,0,0,"course sand","pebble",5,6,5.5,"Carter/Jessica/Ginny","2 live steamers "
"150","SHIN","A",NA,"Shinaku",55.59929,-133.16,2021-07-12,2021,"outside ","50",5,20,0,0,"course sand","pebble",5,6,5.5,"Carter/Jessica/Ginny","2 live steamers "
"151","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"inside ","10",1,20,0,0,"mud","mud",1,1,1,"Carter snorkeled",""
"152","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"inside ","20",2,20,0,0,"mud","mud",1,1,1,"Carter snorkeled",""
"153","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"inside ","30",3,20,0,0,"mud","mud",1,1,1,"Carter snorkeled",""
"154","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"inside ","40",4,20,0,0,"mud","mud",1,1,1,"Carter snorkeled",""
"155","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"inside ","50",5,20,0,0,"mud","mud",1,1,1,"Carter snorkeled",""
"156","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"edge","10",1,20,2,0.1,"sandy mud","gravel",2,7,4.5,"Carter snorkeled","@ water's edge lots of fouled shells"
"157","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"edge","20",2,20,0,0,"sandy mud","mud",2,1,1.5,"Carter snorkeled","@ water's edge lots of fouled shells"
"158","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"edge","30",3,20,0,0,"sandy mud","mud",2,1,1.5,"Carter snorkeled","@ water's edge lots of fouled shells"
"159","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"edge","40",4,20,0,0,"sandy mud","mud",2,1,1.5,"Carter snorkeled","@ water's edge lots of fouled shells"
"160","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"edge","50",5,20,1,0.05,"sandy mud","mud",2,1,1.5,"Carter snorkeled","@ water's edge lots of fouled shells"
"161","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"outside","10",1,20,0,0,"mud","sandy mud",1,2,1.5,"Carter snorkeled","Cobbles interspersed/lots of fouled shells"
"162","NOSK","A",NA,"Nossuk ",55.7073,-133.342,2021-07-13,2021,"outside","20",2,20,1,0.05,"mud","sandy mud",1,2,1.5,"Carter snorkeled","Cobbles interspersed/lots of fouled shells"
