"sp_code","bay_id","date","start_time","end_time","slope","tide_height","tide_time","species_common","species_scientific","fork_length","taxon","abundance","mass_g","julian","year","latitude","longitude","habitat","place_name"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",80,"fish",1,2.82748297356291,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",80,"fish",1,2.82748297356291,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",87,"fish",1,3.69495671983119,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",73,"fish",1,2.11126556160693,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",87,"fish",1,3.69495671983119,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",92,"fish",1,4.41596994685333,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",82,"fish",1,3.0592088641976,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",83,"fish",1,3.17981647074077,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",82,"fish",1,3.0592088641976,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",91,"fish",1,4.26466558378617,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",94,"fish",1,4.72956058255001,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",92,"fish",1,4.41596994685333,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",88,"fish",1,3.83215144642529,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",73,"fish",1,2.11126556160693,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",82,"fish",1,3.0592088641976,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",82,"fish",1,3.0592088641976,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",78,"fish",1,2.60810290256684,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",78,"fish",1,2.60810290256684,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",87,"fish",1,3.69495671983119,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",80,"fish",1,2.82748297356291,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",99,"fish",1,5.57980742741227,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Capelin","Mallotus villosus",89,"fish",1,3.97280328282799,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",90,"fish",1,4.1169590287161,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",81,"fish",1,2.94177972269519,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",83,"fish",1,3.17981647074077,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",74,"fish",1,2.20491639035427,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",85,"fish",1,3.43075190299781,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",96,"fish",1,5.05810887556528,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",86,"fish",1,3.56117240430837,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",89,"fish",1,3.97280328282799,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",80,"fish",1,2.82748297356291,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",84,"fish",1,3.30364872187737,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"CAPELIN","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Capelin","Mallotus villosus",87,"fish",1,3.69495671983119,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"COCKSSL","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Slender cockscomb","Anoplarchus insignis",26,"fish",1,0.076677235577757,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"COCKSSL","KARH_A",2022-07-27,"637","652","moderate","-0.5","702","Slender cockscomb","Anoplarchus insignis",72,"fish",1,1.84003883952734,208,2022,55.789869,-133.32157,"mixed","Karheen"
"COCKSSL","BLAQ_A",2022-07-02,"805","820","moderate/steep","-0.3","943","Slender cockscomb","Anoplarchus insignis",45,"fish",1,0.424592818505061,183,2022,55.62082,-133.38664,"eelgrass","Blanquizal Point"
"COCKSSL","HALI_A",2022-07-26,"550","605","moderate","-0.3","631","Slender cockscomb","Anoplarchus insignis",30,"fish",1,0.119830650268898,207,2022,55.216791,-132.969439,"mixed","Halibut Nose"
"COCKSSL","CLAM_A",2022-06-27,"545","605","moderate","-0.6","649","Slender cockscomb","Anoplarchus insignis",117,"fish",1,8.36930683011218,178,2022,55.517981,-133.158075,"mixed","Clam island"
"COCKSSL","CLAM_A",2022-06-27,"545","605","moderate","-0.6","649","Slender cockscomb","Anoplarchus insignis",105,"fish",1,5.97118070569528,178,2022,55.517981,-133.158075,"mixed","Clam island"
"COCKSSL","NSTP_A",2022-07-03,"900","915","moderate/steep","0","1016","Slender cockscomb","Anoplarchus insignis",154,"fish",1,19.7248745751474,184,2022,55.665754,-133.40493,"mixed","North St. Philips"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",64,"fish",1,3.08351924817883,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",71,"fish",1,4.26066630310313,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",71,"fish",1,4.26066630310313,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",55,"fish",1,1.92313029823819,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",100,"fish",1,12.3835863841797,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",81,"fish",1,6.42323006819089,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",60,"fish",1,2.52191184967948,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",70,"fish",1,4.0764916599131,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",78,"fish",1,5.71074896839436,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",55,"fish",1,1.92313029823819,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",79,"fish",1,5.94193929276217,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","CLAM_A",2022-06-27,"545","605","moderate","-0.6","649","Pacific cod","Gadus macrocephalus",56,"fish",1,2.0341673113771,178,2022,55.517981,-133.158075,"mixed","Clam island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",52,"fish",1,1.61481589008058,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",61,"fish",1,2.65517444690026,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",112,"fish",1,17.6267958775427,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",61,"fish",1,2.65517444690026,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",70,"fish",1,4.0764916599131,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",64,"fish",1,3.08351924817883,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",55,"fish",1,1.92313029823819,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",67,"fish",1,3.55651158627971,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",81,"fish",1,6.42323006819089,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",65,"fish",1,3.23610721271113,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",42,"fish",1,0.830175710276311,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","CLAM_A",2022-06-27,"545","605","moderate","-0.6","649","Pacific cod","Gadus macrocephalus",59,"fish",1,2.39326547512871,178,2022,55.517981,-133.158075,"mixed","Clam island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",90,"fish",1,8.91866718825758,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",75,"fish",1,5.05393659840825,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","GUKT_A",2022-07-12,"445","500","gradual/steep","-2","622","Pacific cod","Gadus macrocephalus",50,"fish",1,1.42909050489467,193,2022,55.739816,-133.312022,"eelgrass","Guktu Bay"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",83,"fish",1,6.93032587095773,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",55,"fish",1,1.92313029823819,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",60,"fish",1,2.52191184967948,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",72,"fish",1,4.45041049238693,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",51,"fish",1,1.52002770866793,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",64,"fish",1,3.08351924817883,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",72,"fish",1,4.45041049238693,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",106,"fish",1,14.8484386128015,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",62,"fish",1,2.79313915315787,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","CLAM_A",2022-06-27,"545","605","moderate","-0.6","649","Pacific cod","Gadus macrocephalus",52,"fish",1,1.61481589008058,178,2022,55.517981,-133.158075,"mixed","Clam island"
"CODPAC","SARI_A",2022-06-30,"720","735","gentle","-0.7","837","Pacific cod","Gadus macrocephalus",80,"fish",1,6.17940344831954,181,2022,55.418589,-133.45424,"mixed","Santa Rita"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",75,"fish",1,5.05393659840825,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",68,"fish",1,3.72450149900269,182,2022,55.719394,-133.40571,"mixed","Harmony island"
"CODPAC","HARM_A",2022-07-01,"755","810","moderate","-0.6","910","Pacific cod","Gadus macrocephalus",77,"fish",1,5.48574397131829,182,2022,55.719394,-133.40571,"mixed","Harmony island"
