"sp_code","bay_code","bay_sample","date","start_time","end_time","slope","tide_time","species_common","species_scientific","fork_length","taxon","mass_g","tide_height","julian","year","place_name","habitat","latitude","longitude"
"CODPAC","NFEI","A",2020-07-18,600,615,"gentle",610,"Pacific cod","Gadus macrocephalus",92,"vertebrate",9.5507198251734,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",103,"vertebrate",13.5780602249567,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",80,"vertebrate",6.17940344831954,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",92,"vertebrate",9.5507198251734,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","NOSK","E",2020-07-20,600,615,"gentle",725,"Pacific cod","Gadus macrocephalus",70,"vertebrate",4.0764916599131,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",78,"vertebrate",5.71074896839436,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",51,"vertebrate",1.52002770866793,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",96,"vertebrate",10.9047752587341,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",75,"vertebrate",5.05393659840825,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",65,"vertebrate",3.23610721271113,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",90,"vertebrate",8.91866718825758,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",97,"vertebrate",11.262555675586,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",92,"vertebrate",9.5507198251734,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","REFU","A",2020-07-22,710,725,"moderate",847,"Pacific cod","Gadus macrocephalus",74,"vertebrate",4.8469578742761,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",85,"vertebrate",7.46393829706158,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"CODPAC","GUKT","B",2020-07-24,832,845,"gentle",1009,"Pacific cod","Gadus macrocephalus",97,"vertebrate",11.262555675586,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"FLOUNST","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Starry flounder","Platichthys stellatus",525,"vertebrate",2393.71282180074,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"FLOUNST","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Starry flounder","Platichthys stellatus",182,"vertebrate",89.142536919122,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GOBYBAY","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Bay goby","Lepidogobius lepidus",70,"vertebrate",3.41060577686837,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GOBYBAY","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Bay goby","Lepidogobius lepidus",69,"vertebrate",3.26275722137277,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENMAS","GUKT","B",2020-07-24,832,845,"gentle",1009,"Masked greenling","Hexagrammos octogrammus",96,"vertebrate",5.42531750589914,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GREENMAS","NATZ","C",2020-08-05,740,800,"gentle",846,"Masked greenling","Hexagrammos octogrammus",97,"vertebrate",5.60417551494811,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",91,"vertebrate",5.91155757822905,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",91,"vertebrate",5.91155757822905,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",146,"vertebrate",29.8860527322446,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",115,"vertebrate",13.1874217751398,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",113,"vertebrate",12.4177275758072,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",115,"vertebrate",13.1874217751398,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GREENWHI","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Whitespotted greenling","Hexagrammos stelleri",100,"vertebrate",8.1677011590921,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",84,"vertebrate",1.48440066104422,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",92,"vertebrate",1.97698349743962,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",126,"vertebrate",5.3240068442173,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",122,"vertebrate",4.80955454713116,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",130,"vertebrate",5.87479812718947,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",43,"vertebrate",0.180093078963877,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",40,"vertebrate",0.143403701266416,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",145,"vertebrate",8.28668050860754,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",87,"vertebrate",1.65789504566169,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",46,"vertebrate",0.222719661455179,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",128,"vertebrate",5.59477714864054,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",63,"vertebrate",0.599782953911759,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",52,"vertebrate",0.327704134284097,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",54,"vertebrate",0.369072538061969,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",104,"vertebrate",2.90888402617645,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",92,"vertebrate",1.97698349743962,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",105,"vertebrate",2.99790371325462,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",100,"vertebrate",2.57081833121341,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",93,"vertebrate",2.04546793544489,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",135,"vertebrate",6.61641532274296,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",42,"vertebrate",0.167227097808241,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",130,"vertebrate",5.87479812718947,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",111,"vertebrate",3.57140227686925,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",41,"vertebrate",0.1550031544924,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",110,"vertebrate",3.47102983178273,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",111,"vertebrate",3.57140227686925,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",130,"vertebrate",5.87479812718947,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",127,"vertebrate",5.45824604800353,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",80,"vertebrate",1.27293095285402,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",46,"vertebrate",0.222719661455179,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",112,"vertebrate",3.67373782155319,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",41,"vertebrate",0.1550031544924,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",41,"vertebrate",0.1550031544924,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",99,"vertebrate",2.49070476130827,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",93,"vertebrate",2.04546793544489,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",47,"vertebrate",0.23833050898525,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",39,"vertebrate",0.132411254473401,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",106,"vertebrate",3.0887649721578,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",52,"vertebrate",0.327704134284097,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",87,"vertebrate",1.65789504566169,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",87,"vertebrate",1.65789504566169,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",46,"vertebrate",0.222719661455179,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",122,"vertebrate",4.80955454713116,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",84,"vertebrate",1.48440066104422,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",42,"vertebrate",0.167227097808241,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",132,"vertebrate",6.16423619584214,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",138,"vertebrate",7.09072284019928,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",154,"vertebrate",10.0175532256242,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",106,"vertebrate",3.0887649721578,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",42,"vertebrate",0.167227097808241,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",116,"vertebrate",4.10311844588404,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",122,"vertebrate",4.80955454713116,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",92,"vertebrate",1.97698349743962,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",112,"vertebrate",3.67373782155319,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",95,"vertebrate",2.18726168150524,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",41,"vertebrate",0.1550031544924,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",84,"vertebrate",1.48440066104422,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",80,"vertebrate",1.27293095285402,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",84,"vertebrate",1.48440066104422,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",93,"vertebrate",2.04546793544489,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","REFU","A",2020-07-22,710,725,"moderate",847,"Crescent gunnel","Pholis laeta",100,"vertebrate",2.57081833121341,0,204,2020,"Port Refugio","eelgrass",55.282137,-133.334028
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",132,"vertebrate",6.16423619584214,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",130,"vertebrate",5.87479812718947,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",112,"vertebrate",3.67373782155319,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",125,"vertebrate",5.19203879620081,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",111,"vertebrate",3.57140227686925,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",126,"vertebrate",5.3240068442173,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",145,"vertebrate",8.28668050860754,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",104,"vertebrate",2.90888402617645,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","NFEI","A",2020-07-18,600,615,"gentle",610,"Crescent gunnel","Pholis laeta",60,"vertebrate",0.51433707021621,-0.3,200,2020,"North Fish Egg Island","eelgrass",55.49709,-133.17
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",41,"vertebrate",0.1550031544924,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",126,"vertebrate",5.3240068442173,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","SHIN","A",2020-07-25,1024,1040,"moderate",1048,"Crescent gunnel","Pholis laeta",133,"vertebrate",6.31253874922576,-0.2,207,2020,"Shinaku Inlet","eelgrass",55.59929,-133.16
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",37,"vertebrate",0.11217777424822,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",130,"vertebrate",5.87479812718947,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",52,"vertebrate",0.327704134284097,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NATZ","C",2020-08-05,740,800,"gentle",846,"Crescent gunnel","Pholis laeta",45,"vertebrate",0.207821658516095,-0.4,218,2020,"Natzuhini Bay","eelgrass",55.247155,-132.879137
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",115,"vertebrate",3.99272671021854,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","GUKT","B",2020-07-24,832,845,"gentle",1009,"Crescent gunnel","Pholis laeta",42,"vertebrate",0.167227097808241,0,206,2020,"Guktu Bay","eelgrass",55.740264,-133.311306
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",51,"vertebrate",0.308260190665192,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
"GUNNCRE","NOSK","E",2020-07-20,600,615,"gentle",725,"Crescent gunnel","Pholis laeta",122,"vertebrate",4.80955454713116,-0.2,202,2020,"Nossuk Bay","eelgrass",55.70802,-133.34102
