site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,QA/QV,same?,Sex,Notes:
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,113,,113,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,153,,153,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,133,,133,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,132,,132,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,115,,115,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,149,,149,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,133,,133,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,143,,143,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,138,,138,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,144,,144,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,,286,286,,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,,13,13,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,128,,128,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,158,,158,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,159,,159,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,271,,271,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,301,,301,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,190,,190,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,175,,175,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,195,,195,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,145,,145,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,243,,243,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,130,,130,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,160,,160,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,110,,110,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,135,,135,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,110,,110,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,220,,220,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,130,,130,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,310,,310,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,160,,160,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,140,,140,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,144,,144,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,100,,100,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,170,,170,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,132,,132,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,130,,130,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,131,,131,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,150,,150,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,135,,135,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,,21,21,,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,71,,71,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,298,,298,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,176,,176,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,257,,257,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,167,,167,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,149,,149,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,172,,172,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,44,,44,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,160,,160,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,180,,180,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,172,,172,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,236,,236,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,180,,180,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,251,,251,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,176,,176,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,180,,180,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,173,,173,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,168,,168,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Manacled sculpin,Synchirus gilli,SCULMAN,40,,40,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Brown rockfish,Sebastes auriculatus,ROCKBRO,60,,60,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Brown rockfish,Sebastes auriculatus,ROCKBRO,65,,65,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Northern kelp crab,Pugettia producta,CRABNKE,,,,,F,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Northern kelp crab,Pugettia producta,CRABNKE,,,,,M,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Northern kelp crab,Pugettia producta,CRABNKE,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Northern kelp crab,Pugettia producta,CRABNKE,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Northern kelp crab,Pugettia producta,CRABNKE,,,,,F,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Northern kelp crab,Pugettia producta,CRABNKE,,,,,M,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,253,,253,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,45,,45,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,255,,255,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,212,,212,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,290,,290,MATCH,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Starry flounder,Platichthys stellatus,FLOUNST,272,,272,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,235,,235,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,210,,210,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,198,,198,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,122,,122,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,128,,128,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,103,,103,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,115,,115,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,195,,195,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,228,,228,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Starry flounder,Platichthys stellatus,FLOUNST,204,,204,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Starry flounder,Platichthys stellatus,FLOUNST,80,,80,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Starry flounder,Platichthys stellatus,FLOUNST,110,,110,MATCH,,
Nossuk Photographers point,6/30/18,20180630,817,825,gradual,-3.4,8:56,Starry flounder,Platichthys stellatus,FLOUNST,132,,132,MATCH,,
Nossuk Photographers point,8/6/18,20180806,1315,1325,gradual,0.6,14:11:00,Starry flounder,Platichthys stellatus,FLOUNST,218,,218,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,110,,110,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,145,,145,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,100,,100,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,100,,100,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,90,,90,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,95,,95,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,90,,90,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,40,,40,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,107,,107,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,85,,85,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,,339,339,,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,188,,188,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,140,,140,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,150,,150,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,70,,70,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,75,,75,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,102,,102,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,80,,80,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,99,,99,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,98,,98,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,100,,100,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,144,,144,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,96,,96,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,91,,91,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,125,,125,MATCH,,
North Fish Egg,6/27/18,20180627,643,653,very gentle,-3.6,7:20,Crescent gunnel,Pholis laeta,GUNNCRE,52,,52,MATCH,,
